ax,ay,az,gx,gy,gz
-0.034869,0.111287,0.457745,1.281738,-4.821777,0.488281
-0.009722,0.122762,0.500714,2.868652,-3.784180,-0.244141
-0.029742,0.114949,0.456525,2.075195,-3.662109,-0.854492
-0.008257,0.124471,0.463849,1.647949,-3.723145,-1.647949
-0.039995,0.110799,0.456769,3.173828,-3.845215,-3.051758
-0.028033,0.081990,0.482159,0.976562,-4.028320,-0.793457
-0.050982,0.116658,0.451398,5.371094,-8.789062,2.990723
0.004194,0.108357,0.425031,2.258301,-8.666992,4.333496
-0.009234,0.095662,0.428204,1.098633,-3.479004,-0.061035
-0.010699,0.095174,0.480450,3.051758,-5.065918,-1.159668
-0.013628,0.114705,0.456036,0.366211,-4.272461,0.000000
-0.019488,0.122762,0.482892,1.770020,-3.295898,0.183105
-0.014361,0.092244,0.497296,0.976562,-1.770020,-2.075195
-0.020220,0.096883,0.468488,1.037598,-2.624512,-0.915527
-0.031939,0.108846,0.471417,2.868652,-2.563477,0.793457
-0.024370,0.107137,0.456281,4.028320,-3.784180,1.403809
-0.015581,0.116658,0.453839,1.098633,-4.089355,2.563477
-0.033892,0.125691,0.488995,1.770020,-1.403809,0.488281
-0.004107,0.103230,0.441632,2.746582,-5.432129,2.868652
0.011518,0.094685,0.477521,2.319336,-1.464844,-1.647949
-0.013140,0.127889,0.510480,3.051758,-3.784180,0.244141
-0.039263,0.106160,0.494122,1.953125,0.305176,-2.929688
-0.010454,0.130086,0.480206,2.624512,-2.197266,-0.671387
-0.024615,0.084676,0.459698,3.479004,-1.708984,-1.342773
-0.008013,0.107625,0.437970,5.004883,-1.892090,-1.220703
-0.031451,0.105183,0.473126,2.624512,-2.258301,0.854492
-0.001421,0.107381,0.502423,3.295898,-2.868652,0.366211
0.001020,0.114705,0.459210,4.699707,-4.394531,-0.549316
-0.009234,0.109578,0.459943,4.150391,-4.577637,-0.427246
-0.014849,0.110310,0.456036,4.211426,-3.906250,-1.281738
-0.016802,0.102742,0.493146,2.319336,-3.356934,-0.610352
-0.020464,0.140828,0.459698,2.502441,-4.577637,-1.586914
-0.030474,0.084187,0.473370,2.197266,-3.662109,-0.793457
-0.026324,0.110555,0.464581,1.220703,0.976562,-1.403809
-0.029742,0.104939,0.492169,4.028320,-3.601074,2.441406
-0.016802,0.118123,0.489240,1.586914,1.281738,-0.671387
-0.022417,0.112264,0.458234,2.258301,-1.098633,0.488281
-0.031451,0.099568,0.475079,1.647949,-2.197266,1.342773
0.010786,0.100301,0.471173,2.380371,-2.441406,0.427246
-0.029742,0.096394,0.519269,2.746582,-0.122070,-0.061035
-0.006792,0.107869,0.481671,2.441406,-3.356934,-0.305176
0.010053,0.099080,0.461163,1.525879,-1.770020,-0.854492
-0.029742,0.128621,0.453595,1.403809,0.183105,-4.882812
-0.045855,0.105183,0.446027,1.159668,-1.708984,-0.793457
-0.008013,0.106892,0.451154,1.892090,-2.990723,-0.488281
-0.046099,0.092976,0.502667,3.601074,0.183105,-3.479004
-0.071245,0.106160,0.475812,1.220703,0.183105,2.685547
-0.017535,0.096150,0.508038,1.342773,-3.906250,6.591797
-0.000933,0.096150,0.469952,0.183105,1.525879,0.610352
-0.012163,0.101766,0.531476,4.699707,-1.220703,-0.854492
-0.015581,0.117146,0.431866,2.319336,-1.647949,-3.967285
-0.029986,0.084676,0.482892,3.967285,0.366211,-4.211426
-0.040972,0.103474,0.446271,3.540039,-0.854492,-1.647949
-0.026079,0.106892,0.441144,3.479004,-1.831055,-0.305176
-0.043902,0.085408,0.470197,3.112793,0.488281,-1.647949
-0.034869,0.091512,0.431134,2.441406,-0.671387,0.427246
-0.018267,0.107625,0.449200,3.112793,-1.342773,-0.122070
-0.027056,0.072469,0.476544,1.403809,0.732422,-0.549316
-0.018267,0.104939,0.448956,1.586914,-2.197266,-0.610352
-0.023638,0.117635,0.408673,1.098633,-1.342773,-0.183105
-0.003863,0.087605,0.435284,2.502441,-1.220703,-1.647949
-0.024370,0.118123,0.375714,3.295898,-1.037598,-2.868652
-0.038287,0.116170,0.483380,3.417969,-2.197266,-2.197266
-0.026812,0.116414,0.478253,3.845215,-3.112793,-0.732422
-0.019488,0.106404,0.426251,2.685547,-4.760742,0.183105
-0.028765,0.088826,0.535138,3.601074,-4.760742,0.183105
-0.031206,0.102742,0.438702,2.929688,-3.540039,-1.159668
-0.033160,0.114217,0.418683,4.882812,-1.037598,-3.540039
-0.047320,0.104451,0.464581,3.601074,-0.427246,-2.075195
-0.023882,0.106648,0.489972,2.136230,-0.122070,-1.037598
-0.017046,0.077351,0.460431,1.647949,-2.929688,-0.732422
-0.021441,0.100057,0.492413,4.089355,-4.089355,1.464844
-0.021441,0.115926,0.474103,2.136230,-6.469727,1.403809
0.007612,0.092000,0.424786,0.244141,-3.662109,1.098633
-0.004351,0.108846,0.441632,2.746582,-3.723145,-2.258301
0.002241,0.098836,0.488995,2.014160,-5.676270,-0.976562
-0.048785,0.096150,0.524396,1.770020,-2.197266,-1.770020
-0.015581,0.122273,0.397931,0.854492,-2.624512,-2.502441
-0.033404,0.105428,0.514630,3.356934,-3.967285,-2.258301
-0.038042,0.112752,0.459698,2.990723,-3.295898,0.427246
-0.027544,0.117635,0.446271,3.540039,-3.906250,-1.464844
-0.020708,0.117391,0.381085,1.586914,-2.075195,-0.305176
-0.015337,0.108357,0.448224,2.075195,-0.610352,-0.671387
-0.016070,0.112264,0.497296,1.708984,-1.159668,0.000000
0.003462,0.109578,0.405988,1.770020,0.671387,-0.488281
-0.018511,0.104939,0.394513,3.540039,-1.892090,-1.159668
0.001020,0.096394,0.496808,1.464844,-0.671387,-1.220703
-0.023150,0.116170,0.425275,2.990723,-2.075195,-2.319336
-0.036333,0.078084,0.492902,3.906250,-1.342773,-0.610352
-0.007281,0.098103,0.443829,0.915527,-3.295898,0.122070
-0.019488,0.107869,0.391583,2.563477,-1.953125,1.464844
-0.014361,0.091023,0.505597,1.770020,-3.112793,-0.915527
-0.019488,0.125203,0.432111,2.319336,-1.831055,1.037598
0.001264,0.103230,0.468488,1.281738,-1.525879,0.549316
-0.020953,0.123006,0.516339,8.422852,1.525879,4.394531
0.002485,0.101521,0.476300,2.319336,-1.159668,1.220703
-0.030962,0.120564,0.493146,2.746582,-1.342773,0.061035
0.002729,0.118367,0.436017,1.403809,-0.854492,-1.281738
-0.035357,0.106648,0.471173,3.479004,-3.540039,0.061035
-0.024370,0.093709,0.466534,0.915527,-1.403809,-1.464844
-0.037310,0.103230,0.462140,3.967285,-2.929688,0.366211
-0.002154,0.106648,0.445538,-0.793457,-6.652832,0.183105
-0.028765,0.094685,0.493146,-2.685547,-2.563477,0.427246
-0.004595,0.084432,0.456281,1.342773,-0.549316,-4.577637
-0.041460,0.102986,0.443585,2.502441,-0.244141,-6.164551
-0.029253,0.132771,0.466779,3.112793,2.807617,-4.943848
-0.015581,0.105672,0.477521,-1.159668,-2.319336,-5.676270
-0.036089,0.124471,0.435284,3.173828,-2.197266,0.427246
-0.009234,0.103474,0.425519,4.516602,0.122070,2.075195
-0.024859,0.092488,0.481183,1.342773,0.488281,2.746582
-0.035113,0.093465,0.503888,5.310059,-1.464844,3.051758
-0.010454,0.123250,0.399396,3.479004,-2.258301,1.281738
-0.022906,0.116170,0.486798,2.319336,-1.708984,1.708984
-0.042193,0.113240,0.463849,3.723145,-2.685547,2.563477
-0.008013,0.114217,0.492413,3.051758,-1.586914,1.892090
-0.055865,0.122517,0.460919,2.014160,-1.281738,0.976562
-0.013628,0.112508,0.463605,2.807617,-1.770020,-0.244141
-0.014849,0.112264,0.460187,4.516602,-3.356934,0.183105
-0.046343,0.104451,0.439923,2.014160,-0.732422,0.183105
-0.018755,0.113728,0.466534,3.051758,-2.502441,-0.976562
-0.015093,0.090535,0.458478,2.624512,-1.464844,-1.525879
-0.044878,0.114217,0.429669,2.197266,-1.586914,-4.028320
0.030805,0.122762,0.438947,2.014160,2.929688,-8.239746
-0.081744,0.125203,0.475079,2.502441,1.342773,-9.277344
-0.045611,0.119099,0.391827,2.624512,-4.577637,2.380371
-0.004839,0.117391,0.462872,2.624512,-5.126953,3.967285
-0.008990,0.091512,0.469952,2.014160,-2.441406,2.746582
-0.005572,0.100789,0.464581,1.586914,0.793457,-1.831055
-0.022417,0.102010,0.447003,4.028320,-2.624512,-1.403809
