ax,ay,az,gx,gy,gz
0.135723,1.132680,0.991127,0.976562,-1.220703,-0.854492
0.121563,1.119008,1.002601,3.112793,0.305176,-1.647949
0.138897,1.102895,0.969642,3.540039,-2.319336,-1.220703
0.137676,1.135365,0.954261,2.868652,-0.244141,-0.061035
0.111553,1.122670,0.987709,-0.183105,1.098633,-1.708984
0.100811,1.128529,1.006752,2.990723,0.854492,0.366211
0.130596,1.134145,0.962806,3.417969,0.732422,0.793457
0.131329,1.112904,0.977211,2.685547,-0.915527,-1.281738
0.133770,1.120961,0.969886,1.464844,1.037598,-1.464844
0.121563,1.112904,0.972816,2.624512,-2.563477,0.000000
0.114239,1.118031,0.982338,1.281738,4.272461,-0.122070
0.140362,1.118764,0.979896,0.488281,-0.915527,-1.464844
0.136455,1.119740,0.987709,1.831055,4.211426,-1.098633
0.105450,1.144399,0.959144,4.150391,0.488281,1.220703
0.127178,1.124135,0.964271,-0.427246,3.601074,-0.854492
0.119610,1.100453,0.999427,0.793457,0.549316,0.976562
0.130840,1.127065,0.982338,1.098633,2.075195,-1.403809
0.136211,1.126332,0.987464,1.831055,-1.464844,-0.061035
0.131084,1.129750,0.982093,-0.305176,1.464844,-1.831055
0.095684,1.108266,1.003578,1.403809,1.464844,1.098633
0.114971,1.125600,0.991371,2.990723,1.037598,0.610352
0.118389,1.130483,0.982582,2.624512,1.342773,0.000000
0.114727,1.121205,1.001869,2.380371,-0.793457,-0.244141
0.119854,1.136098,0.993324,3.295898,1.892090,2.502441
0.122051,1.125600,0.972328,2.563477,1.281738,1.525879
0.117413,1.129506,0.947914,1.403809,1.281738,2.807617
0.120342,1.123647,0.990394,0.427246,2.929688,1.403809
0.128155,1.126088,0.976966,2.075195,0.671387,1.037598
0.105205,1.121693,0.985511,0.976562,2.319336,0.000000
0.126446,1.129994,0.976722,1.159668,-0.122070,1.953125
0.133526,1.119252,0.976966,3.356934,3.967285,-0.549316
0.114971,1.117543,0.968177,1.647949,1.281738,0.488281
0.125469,1.117299,0.988197,3.845215,-0.976562,1.220703
0.120342,1.105092,0.981117,-0.549316,4.272461,-0.549316
0.099346,1.122670,1.002113,1.708984,-1.037598,0.366211
0.104473,1.129018,1.015541,0.488281,4.577637,-0.244141
0.122051,1.115346,0.981117,3.723145,-2.868652,0.305176
0.110821,1.121205,0.998207,1.220703,4.455566,0.244141
0.121075,1.129262,0.960609,1.403809,-1.953125,0.305176
0.118145,1.130727,0.980384,2.502441,1.892090,0.244141
0.116192,1.110707,0.990638,0.854492,0.244141,-0.854492
0.103008,1.118031,0.979652,1.770020,-0.122070,-0.671387
0.120342,1.118764,0.975502,1.708984,2.319336,2.258301
0.140606,1.127553,0.966957,1.770020,2.258301,-0.549316
0.134258,1.116811,0.978920,3.479004,0.915527,0.610352
0.095928,1.109975,0.993568,0.793457,5.554199,0.122070
0.123760,1.118031,0.980873,3.051758,-1.281738,0.000000
0.093731,1.132924,1.001625,2.258301,6.713867,0.061035
0.112774,1.113393,0.956459,4.516602,-2.380371,0.305176
0.134014,1.133656,0.984779,1.403809,4.089355,1.281738
0.103985,1.100942,0.966957,0.183105,-0.976562,0.610352
0.113506,1.116322,0.997718,1.586914,0.183105,-0.061035
0.121319,1.117299,0.975502,0.854492,2.441406,0.671387
0.123760,1.132436,0.997230,3.112793,0.915527,0.671387
0.113262,1.124135,0.967445,2.502441,-1.098633,-0.854492
0.099834,1.138539,0.973304,2.502441,-0.915527,-0.915527
0.110577,1.110219,0.955238,2.380371,1.037598,2.136230
0.132793,1.129018,0.990150,-0.854492,0.915527,0.549316
0.110821,1.126576,0.998207,1.586914,-0.366211,-0.854492
0.120586,1.119008,0.996498,2.807617,3.051758,0.061035
0.108379,1.125356,0.974525,2.380371,0.305176,-0.854492
0.106914,1.133412,0.973304,1.098633,2.929688,2.258301
0.108623,1.119740,0.971351,1.831055,-0.122070,1.770020
0.114727,1.119252,0.983070,2.197266,2.136230,-0.305176
0.120586,1.112172,0.975502,2.868652,-0.366211,-0.183105
0.113018,1.111195,0.969886,1.281738,2.014160,-0.427246
0.126446,1.115102,0.968422,2.380371,-1.281738,0.915527
0.131329,1.113149,0.966468,1.037598,2.441406,0.976562
0.086163,1.128041,0.988441,1.770020,0.854492,-0.793457
0.090801,1.129018,0.986000,0.183105,0.549316,0.427246
0.147442,1.135121,0.968422,1.342773,-2.441406,0.305176
0.112774,1.115834,0.996498,1.159668,4.089355,-0.305176
0.107403,1.119740,0.983314,2.807617,-2.014160,0.000000
0.124737,1.128774,0.970863,1.770020,1.892090,1.403809
0.110577,1.114125,0.983802,1.831055,-1.159668,-0.305176
0.101543,1.135610,0.995033,1.281738,3.112793,-0.122070
0.112286,1.116567,0.990882,1.708984,0.000000,-0.732422
0.109600,1.122426,0.999672,2.075195,2.319336,1.770020
0.133282,1.126576,0.972328,1.953125,-0.610352,-0.854492
0.112774,1.127065,0.979896,4.028320,1.464844,0.305176
0.104961,1.117543,0.975746,2.502441,1.098633,0.061035
0.106426,1.107289,0.987220,0.671387,1.159668,0.854492
0.122539,1.111928,0.998451,1.098633,0.305176,0.671387
0.096905,1.113637,1.025062,-0.427246,3.295898,-1.464844
0.123760,1.114613,0.999672,4.516602,-0.732422,1.586914
0.110821,1.122670,0.962562,1.831055,4.455566,-0.122070
0.126446,1.127553,1.004554,1.525879,-0.976562,-2.136230
0.096416,1.126820,0.995521,0.915527,3.723145,0.488281
0.115948,1.124623,0.985511,1.220703,2.746582,-0.915527
0.091045,1.121938,0.993080,2.258301,0.427246,0.976562
0.121807,1.121449,0.995033,1.098633,0.488281,-0.183105
0.126202,1.130238,0.978431,3.051758,-0.915527,1.281738
0.113750,1.120961,1.006263,3.173828,1.098633,-0.610352
0.108868,1.123647,0.944984,3.173828,-1.220703,-0.427246
0.096661,1.112416,1.008949,0.427246,1.892090,-0.915527
0.132549,1.127553,0.980384,3.417969,1.159668,2.258301
0.110088,1.136098,0.965492,2.380371,0.000000,-0.122070
0.129375,1.118276,0.964271,1.220703,1.586914,-0.793457
0.110332,1.129750,0.991127,1.953125,2.197266,1.037598
0.107891,1.137318,0.991127,1.647949,2.868652,0.732422
0.136944,1.124623,0.986976,1.403809,0.671387,0.793457
0.119610,1.121938,0.965980,1.770020,0.854492,-0.305176
0.145977,1.117543,0.952064,1.464844,1.403809,-0.366211
0.137432,1.120717,0.930091,1.770020,0.793457,0.488281
0.124493,1.119740,0.964515,2.136230,1.098633,0.915527
0.108135,1.121938,0.995765,0.244141,1.708984,-0.488281
0.084209,1.110463,1.060462,0.793457,2.563477,2.624512
0.111553,1.135121,1.009193,2.441406,1.831055,1.098633
0.113750,1.122914,0.969398,1.892090,0.793457,-0.793457
0.106426,1.124867,0.972572,1.586914,1.098633,0.305176
0.118877,1.110463,0.951576,0.976562,-0.366211,1.586914
0.162334,1.132192,0.951332,0.610352,1.159668,-0.854492
0.088848,1.148061,1.010170,2.014160,1.037598,0.732422
0.102520,1.118764,1.007972,2.319336,0.244141,0.915527
0.110821,1.124623,1.027259,0.244141,3.601074,1.708984
0.100567,1.138295,1.017494,2.075195,-0.854492,0.427246
0.089092,1.099721,1.008216,1.159668,3.906250,1.098633
0.166973,1.120961,0.914711,1.525879,-0.671387,0.976562
0.111309,1.131459,0.961830,1.342773,1.220703,-0.427246
0.119366,1.103383,0.977455,2.807617,-0.122070,0.976562
0.089336,1.132192,1.035316,3.234863,-0.549316,1.220703
0.106426,1.122914,1.007728,1.586914,5.371094,2.014160
0.093731,1.114125,1.032875,1.953125,-1.953125,2.441406
0.105450,1.115346,0.990638,1.892090,-0.488281,-0.854492
0.151348,1.120229,0.930580,-0.244141,1.342773,0.793457
0.162090,1.115834,0.952552,2.136230,-2.441406,0.366211
0.138164,1.143666,0.955482,0.976562,0.976562,0.000000
0.125957,1.113149,0.972328,1.892090,-2.441406,-2.441406
0.117168,1.125600,0.978431,1.403809,0.244141,1.098633
0.124737,1.126332,0.971595,0.183105,0.488281,-0.488281
0.130596,1.128285,0.990638,1.647949,-0.061035,-0.183105
0.094707,1.137563,0.992347,2.746582,0.488281,0.122070
0.115704,1.130483,1.010170,4.516602,0.122070,0.610352
0.106182,1.125844,0.951820,1.770020,0.183105,-0.549316
0.105938,1.110463,0.962562,1.342773,0.854492,0.976562
0.114971,1.118764,0.988197,-0.061035,0.122070,0.549316
0.121075,1.113149,0.980629,1.159668,1.159668,1.525879
0.121563,1.122182,0.989662,2.380371,-0.549316,-1.647949
0.107647,1.112660,0.972084,1.159668,0.732422,0.244141
0.105694,1.113881,0.996498,2.136230,-3.601074,-0.671387
0.090557,1.120473,0.957435,-0.122070,0.732422,0.976562
0.126690,1.128529,0.978675,1.831055,0.549316,0.122070
0.127666,1.122182,0.990150,0.183105,1.831055,1.342773
0.112530,1.120229,0.992836,1.953125,-0.366211,-0.244141
0.123028,1.126820,1.002113,1.953125,-2.502441,-0.793457
0.116924,1.120473,0.983558,3.051758,4.150391,0.732422
0.112041,1.118276,0.963539,1.831055,0.305176,0.671387
0.116924,1.100209,0.986976,0.610352,1.220703,0.793457
0.109600,1.115590,0.986488,2.136230,1.281738,0.305176
0.124248,1.114369,0.969642,2.502441,0.061035,-2.319336
0.116680,1.107533,0.985511,1.464844,-0.915527,-1.281738
0.110088,1.125111,0.967689,2.380371,-0.122070,-0.427246
0.125957,1.128529,0.978675,0.366211,-0.549316,-1.220703
0.111553,1.117299,0.985756,2.807617,-1.647949,0.244141
0.118145,1.127309,0.978675,-1.647949,1.708984,-0.366211
0.127911,1.114125,0.985023,3.662109,-2.685547,1.403809
0.133282,1.098256,0.986732,1.037598,0.305176,-1.098633
0.108868,1.101674,0.991127,2.258301,-1.831055,-1.892090
0.134014,1.116567,0.964515,1.037598,-2.990723,0.793457
0.128643,1.115346,0.999672,1.159668,-0.427246,-1.464844
0.119610,1.108998,0.972084,1.953125,1.708984,-0.122070
0.127178,1.104115,0.982582,2.258301,2.319336,0.122070
0.126202,1.115590,0.982093,3.356934,0.915527,1.281738
0.118877,1.130727,1.016761,0.366211,3.417969,-0.488281
