ax,ay,az,gx,gy,gz
-0.147410,0.038809,-0.003059,-7.202148,10.864258,24.047852
-0.176707,0.053214,0.037957,-9.521484,9.521484,23.620605
-0.178660,0.036856,0.030388,-7.812500,5.310059,25.329590
-0.160349,0.050284,-0.005256,-8.666992,6.774902,29.479980
-0.149851,0.032462,0.010125,-11.108398,0.305176,34.301758
-0.138621,0.042715,0.007927,-10.253906,-4.516602,32.958984
-0.105906,0.037100,0.036492,-10.253906,4.516602,34.973145
-0.138865,0.045645,-0.000129,-8.178711,-5.004883,30.944824
-0.124705,0.041983,0.002556,-13.305664,-4.882812,33.447266
-0.131053,0.029044,-0.000618,-11.474609,-4.943848,32.714844
-0.117137,0.023428,0.046502,-9.399414,-1.586914,31.127930
-0.149119,0.052725,0.006951,-9.277344,-1.342773,27.954102
-0.116892,0.034659,-0.008674,-12.451172,-2.136230,32.165527
-0.123972,0.027335,0.057488,-11.657715,0.427246,34.057617
-0.115672,0.055411,-0.002082,-10.498047,-6.713867,35.339355
-0.144236,0.028311,0.025505,-10.498047,5.615234,29.357910
-0.097361,0.030020,0.012322,-10.009766,-5.920410,32.897949
-0.130808,0.047110,0.022576,-10.437012,-1.892090,29.479980
-0.120799,0.028311,0.006707,-8.911133,-3.051758,32.470703
-0.116648,0.035147,-0.017707,-9.765625,-3.295898,30.944824
-0.106150,0.023428,0.014763,-10.070801,-1.525879,30.761719
-0.135935,0.022452,0.049675,-10.314941,-4.577637,31.311035
-0.130076,0.037589,-0.026497,-11.779785,-1.953125,30.700684
-0.135203,0.041251,0.018425,-11.718750,-2.624512,32.165527
-0.150096,0.034171,0.017205,-10.681152,-3.051758,31.311035
-0.116404,0.030753,0.036003,-10.803223,0.549316,29.418945
-0.123972,0.041495,0.004509,-12.023926,-4.150391,33.386230
-0.122263,0.026114,0.039421,-10.986328,-0.793457,32.165527
-0.100535,0.019766,0.002556,-10.742188,-4.089355,31.677246
-0.130564,0.047354,-0.014534,-11.047363,2.075195,32.348633
-0.095164,0.017813,0.047722,-10.131836,-2.746582,29.113770
-0.125926,0.043448,-0.012825,-9.887695,-0.610352,29.113770
-0.122263,0.029288,0.046746,-10.253906,0.854492,28.808594
-0.105174,0.028799,0.008904,-11.840820,-1.831055,32.592773
-0.136668,0.041007,0.035515,-9.460449,0.000000,31.738281
-0.088572,0.037833,-0.009407,-10.620117,-3.173828,35.034180
-0.133738,0.041251,0.015984,-10.314941,-5.554199,34.484863
-0.108103,0.031729,0.018181,-9.765625,2.929688,34.912109
-0.091258,0.040274,0.021599,-10.192871,-4.272461,33.020020
-0.112742,0.035391,-0.000618,-10.559082,-0.427246,31.616211
-0.103465,0.043204,0.015496,-10.375977,-0.915527,32.043457
-0.116648,0.050284,0.021355,-9.338379,-1.159668,31.555176
-0.123240,0.040762,-0.011848,-12.268066,1.342773,30.822754
-0.107859,0.022696,0.038201,-10.253906,-3.051758,33.813477
-0.112986,0.029776,-0.019661,-11.413574,-1.708984,33.813477
-0.119822,0.040518,-0.017219,-9.094238,-1.831055,32.897949
-0.105418,0.064688,-0.036995,-12.145996,-1.892090,33.752441
-0.135935,0.045157,0.059929,-11.718750,2.624512,31.677246
-0.072703,0.030508,-0.006233,-11.047363,-1.708984,36.132812
-0.128367,0.051016,-0.015266,-10.864258,-0.366211,33.081055
-0.096140,0.039298,0.003777,-11.535645,3.234863,32.409668
-0.121287,0.035635,-0.000618,-9.887695,-3.479004,33.569336
-0.105174,0.045401,0.016472,-9.887695,0.732422,34.606934
-0.101512,0.017081,0.035271,-8.666992,-8.728027,31.860352
-0.148142,0.043936,0.016472,-9.338379,-2.441406,32.592773
-0.102976,0.046622,-0.004280,-9.033203,-4.333496,31.982422
-0.075388,0.019034,0.017937,-11.108398,-2.746582,33.691406
-0.152293,0.030753,0.036003,-9.094238,-0.671387,31.372070
-0.120799,0.026358,-0.053840,-11.047363,-4.516602,29.968262
-0.145701,0.033194,0.011101,-9.582520,0.061035,34.362793
-0.121531,0.041251,0.003044,-9.887695,-4.943848,32.714844
-0.118601,0.027823,-0.003303,-11.230469,-2.746582,34.973145
-0.144724,0.039542,-0.007454,-11.535645,-3.051758,36.865234
-0.099558,0.048575,-0.000129,-12.451172,-1.220703,36.254883
