ax,ay,az,gx,gy,gz
0.006539,0.007319,-0.020853,-1.403809,-0.244141,-0.488281
0.008980,0.013179,-0.031839,0.488281,-1.220703,-1.342773
0.004586,0.023188,-0.029154,-1.525879,-1.647949,-2.014160
0.008248,0.009028,-0.023050,-0.488281,-2.868652,-1.403809
-0.009086,0.010981,-0.055765,-0.793457,0.793457,-2.319336
0.006783,0.020259,-0.048929,-0.183105,-2.136230,-0.549316
0.001656,0.022456,-0.039408,0.366211,-0.122070,-1.831055
-0.003227,0.012202,-0.034525,-2.380371,0.305176,-1.220703
-0.006889,0.018061,-0.049662,-1.281738,-0.610352,-2.014160
0.001656,0.005366,-0.017679,0.732422,-0.305176,-0.793457
0.011422,0.013667,-0.008158,-1.464844,-1.770020,0.061035
0.017281,0.038325,-0.042337,0.061035,-2.136230,-1.403809
-0.000053,0.019282,-0.037943,-0.854492,-0.976562,-1.892090
0.007760,-0.009282,-0.045267,-0.610352,-0.854492,-1.831055
0.002389,0.012202,-0.047220,-1.098633,-0.305176,-1.892090
0.021676,0.009517,-0.015726,-1.464844,-0.305176,-0.976562
0.012643,0.024409,-0.038919,-2.136230,0.610352,-2.502441
0.001168,0.024165,-0.025247,-1.708984,0.915527,-1.403809
0.018502,0.029780,-0.059671,0.122070,-1.953125,-1.342773
0.008980,0.013179,-0.042581,-0.793457,-1.892090,-2.502441
0.002633,0.019526,-0.045511,-0.427246,0.366211,-0.305176
0.011422,0.002192,-0.051126,0.183105,-2.136230,-1.037598
0.018746,0.016352,-0.056497,0.610352,-1.647949,-1.708984
0.003853,0.013667,-0.044535,-1.464844,-0.488281,-1.586914
0.008736,0.004390,-0.022074,-1.037598,0.427246,-0.061035
0.023629,0.002681,-0.022806,-0.732422,-2.441406,-1.220703
0.024605,0.010005,-0.071390,-1.708984,-1.831055,-1.770020
0.007760,0.008052,-0.033060,-0.793457,-0.305176,-2.502441
0.004342,0.016352,-0.062845,-0.854492,-0.610352,-3.417969
0.005807,0.023188,-0.022074,-1.770020,-2.502441,-1.953125
0.001656,0.023188,-0.035745,-0.976562,-1.342773,-2.685547
0.007027,0.010005,-0.037943,-2.319336,-0.793457,-0.610352
0.018258,0.000727,-0.037699,-0.183105,-1.892090,0.976562
0.003609,0.015132,-0.058695,-0.732422,-3.417969,-0.427246
0.035836,0.029292,-0.041849,-0.122070,-3.601074,0.366211
0.018746,0.016841,-0.062113,0.671387,-4.821777,-1.586914
0.019234,-0.000493,-0.061869,-2.075195,-1.831055,-3.112793
0.012643,0.027095,-0.040384,-0.244141,-0.854492,-3.051758
-0.001762,0.011714,-0.053324,-0.915527,-1.220703,-3.417969
-0.000053,-0.005864,-0.035013,-1.586914,-1.647949,-1.647949
0.006539,0.031733,-0.039163,-0.915527,-0.793457,-0.061035
0.002877,0.014888,-0.044779,-1.770020,-2.685547,-1.525879
0.015084,0.021724,-0.049417,-1.220703,-2.136230,-0.549316
0.006539,0.014643,-0.041849,-0.122070,-1.831055,-1.831055
0.004586,0.020015,-0.014017,-2.136230,2.136230,0.305176
0.021187,0.005854,-0.028665,1.098633,-1.586914,-1.220703
0.015084,0.012690,-0.053324,-0.854492,0.305176,-1.098633
0.013375,0.018550,-0.028665,-1.037598,2.319336,-2.197266
0.016793,0.032222,-0.056497,-1.098633,-1.159668,-0.915527
0.017281,0.031977,-0.040628,-1.831055,-0.244141,-0.976562
0.019967,0.025142,-0.047953,-0.061035,-1.342773,0.122070
0.000191,0.023433,-0.014261,-1.464844,0.122070,-2.441406
0.019967,0.026118,-0.008646,-0.976562,-2.746582,-0.427246
0.011910,0.007319,-0.040872,-0.976562,-0.366211,-1.831055
0.018502,0.003901,-0.027201,1.159668,-2.136230,-1.098633
0.022652,0.007563,-0.043802,1.037598,-0.061035,-3.234863
0.003609,0.016597,-0.032816,0.793457,-1.281738,-2.380371
0.009469,0.018794,-0.043558,-0.488281,0.976562,-3.295898
0.027047,0.014643,-0.018656,-1.403809,-0.305176,-2.197266
0.032662,0.031245,-0.073343,-0.244141,-2.441406,-3.417969
0.002877,0.014155,-0.023050,-2.075195,0.793457,-3.173828
0.018258,0.009517,-0.047708,-1.403809,0.366211,-1.770020
0.016305,0.024897,-0.040384,-3.845215,-0.488281,-1.586914
0.013619,0.012935,-0.035013,0.000000,-1.953125,-0.244141
0.039742,0.008052,-0.042093,-0.549316,-3.784180,-0.915527
0.028756,0.013423,-0.021585,0.305176,-2.258301,-2.197266
0.031930,0.018306,-0.056009,-0.854492,-1.098633,-2.563477
0.018258,0.015620,-0.050150,-2.441406,-0.427246,-2.136230
0.011666,0.031245,-0.042826,-0.183105,-1.281738,-2.197266
0.021187,0.026362,-0.051370,-1.342773,-3.234863,-2.502441
0.024605,0.012935,-0.031351,-0.549316,-2.746582,-2.502441
0.023141,0.013667,-0.052103,-1.586914,0.915527,-0.671387
0.007516,0.010005,-0.053324,-1.647949,-0.854492,-0.610352
0.040475,0.021724,-0.056009,-0.732422,-2.319336,0.610352
0.031930,0.019526,-0.066019,-1.647949,0.610352,-0.122070
0.015816,0.018550,-0.034769,-1.403809,-0.183105,-1.892090
0.043648,0.026118,-0.052103,-2.197266,1.159668,-2.136230
0.011178,0.014888,-0.026712,-2.319336,-2.014160,-1.831055
0.032906,-0.004644,-0.032816,1.403809,-2.197266,-1.342773
0.026314,0.028804,-0.052835,1.220703,-4.028320,-2.258301
0.016549,0.010737,-0.040384,0.244141,-1.586914,-1.281738
0.029977,0.018306,-0.041117,2.502441,-3.479004,-0.854492
0.028268,0.018794,-0.064066,-0.488281,-1.586914,-0.976562
0.024117,0.013179,-0.034037,1.281738,-1.892090,-1.098633
0.010689,0.005366,-0.051859,-0.610352,-0.488281,-0.732422
0.022896,0.014643,-0.047708,-3.234863,-0.244141,-1.464844
0.010934,0.027583,-0.040384,-1.098633,0.061035,-0.488281
0.028023,0.014643,-0.012796,-0.488281,-3.540039,0.549316
0.027047,0.005854,-0.052835,-1.159668,-2.197266,-0.488281
0.036568,0.022212,-0.049906,1.159668,-2.746582,-0.793457
0.032906,0.015620,-0.031595,0.061035,-2.563477,-0.732422
0.028023,0.014643,-0.054300,0.793457,-3.234863,-0.610352
0.022652,0.021968,-0.040384,-1.831055,-2.258301,-2.197266
0.027047,0.010493,-0.049662,-1.342773,0.183105,-1.647949
0.017769,0.021724,-0.047708,-0.976562,-2.807617,-1.403809
0.012643,0.020991,-0.032083,-0.976562,-2.136230,-1.098633
0.023385,0.025630,-0.047220,-0.122070,-1.647949,-0.183105
0.038033,-0.002446,-0.042093,-0.183105,-1.281738,-0.549316
0.024117,0.028071,-0.048685,-1.342773,-1.098633,-0.244141
0.023873,0.001948,-0.025003,1.403809,-1.953125,-0.427246
0.018990,0.016108,-0.027445,-0.671387,0.366211,-0.122070
0.008492,-0.000981,-0.033060,-0.427246,-0.915527,-0.122070
0.033883,0.025386,-0.049662,-0.244141,-1.037598,-0.122070
0.037057,0.008052,-0.064798,-1.037598,-1.342773,-1.159668
0.014840,0.016841,-0.031839,-0.793457,-1.831055,-2.014160
0.039742,0.008052,-0.035013,-0.427246,-1.525879,-1.831055
