ax,ay,az,gx,gy,gz
0.097715,0.036705,0.144228,-13.122559,-16.967773,-14.038086
0.124082,0.033287,0.128603,-11.962891,-18.005371,-13.427734
0.116758,0.034019,0.091982,-11.413574,-14.587402,-15.136719
0.080625,0.015220,0.120058,-10.925293,-18.249512,-14.648438
0.098448,0.017662,0.124453,-12.023926,-19.409180,-14.221191
0.076963,0.025230,0.122744,-10.437012,-23.559570,-12.695312
0.103575,0.012779,0.172304,-13.366699,-34.179688,-9.216309
0.102842,0.027672,0.101504,-13.610840,-34.484863,-9.277344
0.078672,-0.002114,0.092226,-15.625000,-17.883301,-12.756348
0.083067,0.007652,0.130068,-11.596680,-15.991211,-12.634277
0.099668,0.015220,0.120303,-14.648438,-14.892578,-14.282227
0.081358,0.024742,0.125185,-12.939453,-13.793945,-14.221191
0.088926,0.031578,0.143008,-15.319824,-17.944336,-12.268066
0.072081,0.019615,0.143008,-14.221191,-24.902344,-10.070801
0.086973,0.018638,0.123965,-14.404297,-32.287598,-6.652832
0.070372,0.058433,0.121279,-13.549805,-17.700195,-10.742188
0.089659,0.034263,0.129580,-13.427734,-15.563965,-8.178711
0.108946,-0.001625,0.125429,-13.977051,-17.211914,-9.399414
0.114561,0.035728,0.140078,-12.939453,-20.263672,-12.390137
0.101377,0.017906,0.124941,-11.474609,-21.118164,-15.808105
0.100645,0.034996,0.104678,-12.023926,-22.155762,-17.883301
0.080137,0.025230,0.136660,-12.512207,-16.967773,-18.981934
0.089414,0.038902,0.101748,-12.023926,-20.874023,-16.845703
0.077452,0.021324,0.135439,-12.878418,-20.263672,-17.395020
0.079893,0.033287,0.119326,-10.009766,-21.545410,-16.967773
0.079405,0.020592,0.114443,-11.108398,-17.883301,-16.296387
0.074766,0.024254,0.133730,-12.634277,-19.714355,-15.930176
0.074034,0.034508,0.120303,-13.305664,-16.540527,-15.319824
0.101622,0.010094,0.140078,-14.099121,-16.052246,-15.502930
0.086973,0.021568,0.133486,-10.986328,-17.456055,-15.197754
0.091856,0.023521,0.111025,-12.634277,-18.554688,-15.075684
0.109922,0.028648,0.114687,-12.634277,-16.052246,-14.587402
0.084288,0.024742,0.160586,-13.183594,-14.343262,-14.404297
0.093809,0.034263,0.120791,-13.366699,-17.395020,-14.648438
0.081114,0.022301,0.093203,-14.404297,-17.517090,-14.343262
0.092832,0.017174,0.166689,-13.854980,-16.174316,-14.648438
0.111875,0.033775,0.168398,-11.657715,-19.531250,-14.160156
0.083555,0.023277,0.143984,-13.977051,-19.287109,-12.878418
0.099180,0.030845,0.124941,-13.305664,-17.883301,-14.221191
0.093077,0.031578,0.116885,-12.207031,-18.005371,-14.953613
0.087706,0.028892,0.100283,-12.390137,-18.981934,-15.380859
0.078672,0.021568,0.122500,-13.610840,-19.836426,-14.526367
0.098204,0.007164,0.086123,-14.343262,-20.202637,-14.465332
0.080870,0.025719,0.144228,-14.465332,-18.493652,-14.770508
0.091368,0.042564,0.108095,-13.488770,-22.399902,-13.488770
0.078672,0.037193,0.134219,-15.686035,-17.578125,-14.709473
0.082579,0.016685,0.138125,-15.747070,-19.409180,-14.099121
0.097227,0.033775,0.134951,-14.465332,-20.812988,-14.953613
0.087706,0.033531,0.132265,-13.366699,-21.118164,-15.930176
0.072081,0.031090,0.111269,-12.817383,-20.202637,-15.625000
0.087706,0.022545,0.133486,-12.512207,-20.202637,-16.113281
0.089170,0.028892,0.144472,-12.817383,-19.470215,-16.296387
0.087950,0.061851,0.119570,-12.390137,-19.653320,-15.991211
0.087950,0.043785,0.070254,-13.427734,-17.822266,-16.296387
0.085752,0.030357,0.125918,-12.329102,-14.831543,-17.028809
0.103575,0.024010,0.101748,-12.695312,-20.812988,-16.174316
0.086729,0.029869,0.088808,-12.756348,-20.629883,-14.831543
0.103331,0.027916,0.059511,-15.075684,-16.113281,-14.404297
0.093321,0.034996,0.124697,-14.221191,-15.380859,-15.319824
0.082823,0.043297,0.142763,-13.000488,-19.531250,-15.075684
0.084043,0.037193,0.122988,-11.779785,-13.793945,-15.686035
0.092100,0.017174,0.150088,-13.122559,-16.113281,-14.770508
0.096495,0.019859,0.140566,-12.634277,-15.808105,-14.953613
0.098204,0.025719,0.120547,-10.192871,-18.615723,-13.122559
0.095274,0.025963,0.103701,-13.183594,-15.136719,-15.625000
0.097227,0.028404,0.101992,-14.221191,-16.601562,-14.343262
0.083555,0.032310,0.102480,-13.122559,-18.554688,-14.160156
0.091612,0.033775,0.114687,-14.099121,-17.578125,-14.404297
0.091856,0.022789,0.140078,-14.099121,-15.808105,-13.977051
0.092100,0.025963,0.112246,-13.916016,-17.333984,-14.465332
0.086241,0.002769,0.141787,-14.099121,-16.784668,-14.770508
0.096250,0.032310,0.153017,-13.732910,-16.845703,-13.977051
0.092344,0.029869,0.134219,-11.840820,-17.456055,-14.770508
0.090879,0.018883,0.135195,-12.512207,-19.165039,-14.831543
0.099913,0.000816,0.122256,-13.549805,-19.775391,-13.427734
0.097959,0.028892,0.134463,-13.610840,-12.634277,-16.906738
0.088926,0.046226,0.142519,-11.779785,-18.188477,-16.784668
