ax,ay,az,gx,gy,gz
-0.041279,0.012074,0.109291,-0.244141,0.061035,-0.061035
-0.015156,0.004994,0.127113,-0.061035,4.089355,1.037598
-0.034931,0.016713,0.128822,0.061035,1.037598,0.854492
0.000957,0.003529,0.134681,-0.793457,0.549316,0.610352
-0.011982,0.026479,0.132484,-1.037598,2.502441,2.746582
-0.026386,0.023549,0.138099,0.915527,2.685547,2.136230
-0.018330,0.022817,0.146888,-0.366211,1.586914,2.258301
-0.009541,0.032582,0.111732,0.122070,-2.990723,1.098633
-0.017597,0.054067,0.145912,2.502441,4.699707,1.464844
-0.008320,0.025502,0.140541,1.037598,0.732422,3.723145
-0.008320,0.033071,0.127357,2.990723,3.234863,0.122070
-0.005390,0.014516,0.127357,2.197266,2.929688,2.319336
-0.011005,0.040395,0.117103,2.319336,2.075195,1.037598
-0.018818,0.026479,0.118812,1.220703,1.403809,1.281738
-0.001972,0.007192,0.159584,2.868652,4.699707,0.061035
0.001690,0.022328,0.113685,0.793457,-3.356934,0.854492
-0.016377,0.033315,0.112220,3.234863,4.821777,-0.366211
-0.023457,0.014028,0.114662,1.586914,1.953125,-0.610352
-0.035664,0.032094,0.127357,0.976562,0.061035,-1.220703
-0.027363,0.026235,0.133705,1.708984,2.136230,0.488281
-0.025166,0.014516,0.136879,0.671387,2.319336,0.305176
-0.019062,0.013539,0.109779,1.098633,2.502441,2.502441
-0.014179,0.022572,0.159339,2.197266,5.920410,0.793457
0.014873,0.012563,0.126869,-0.244141,-0.183105,0.305176
-0.033955,-0.000133,0.143470,0.976562,1.525879,-0.061035
-0.022236,0.026479,0.144935,2.197266,1.647949,0.732422
-0.001728,0.020131,0.137123,0.793457,1.464844,0.061035
-0.001972,0.026723,0.131507,0.122070,0.366211,0.366211
-0.022480,0.019643,0.130287,1.342773,2.563477,0.244141
-0.018574,0.007924,0.144691,0.427246,1.647949,0.488281
-0.005390,0.022084,0.137367,0.610352,0.549316,0.793457
-0.026386,0.027211,0.133216,0.671387,-0.610352,0.610352
-0.014912,0.019154,0.152015,0.915527,2.197266,2.197266
-0.007832,0.027455,0.128578,1.647949,2.197266,1.098633
-0.019795,0.006459,0.131507,0.671387,1.708984,0.061035
-0.007343,0.033315,0.141029,2.563477,2.258301,0.366211
-0.038593,0.008412,0.139076,1.464844,0.549316,0.061035
-0.002216,0.018666,0.153480,0.610352,0.366211,-0.488281
-0.010761,0.015004,0.132484,1.708984,1.159668,-2.441406
-0.017841,0.032582,0.156654,1.525879,4.028320,-0.488281
-0.012226,0.039174,0.125404,1.220703,-0.183105,-0.061035
-0.016621,0.009389,0.157386,1.403809,1.403809,1.098633
0.003155,0.012563,0.155189,1.708984,-1.464844,1.342773
-0.010029,0.016957,0.102211,0.793457,-0.976562,0.915527
-0.017353,0.016225,0.143959,1.342773,0.854492,1.098633
-0.018330,0.014760,0.145912,2.685547,3.967285,2.258301
-0.032002,0.025014,0.142738,4.272461,6.530762,0.732422
-0.011494,0.014760,0.149086,1.647949,0.793457,2.075195
-0.021504,0.000112,0.125648,1.159668,2.197266,0.976562
-0.015888,0.023793,0.142494,0.366211,1.159668,1.586914
-0.005634,0.021840,0.125404,0.915527,1.525879,0.305176
-0.007099,0.015492,0.141761,0.305176,2.807617,1.098633
-0.020771,0.033559,0.154213,1.892090,3.356934,0.244141
0.019512,0.016469,0.144691,1.220703,2.075195,0.976562
-0.013447,0.021596,0.147621,2.258301,5.920410,0.915527
-0.007587,0.003774,0.187172,1.525879,3.845215,-1.281738
-0.026142,0.020375,0.149818,3.356934,0.122070,-2.807617
-0.002949,0.015492,0.147377,0.793457,1.525879,-2.441406
-0.031513,0.010121,0.170814,0.915527,0.488281,0.244141
-0.010273,0.015737,0.134193,0.915527,-0.244141,-0.976562
-0.019550,0.028432,0.146400,0.671387,1.647949,-0.183105
-0.018818,0.016713,0.173011,1.770020,1.342773,-0.854492
-0.016132,0.025258,0.143226,0.793457,1.708984,-0.793457
-0.034931,0.024037,0.158363,2.441406,2.929688,-0.549316
-0.036884,0.007436,0.123451,0.366211,-0.061035,0.854492
-0.012226,0.016469,0.154213,1.770020,5.432129,1.586914
-0.018086,0.023061,0.119056,-0.305176,0.000000,1.770020
-0.001484,0.039174,0.152015,0.671387,8.728027,1.464844
-0.000752,0.015248,0.160072,1.708984,-0.915527,3.295898
0.004375,0.001821,0.181800,2.014160,2.075195,0.244141
-0.003437,0.008412,0.154945,3.967285,-1.647949,-1.831055
-0.010029,0.014272,0.167152,3.051758,-0.854492,-0.244141
-0.032002,0.006215,0.145423,5.126953,-6.469727,-2.502441
-0.030048,0.020619,0.109779,0.915527,-3.906250,-1.708984
-0.025410,0.025502,0.128334,0.976562,0.915527,0.305176
-0.005634,0.015981,0.142494,-1.403809,-3.295898,2.868652
-0.030781,0.030141,0.146156,0.854492,4.089355,3.112793
-0.002461,0.002553,0.162513,-1.159668,-1.647949,1.647949
-0.027363,0.026967,0.176918,1.281738,1.586914,0.427246
0.001934,0.023793,0.145423,0.122070,-3.051758,0.976562
0.002666,-0.005748,0.140785,-0.122070,2.380371,-0.122070
-0.014179,0.033071,0.158363,0.976562,0.549316,-0.488281
-0.017841,0.031362,0.149330,0.793457,3.723145,0.244141
-0.043720,0.034291,0.165931,0.549316,2.807617,0.976562
0.007549,0.014760,0.144935,-0.671387,-1.647949,1.953125
-0.008320,0.016713,0.149086,1.403809,4.394531,0.366211
0.006817,0.009145,0.152504,0.488281,0.610352,-1.464844
-0.019550,0.029408,0.143470,1.953125,3.540039,-1.464844
0.005352,0.027699,0.157875,-0.244141,2.868652,-0.549316
-0.001484,0.009389,0.151039,0.732422,-2.563477,0.244141
-0.000263,0.010854,0.124672,1.159668,-1.647949,-1.098633
-0.022968,0.020375,0.145912,1.647949,-2.075195,-1.220703
-0.021259,0.023061,0.159584,-0.488281,-1.220703,-1.953125
-0.026630,0.024037,0.160072,1.220703,-1.281738,2.136230
-0.031513,0.020375,0.127601,0.732422,3.295898,1.953125
-0.022968,0.031117,0.146644,-0.061035,-3.112793,3.601074
0.019024,0.009877,0.126869,-0.427246,2.075195,3.112793
0.001202,0.007680,0.160316,1.403809,5.859375,1.892090
0.015362,0.025746,0.158363,0.671387,1.953125,0.854492
0.012432,0.023793,0.157875,0.915527,1.770020,-0.305176
-0.016621,0.010610,0.152259,1.159668,2.075195,0.915527
0.019024,0.022084,0.115394,0.244141,-0.915527,-0.549316
-0.013203,0.039662,0.110023,1.892090,2.746582,-0.549316
0.004375,0.006459,0.182289,-2.380371,-1.770020,-0.732422
0.004375,0.025990,0.163734,0.610352,3.112793,-0.427246
0.004131,0.004506,0.181068,-0.854492,3.356934,-2.319336
