ax,ay,az,gx,gy,gz
-0.223941,0.047840,0.142102,0.488281,-1.770020,-0.854492
-0.230532,0.038807,0.139172,3.356934,-2.624512,-1.953125
-0.237612,0.046863,0.123303,0.549316,-3.051758,-0.915527
-0.240054,0.038807,0.164319,-1.037598,-3.234863,-0.793457
-0.221499,0.049305,0.175793,-0.793457,-2.136230,-2.929688
-0.247134,0.057361,0.156994,-0.122070,-6.591797,-0.610352
-0.244693,0.027088,0.205578,-0.122070,-1.770020,-1.892090
-0.235415,0.045887,0.172131,1.098633,-3.906250,0.000000
-0.241275,0.059070,0.099621,0.122070,-2.136230,-2.014160
-0.251040,0.049305,0.179455,1.464844,-1.220703,-1.403809
-0.220523,0.047352,0.136487,0.488281,-3.295898,0.305176
-0.233706,0.042225,0.185559,0.793457,-3.356934,-1.037598
-0.236880,0.033680,0.140881,1.098633,-3.417969,-1.586914
-0.247866,0.044178,0.170178,-0.488281,-1.098633,-1.708984
-0.227359,0.049061,0.155285,-0.122070,0.061035,-0.183105
-0.256655,0.050770,0.176037,-1.525879,-0.244141,-1.647949
-0.215396,0.046131,0.139172,1.342773,-1.464844,0.305176
-0.241519,0.051502,0.168225,0.915527,0.610352,-2.319336
-0.231509,0.035633,0.164807,0.610352,-1.953125,0.122070
-0.234683,0.049061,0.151867,0.793457,-1.098633,-3.967285
-0.237857,0.029774,0.145520,1.037598,-3.967285,-0.793457
-0.234683,0.041736,0.122571,0.793457,-2.990723,-2.563477
-0.224673,0.039783,0.177014,-0.488281,-1.098633,-1.220703
-0.222720,0.027088,0.118420,-2.136230,-2.746582,-1.098633
-0.241030,0.046619,0.170178,-0.549316,-1.342773,-2.746582
-0.220034,0.033192,0.158215,-1.037598,-2.502441,-1.708984
-0.231753,0.061756,0.178235,0.122070,0.732422,-3.662109
-0.217837,0.056629,0.136731,-1.159668,-2.441406,-0.915527
-0.229556,0.040272,0.173352,-0.610352,-0.610352,-2.075195
-0.221499,0.041736,0.138684,1.647949,-1.525879,-2.319336
-0.244448,0.064930,0.137463,0.671387,-3.234863,-1.892090
-0.226626,0.042957,0.145764,0.183105,-2.807617,-0.305176
-0.238345,0.046131,0.153088,1.037598,-4.821777,-2.441406
-0.241030,0.051258,0.155285,0.549316,-3.356934,-1.403809
-0.222720,0.043201,0.127698,-1.647949,-2.014160,-2.197266
-0.232974,0.036365,0.143323,0.610352,-2.014160,-1.342773
-0.221743,0.068104,0.143567,-0.244141,0.793457,-3.417969
-0.234927,0.034412,0.149670,0.244141,-4.455566,-0.366211
-0.248355,0.047352,0.158215,0.732422,0.122070,-2.807617
-0.231753,0.051014,0.158703,1.892090,-2.380371,1.281738
-0.248111,0.062977,0.151135,1.586914,-1.831055,-2.319336
-0.222964,0.065174,0.145276,0.305176,-2.563477,0.000000
-0.233950,0.043201,0.144543,0.122070,-1.586914,-0.793457
-0.229800,0.042469,0.136975,0.244141,-2.624512,-0.854492
-0.223452,0.022449,0.181409,-0.610352,-0.427246,-2.441406
-0.256655,0.070057,0.175549,1.159668,-1.403809,-2.746582
-0.220034,0.045887,0.167737,1.037598,-3.906250,-1.220703
-0.255435,0.055164,0.145520,-0.122070,-1.281738,-0.366211
-0.229800,0.032215,0.153821,0.427246,-4.272461,0.061035
-0.231753,0.040760,0.136487,-0.549316,-2.685547,-1.220703
-0.216128,0.039051,0.177258,0.244141,-3.295898,-2.380371
-0.227847,0.036610,0.142102,0.854492,-1.281738,-2.502441
-0.238101,0.050526,0.184338,0.732422,-3.845215,-1.708984
-0.237368,0.074207,0.117200,0.732422,-2.807617,-1.525879
-0.233706,0.047596,0.116955,0.549316,-0.488281,-1.464844
-0.229068,0.044666,0.150891,0.976562,-2.990723,-1.525879
-0.222720,0.042225,0.140637,0.183105,-3.356934,-0.671387
-0.226138,0.030506,0.140393,0.854492,-0.549316,-0.671387
-0.247622,0.045399,0.114758,2.075195,-3.784180,-0.915527
-0.234683,0.019520,0.152356,0.061035,-1.220703,-1.220703
-0.227847,0.037586,0.161389,2.319336,-4.272461,-3.173828
-0.234195,0.041492,0.141369,1.159668,-4.089355,-0.244141
-0.217593,0.050281,0.148694,-1.159668,-1.708984,-2.563477
-0.243472,0.034412,0.140881,1.708984,-4.272461,-0.305176
-0.246157,0.046863,0.147717,2.502441,-5.187988,-2.929688
-0.239566,0.033924,0.144543,-0.549316,-3.723145,-0.488281
-0.238589,0.042225,0.142346,-0.183105,-2.502441,-2.014160
-0.236636,0.062244,0.134534,3.967285,-3.906250,-1.037598
-0.234927,0.057606,0.150159,1.892090,-2.258301,-1.770020
-0.231021,0.035145,0.132336,0.610352,-3.906250,1.098633
-0.227603,0.060047,0.161633,0.244141,-0.915527,-1.281738
-0.229556,0.059315,0.145276,2.624512,-3.601074,-0.305176
-0.216861,0.039295,0.168469,0.610352,-2.136230,-2.014160
-0.219790,0.037586,0.123059,-1.037598,-3.051758,-1.464844
-0.224673,0.037342,0.166028,0.183105,-1.892090,-2.441406
-0.242495,0.037342,0.144787,1.525879,-5.249023,-1.831055
-0.234927,0.041492,0.159680,0.183105,-2.868652,-1.342773
-0.239321,0.036854,0.179944,1.281738,0.366211,-2.319336
-0.226382,0.060047,0.171399,2.075195,-3.295898,1.281738
-0.218814,0.040027,0.157971,0.854492,-0.976562,-1.770020
-0.216861,0.049793,0.139172,0.244141,-4.394531,0.000000
-0.253482,0.034901,0.165539,-0.427246,-2.197266,-2.258301
-0.225894,0.043445,0.161633,1.586914,-2.075195,-0.793457
-0.222720,0.044422,0.150891,3.234863,-2.441406,-2.868652
-0.231021,0.042225,0.145032,2.136230,-4.577637,-0.122070
-0.218325,0.045154,0.156262,-1.342773,-2.319336,-1.342773
-0.235415,0.036365,0.151379,1.098633,-1.892090,-1.464844
-0.235904,0.040027,0.135998,-0.061035,-0.915527,-1.281738
-0.238833,0.025379,0.152844,-1.525879,-0.976562,-0.915527
-0.244448,0.045154,0.187268,0.000000,-3.356934,-0.488281
