ax,ay,az,gx,gy,gz
0.916729,0.951283,0.306556,2.746582,-0.183105,-0.244141
0.956036,0.960805,0.306556,4.455566,2.502441,1.708984
0.920391,0.944203,0.317543,2.258301,-0.061035,-0.732422
0.922832,0.936879,0.319740,0.793457,0.305176,-0.976562
0.934307,0.951528,0.310463,2.197266,-1.220703,-1.831055
0.918926,0.931264,0.300697,2.014160,-2.502441,1.220703
0.953838,0.945668,0.342933,2.380371,1.098633,0.488281
0.934795,0.928822,0.319252,2.990723,-0.488281,0.000000
0.932354,0.939565,0.318763,0.976562,-1.586914,-0.854492
0.922344,0.939076,0.307777,2.868652,0.488281,-0.427246
0.930889,0.923940,0.308998,0.244141,2.807617,0.427246
0.930157,0.926137,0.326820,1.770020,1.281738,-1.831055
0.944805,0.937123,0.294349,1.708984,1.586914,0.061035
0.947002,0.921010,0.300941,1.464844,-1.525879,-1.159668
0.933819,0.937367,0.322670,0.244141,1.647949,-1.892090
0.926739,0.932485,0.343910,1.342773,0.488281,1.525879
0.925762,0.957631,0.304847,3.540039,0.671387,-1.586914
0.915996,0.927113,0.328041,2.380371,-0.915527,0.366211
0.920391,0.934926,0.282875,2.014160,-1.403809,-0.488281
0.939434,0.926381,0.321449,0.610352,-0.244141,0.549316
0.952862,0.925160,0.291664,2.014160,-0.549316,-1.220703
0.931133,0.945180,0.289711,-0.427246,0.671387,-0.915527
0.938946,0.925160,0.344642,0.549316,-2.441406,-2.441406
0.907452,0.933217,0.304603,2.136230,0.610352,-2.075195
0.909405,0.943715,0.315345,3.295898,3.967285,-0.488281
0.919414,0.919789,0.293861,2.990723,-3.295898,-1.403809
0.914776,0.919301,0.330482,3.906250,3.784180,2.624512
0.918926,0.954946,0.313881,2.929688,-1.098633,-0.854492
0.928936,0.950551,0.305824,0.610352,-0.549316,0.305176
0.941631,0.931264,0.331214,2.014160,0.122070,-0.183105
0.932842,0.930776,0.319984,3.234863,1.892090,-0.610352
0.916241,0.925404,0.320472,2.807617,0.854492,0.854492
0.921123,0.946645,0.319007,3.051758,-0.427246,-0.915527
0.925274,0.934682,0.326088,2.136230,4.577637,2.807617
0.948467,0.926381,0.343422,2.685547,-3.479004,-1.708984
0.911358,0.935902,0.301185,2.319336,-2.502441,-1.525879
0.927227,0.931752,0.329994,2.014160,-0.244141,-1.281738
0.917950,0.937123,0.315345,2.258301,-0.122070,0.854492
0.940166,0.920522,0.315345,1.464844,0.732422,2.014160
0.921856,0.933705,0.303871,2.014160,-0.427246,0.549316
0.923077,0.917104,0.340004,1.647949,-0.549316,-0.122070
0.930645,0.916371,0.317298,3.662109,0.610352,3.173828
0.943584,0.929067,0.341713,3.417969,0.732422,0.366211
0.926250,0.950795,0.308754,5.371094,-1.892090,-1.586914
0.920635,0.940297,0.295814,2.746582,3.601074,-1.586914
0.933086,0.941274,0.301918,0.244141,2.258301,-0.061035
0.929913,0.922475,0.315834,1.831055,-0.488281,-0.854492
0.905010,0.936391,0.323158,2.197266,-0.305176,0.488281
0.909405,0.932485,0.323646,2.746582,-0.061035,0.854492
0.898907,0.936635,0.326820,1.220703,0.732422,-0.732422
0.931621,0.929311,0.313881,2.014160,-1.281738,0.549316
0.913799,0.941274,0.312172,0.549316,-0.183105,0.793457
0.932110,0.951283,0.330482,0.610352,0.244141,0.915527
0.929424,0.925404,0.311683,1.342773,2.441406,0.854492
0.913799,0.930776,0.329017,3.173828,2.380371,1.586914
0.894756,0.944203,0.303138,4.211426,-3.845215,2.075195
0.946026,0.925893,0.324867,0.976562,1.403809,-0.305176
0.921612,0.911488,0.325599,2.807617,1.281738,0.610352
0.921856,0.956654,0.304359,2.014160,-1.586914,-0.854492
0.944561,0.938344,0.302650,1.281738,-0.244141,-2.014160
0.890850,0.943471,0.320961,1.831055,-2.075195,-2.624512
0.935528,0.925404,0.321693,1.037598,0.183105,-0.366211
0.932110,0.934926,0.296302,2.380371,0.122070,-1.770020
0.925030,0.951528,0.319740,1.220703,-0.732422,0.793457
0.919170,0.933461,0.327064,2.075195,0.488281,0.305176
0.924053,0.942250,0.325599,2.563477,-4.882812,-1.831055
0.924053,0.935658,0.323646,3.356934,-0.793457,1.342773
0.923077,0.922231,0.319007,0.549316,1.098633,-0.671387
0.933819,0.933217,0.350990,3.112793,-0.549316,0.671387
0.921856,0.933949,0.311927,4.150391,-1.525879,-0.549316
0.914532,0.918568,0.314613,3.845215,-0.549316,0.305176
0.915996,0.937367,0.306556,2.502441,0.061035,-0.244141
0.914532,0.928822,0.320961,0.793457,1.098633,0.061035
0.909649,0.925160,0.317787,2.197266,-0.305176,-1.098633
0.909161,0.930043,0.320228,2.380371,1.770020,0.732422
0.934551,0.928090,0.315101,2.319336,1.892090,1.586914
0.913555,0.927358,0.325355,2.380371,0.610352,-0.305176
0.921368,0.912709,0.310707,1.647949,-0.122070,-0.976562
0.929424,0.921742,0.299232,1.953125,-0.793457,-1.220703
0.941875,0.916127,0.336097,1.953125,1.708984,0.671387
0.935284,0.937367,0.330482,3.112793,-1.037598,-1.342773
0.935284,0.932729,0.319984,3.906250,0.122070,-0.366211
0.936504,0.928090,0.316566,3.356934,-0.549316,-1.708984
0.891094,0.921986,0.325843,3.479004,-0.793457,-1.220703
0.913799,0.935658,0.319252,2.868652,-1.586914,-1.525879
0.923565,0.923451,0.312660,3.601074,0.427246,-1.831055
0.931621,0.952748,0.288734,3.662109,-2.746582,-1.098633
0.923565,0.934438,0.320228,3.906250,-0.915527,1.220703
0.926739,0.935902,0.314857,3.234863,-1.403809,0.305176
0.926739,0.927846,0.282875,3.601074,-0.488281,-0.488281
0.911114,0.910756,0.312416,2.502441,3.051758,1.647949
0.926250,0.930776,0.307777,2.868652,-0.549316,-2.258301
0.909649,0.949819,0.299232,2.319336,0.488281,-1.098633
0.940411,0.924916,0.368080,1.281738,0.793457,-2.014160
0.910137,0.937123,0.301918,4.028320,0.671387,0.366211
0.930889,0.921498,0.320716,2.441406,2.014160,0.183105
0.911602,0.946889,0.300697,1.953125,-2.319336,-0.915527
0.942364,0.928822,0.312172,0.793457,2.990723,1.892090
0.931133,0.952260,0.324867,0.610352,0.183105,0.305176
0.921856,0.955922,0.329506,0.549316,-1.647949,-0.793457
0.916241,0.947865,0.336830,0.915527,1.586914,-1.098633
0.930645,0.933705,0.296547,0.671387,0.976562,0.000000
0.919414,0.952748,0.357093,2.014160,0.549316,-0.366211
0.906231,0.943227,0.346839,2.014160,2.197266,1.098633
0.926983,0.951528,0.341468,2.075195,-1.098633,-1.464844
0.909649,0.943715,0.314857,2.502441,1.098633,-0.549316
0.941631,0.945180,0.314857,3.479004,1.159668,1.098633
0.938213,0.953725,0.298256,2.563477,-0.427246,1.098633
0.907452,0.938832,0.328041,3.479004,0.305176,0.488281
0.930889,0.938588,0.328041,3.295898,-0.793457,0.122070
0.913311,0.953725,0.332435,2.868652,2.136230,0.427246
0.922344,0.943959,0.339027,2.563477,0.793457,-1.159668
0.908184,0.931020,0.312660,2.563477,0.183105,-0.244141
0.938213,0.931020,0.294593,1.342773,2.380371,0.244141
0.931377,0.952016,0.305091,2.746582,-2.197266,0.793457
0.928692,0.948110,0.321449,1.525879,0.793457,0.671387
0.914776,0.943471,0.330726,1.892090,0.061035,1.525879
0.933819,0.948598,0.343910,0.122070,-0.122070,1.525879
0.915752,0.949086,0.340492,1.281738,-2.014160,0.000000
0.931133,0.923940,0.330238,1.098633,-0.610352,0.183105
0.941143,0.926625,0.319984,1.464844,1.831055,-0.061035
0.930401,0.936147,0.300697,2.868652,0.610352,-1.098633
0.938702,0.923207,0.311683,1.403809,0.854492,-0.549316
0.904766,0.937367,0.333412,2.136230,0.244141,-0.061035
0.918438,0.918324,0.327308,1.708984,0.732422,1.403809
0.934795,0.939321,0.337074,2.685547,-0.183105,-1.281738
0.926250,0.932729,0.300209,3.051758,1.403809,0.366211
0.915264,0.928090,0.323646,3.051758,-0.305176,-0.915527
0.931377,0.936879,0.309974,2.868652,0.549316,0.122070
0.937237,0.946401,0.303871,2.319336,-0.793457,-0.427246
0.902325,0.943959,0.302650,3.601074,-0.122070,-0.122070
0.889873,0.933461,0.290443,2.502441,-0.610352,2.746582
0.848370,0.935170,0.288978,2.746582,-2.563477,7.141113
0.790020,0.934926,0.178382,2.075195,-15.991211,16.357422
0.654766,0.905141,0.133949,-4.882812,-49.499512,21.240234
0.807598,0.790883,0.178382,-15.563965,0.488281,46.508789
0.823467,0.808705,0.293373,-8.728027,-37.780762,58.654785
0.794659,0.694203,0.097328,-7.751465,-32.775879,57.556152
0.745342,0.692006,0.216957,-0.915527,-32.836914,87.890625
0.724834,0.550160,-0.045250,-16.479492,-53.039551,91.125488
0.686016,0.409291,0.044593,-23.193359,-24.353027,124.023438
0.754375,0.271108,0.004798,-40.100098,-33.386230,123.901367
0.673809,0.226430,0.087318,-38.269043,-22.094727,138.671875
0.681621,0.126332,-0.007653,-40.161133,-53.771973,141.235352
0.748516,0.043324,0.053871,-45.043945,-5.554199,138.244629
0.718731,0.006947,0.081214,-36.621094,-19.897461,125.488281
0.790752,-0.001109,0.089027,-18.310547,18.920898,113.952637
0.713604,0.034779,0.071693,-13.549805,-29.235840,74.096680
0.615704,0.070180,0.050209,11.169434,22.277832,56.945801
0.600079,0.106313,-0.065514,6.408691,-29.785156,25.939941
0.425762,0.088979,-0.051842,13.366699,20.690918,16.052246
0.524151,0.047963,-0.094323,2.563477,-7.934570,6.347656
0.351299,0.081410,-0.083825,15.014648,17.700195,-4.821777
0.402325,0.061635,-0.154381,0.305176,-10.803223,-9.765625
0.231426,0.088735,-0.092125,9.277344,5.187988,-6.164551
0.310039,0.054311,-0.108971,1.098633,-13.000488,-4.211426
0.274639,0.067983,-0.034020,2.319336,-0.671387,-1.953125
0.303936,0.057240,-0.076989,2.197266,0.427246,-0.976562
0.273174,0.097768,-0.028161,5.676270,-4.516602,-0.183105
0.306377,0.080190,-0.046227,7.446289,-9.643555,2.197266
0.327373,0.082387,-0.023522,8.544922,0.549316,4.943848
0.345440,0.102895,-0.065758,9.094238,1.892090,-1.220703
0.306621,0.096303,-0.073815,11.352539,-9.216309,0.671387
0.377422,0.083119,-0.118248,8.544922,7.385254,0.183105
0.474102,0.051381,-0.100426,-1.708984,-7.141113,-11.718750
0.447002,0.042592,-0.049157,4.150391,19.897461,-24.414062
0.437969,0.067494,-0.069664,-1.342773,-6.225586,-36.926270
0.306621,0.146596,-0.035729,6.591797,5.004883,-28.808594
0.421123,0.100942,-0.051354,-3.417969,-8.728027,-27.587891
0.482891,0.057973,0.014564,-1.037598,10.192871,-30.517578
0.634746,0.057240,-0.003502,8.789062,3.479004,-48.156738
0.659649,0.062367,0.000892,8.361816,-1.464844,-62.744141
0.780010,0.096059,-0.041588,13.977051,13.916016,-77.331543
0.806133,0.140248,-0.003502,6.591797,-1.342773,-96.130371
0.814434,0.198354,0.016517,12.145996,9.887695,-106.323242
0.852032,0.216664,-0.027672,11.352539,5.249023,-111.450195
0.837139,0.270619,0.011146,7.080078,4.394531,-113.769531
0.908428,0.307485,-0.011071,10.742188,2.746582,-120.910645
0.888653,0.372914,0.017738,9.521484,8.911133,-124.816895
0.903301,0.428090,0.049232,14.953613,1.831055,-124.877930
0.873272,0.522817,0.079750,18.798828,-1.403809,-126.770020
0.813702,0.648549,0.011634,23.437500,-23.437500,-123.779297
0.809307,0.758656,-0.032799,18.981934,-3.417969,-112.548828
0.823711,0.849233,-0.022789,17.639160,-13.549805,-98.571777
0.758038,0.984731,-0.012047,26.550293,15.136719,-78.613281
0.825909,1.071889,0.083168,29.052734,-31.372070,-68.664551
0.779278,1.149037,-0.073815,32.714844,-5.737305,-58.593750
0.743633,1.212514,-0.043786,16.601562,3.662109,-51.452637
0.644268,1.298451,-0.130455,14.953613,-5.371094,-31.860352
0.517559,1.337758,-0.138268,11.535645,-2.746582,-11.352539
0.372539,1.339711,-0.217614,1.342773,-12.329102,25.451660
0.746563,1.160024,-0.026696,-7.995605,42.846680,56.274414
0.816387,1.127553,0.003089,-8.178711,2.258301,65.307617
0.745342,1.029652,-0.034264,-8.911133,27.465820,77.270508
0.880840,0.954213,0.027504,-17.089844,-84.106445,81.115723
0.804180,0.858754,-0.089440,-8.239746,23.132324,111.694336
1.138409,0.727651,0.049476,-9.643555,6.408691,99.426270
1.009991,0.697621,-0.115319,6.408691,-2.563477,102.111816
0.959942,0.678578,-0.094323,-0.915527,3.479004,89.904785
0.866680,0.556996,-0.176842,1.953125,31.311035,104.248047
0.888164,0.475209,0.031166,-18.920898,11.047363,97.412109
0.745342,0.453725,-0.046959,-0.549316,11.291504,110.168457
0.927471,0.354604,0.121986,-18.554688,-17.578125,101.623535
0.699932,0.343862,-0.078209,4.699707,-11.352539,104.736328
0.949932,0.228871,0.073646,-19.592285,9.826660,107.421875
0.812969,0.202016,-0.015221,0.122070,21.911621,93.566895
0.718487,0.160512,0.017250,-19.165039,-10.437012,85.998535
0.617413,0.177846,0.012855,1.892090,18.249512,75.256348
0.483868,0.159535,0.007240,1.647949,-2.258301,79.833984
0.455791,0.115346,-0.048912,6.286621,-0.183105,80.688477
0.557842,0.004262,-0.028649,-8.605957,-18.798828,78.857422
0.638409,-0.043834,-0.034996,2.868652,19.042969,51.025391
