ax,ay,az,gx,gy,gz
0.209698,0.113393,0.385414,2.075195,2.380371,2.746582
0.217754,0.112416,0.414466,4.089355,3.967285,0.915527
0.222881,0.112904,0.382484,0.610352,-0.976562,2.014160
0.208721,0.125600,0.378822,1.770020,2.502441,0.183105
0.207745,0.115834,0.403724,-0.732422,-1.403809,-2.075195
0.185528,0.121205,0.396888,1.647949,0.732422,2.258301
0.218243,0.120717,0.380775,0.671387,2.807617,0.244141
0.207745,0.120473,0.398841,-0.305176,0.793457,2.380371
0.191387,0.121694,0.383949,-1.342773,0.854492,0.793457
0.210186,0.121938,0.406654,3.051758,3.173828,3.662109
0.228252,0.118520,0.361976,1.464844,0.549316,0.976562
0.207745,0.122914,0.397865,0.427246,3.356934,1.159668
0.201397,0.123891,0.395179,1.098633,5.065918,-0.976562
0.197002,0.118764,0.398353,1.281738,2.990723,-0.732422
0.233135,0.112904,0.372963,1.953125,3.112793,-1.586914
0.193584,0.113149,0.389564,0.549316,0.793457,1.037598
0.208477,0.105336,0.388099,-0.061035,1.586914,1.831055
0.221661,0.101918,0.390785,0.610352,1.953125,0.244141
0.198711,0.104360,0.404701,0.610352,1.708984,0.122070
0.233135,0.126332,0.387855,0.305176,2.014160,1.342773
0.204571,0.119008,0.387123,1.892090,1.647949,-0.366211
0.213116,0.134389,0.375648,2.197266,2.868652,0.427246
0.199444,0.108754,0.399086,2.380371,0.610352,2.990723
0.206768,0.109242,0.382484,1.464844,2.380371,0.427246
0.209942,0.113149,0.370033,1.892090,-0.854492,2.380371
0.196758,0.107778,0.381996,0.549316,3.051758,2.868652
0.202618,0.106313,0.369056,1.953125,4.089355,0.061035
0.214580,0.119008,0.379554,0.793457,1.525879,2.502441
0.214092,0.117299,0.403236,2.319336,2.258301,1.770020
0.213848,0.119496,0.380531,0.305176,-1.708984,1.098633
0.203106,0.119740,0.376625,0.854492,0.976562,2.624512
0.202373,0.112172,0.402259,1.281738,0.488281,1.708984
0.196514,0.108510,0.393714,1.953125,0.000000,-0.122070
0.203838,0.136586,0.378089,2.380371,2.075195,-0.610352
0.204082,0.101430,0.390541,1.464844,1.403809,-0.427246
0.201885,0.111928,0.384193,1.708984,2.746582,0.793457
0.204327,0.126576,0.382484,1.953125,4.211426,0.305176
0.193829,0.137319,0.397621,2.502441,5.004883,1.281738
