ax,ay,az,gx,gy,gz
-0.140337,0.087849,0.358380,1.892090,-2.990723,-0.366211
-0.161089,0.074422,0.363507,0.549316,-2.685547,-1.098633
-0.151324,0.080769,0.362286,3.356934,-2.624512,-0.305176
-0.166704,0.066609,0.350079,1.281738,-1.770020,-1.831055
-0.140337,0.058797,0.354962,3.112793,-1.159668,-1.708984
-0.176470,0.077107,0.329572,1.159668,-1.831055,-1.403809
-0.138140,0.076619,0.377179,2.990723,-0.732422,0.061035
-0.143755,0.072713,0.345685,2.075195,-2.624512,-0.854492
-0.141558,0.068318,0.356915,2.746582,-2.807617,-0.732422
-0.150103,0.081502,0.352765,3.723145,-1.342773,-0.427246
-0.152544,0.070027,0.338116,2.624512,-3.295898,-1.647949
-0.152300,0.090779,0.322247,2.380371,-1.403809,-1.525879
-0.153033,0.086141,0.315900,2.258301,-1.770020,-1.892090
-0.143267,0.079549,0.338361,3.906250,-3.051758,-0.488281
-0.155718,0.052693,0.354718,1.770020,-2.197266,0.000000
-0.159380,0.080281,0.322003,4.028320,-0.793457,-0.488281
-0.128619,0.080769,0.309308,0.915527,-2.563477,-0.427246
-0.151324,0.078816,0.362531,1.586914,-3.051758,-0.366211
-0.144732,0.061238,0.345441,2.441406,-1.953125,-1.586914
-0.157427,0.073933,0.371808,2.319336,-1.098633,-2.014160
-0.154986,0.069783,0.347638,2.502441,-2.624512,-1.647949
-0.148638,0.068318,0.347882,2.746582,-1.953125,-1.220703
-0.149370,0.070271,0.342999,3.295898,-3.051758,-0.671387
-0.167437,0.070760,0.363507,3.662109,-0.549316,-1.159668
-0.126910,0.053182,0.357159,4.455566,-3.540039,0.366211
-0.162798,0.077351,0.337872,3.662109,-0.793457,-2.929688
-0.153765,0.071004,0.336896,2.990723,-3.356934,0.366211
-0.148882,0.053670,0.338361,2.624512,-1.525879,-0.976562
-0.153521,0.065144,0.348126,3.906250,-0.976562,-0.610352
-0.134722,0.054158,0.342267,1.708984,-2.136230,-0.427246
-0.150103,0.074666,0.339825,1.953125,0.183105,-1.525879
-0.133257,0.078572,0.333966,0.488281,-1.098633,-0.122070
-0.158892,0.056111,0.384503,3.234863,-2.624512,0.061035
-0.158648,0.069539,0.349835,1.770020,-0.732422,-0.061035
-0.139361,0.080769,0.380109,0.976562,-2.990723,0.915527
-0.154253,0.067830,0.338849,2.563477,-2.136230,-0.610352
-0.151324,0.067342,0.362286,2.380371,-2.624512,1.647949
-0.142779,0.064900,0.350812,2.929688,-2.624512,-0.976562
-0.143999,0.052205,0.372296,2.929688,-4.394531,1.586914
-0.148882,0.050740,0.326398,0.427246,-2.563477,-1.403809
-0.173296,0.063435,0.359601,3.234863,-4.028320,0.488281
-0.154986,0.053426,0.357404,2.929688,-2.258301,-1.525879
-0.143023,0.072957,0.356427,2.624512,-2.197266,-0.366211
-0.155474,0.083943,0.371564,2.685547,-1.892090,-0.610352
-0.150103,0.062703,0.322247,2.746582,-2.685547,-1.281738
-0.154009,0.062947,0.345685,1.953125,-2.868652,0.061035
-0.165484,0.073933,0.352521,1.831055,-2.624512,-1.342773
-0.150103,0.079060,0.356915,2.502441,-3.295898,-1.037598
-0.157427,0.067098,0.389142,2.380371,-0.915527,-1.831055
-0.159869,0.079793,0.376447,3.112793,-2.807617,-1.037598
-0.150591,0.083943,0.365704,2.807617,-1.831055,-1.403809
-0.162554,0.068318,0.334210,3.295898,-2.319336,-2.319336
-0.154986,0.077107,0.361066,2.929688,-2.197266,-0.244141
-0.145953,0.072713,0.298077,2.441406,-4.516602,-0.366211
-0.160113,0.061238,0.322736,2.685547,-4.211426,0.732422
-0.152300,0.057576,0.359601,3.906250,-1.647949,-2.075195
-0.142046,0.065144,0.324933,0.488281,-5.371094,0.488281
-0.138872,0.069783,0.351788,3.967285,-2.136230,-1.892090
-0.142779,0.071980,0.369366,1.403809,-2.685547,-1.342773
-0.164019,0.086385,0.335919,1.953125,-1.892090,-1.831055
-0.134966,0.065389,0.375226,1.647949,-2.990723,-0.610352
-0.156695,0.074178,0.360577,2.502441,-2.868652,-0.854492
-0.167193,0.060506,0.387921,1.953125,-0.122070,-0.976562
-0.159136,0.084920,0.339093,2.685547,-1.403809,-0.732422
-0.162798,0.092976,0.343976,2.014160,-3.173828,0.915527
-0.151324,0.061726,0.333478,2.807617,-1.159668,-1.281738
-0.156695,0.058553,0.319806,3.662109,-1.159668,-0.671387
-0.148394,0.066853,0.337140,1.708984,0.183105,-3.234863
-0.168902,0.072469,0.354718,1.220703,-2.441406,-0.549316
-0.153033,0.058308,0.337384,3.051758,-0.610352,-1.403809
-0.154742,0.074422,0.339093,1.647949,-2.807617,-1.586914
-0.147662,0.073445,0.320782,4.882812,-1.525879,-1.403809
-0.156206,0.077351,0.349835,2.502441,-2.990723,-1.159668
-0.131548,0.072713,0.339337,2.258301,-1.037598,-0.549316
-0.132281,0.073201,0.307355,2.807617,-2.807617,0.305176
-0.148638,0.078084,0.318829,2.563477,-4.272461,-0.183105
-0.171831,0.067098,0.352032,0.854492,-1.159668,-1.281738
-0.146441,0.068074,0.320782,4.760742,-4.638672,-1.037598
-0.131060,0.077840,0.353986,1.525879,-0.549316,-2.014160
-0.136919,0.093465,0.304425,2.868652,-3.173828,0.549316
-0.160845,0.072469,0.320294,3.540039,-1.953125,0.000000
-0.158892,0.059041,0.369366,1.953125,-0.305176,-1.037598
-0.147906,0.080525,0.311993,0.549316,-1.586914,0.000000
-0.120074,0.072957,0.340802,2.136230,-0.305176,-1.098633
-0.127642,0.071492,0.342511,3.173828,-0.915527,0.061035
-0.144488,0.077351,0.325177,-0.183105,-2.136230,-0.122070
-0.123247,0.065633,0.359357,2.624512,-3.845215,0.061035
-0.142290,0.058553,0.347882,-0.183105,-0.183105,-3.112793
-0.138628,0.070516,0.333478,0.183105,-0.183105,-4.394531
-0.166949,0.096150,0.354718,1.098633,-1.159668,-2.563477
-0.154009,0.087117,0.355939,0.366211,-3.601074,0.000000
-0.138384,0.071248,0.374005,1.586914,-2.441406,0.915527
-0.125933,0.051228,0.358380,6.408691,-4.028320,2.075195
-0.132281,0.049764,0.340558,3.479004,-1.342773,-1.708984
-0.129595,0.078816,0.330060,4.394531,-0.793457,-3.662109
-0.156206,0.071248,0.347150,3.601074,-0.061035,-1.586914
