ax,ay,az,gx,gy,gz
0.005596,0.024037,-0.083580,2.075195,-1.647949,-0.122070
0.001690,0.011342,-0.049157,1.220703,2.746582,0.732422
-0.005634,0.023793,-0.059166,1.403809,-3.234863,-2.868652
-0.015156,0.010365,-0.031334,1.525879,1.342773,2.807617
0.021954,0.004750,-0.071862,2.197266,-0.915527,-0.061035
-0.004902,0.035268,-0.027672,3.295898,2.685547,-0.854492
0.001934,0.007192,-0.046715,2.502441,0.427246,0.122070
-0.005390,-0.016002,-0.048912,2.868652,-0.061035,-0.183105
-0.013203,0.011586,-0.037438,1.403809,1.525879,-1.953125
-0.005390,0.009389,-0.050866,2.258301,-0.305176,-0.366211
-0.022236,0.010854,-0.037194,1.098633,0.427246,-1.464844
0.016094,0.002309,-0.053063,2.014160,0.549316,-0.610352
-0.013203,0.018178,-0.035241,1.708984,1.342773,-1.953125
-0.021504,0.016469,-0.027672,1.220703,1.098633,-1.098633
-0.002216,0.025258,-0.043297,1.525879,-0.488281,-1.831055
0.008770,0.012319,-0.021569,2.319336,9.582520,1.159668
-0.027851,0.025502,-0.023766,3.417969,-1.647949,2.258301
0.012676,0.002797,-0.064293,2.746582,-2.380371,-0.488281
-0.007099,0.015737,-0.048180,1.708984,1.342773,0.427246
0.010479,0.020131,-0.069176,3.723145,-0.793457,0.549316
-0.009541,0.017690,-0.038659,2.258301,1.037598,0.061035
-0.009785,0.007192,-0.051598,1.403809,-1.831055,0.183105
0.000225,0.038442,-0.037682,1.831055,-1.220703,0.793457
-0.010517,0.001088,-0.019371,2.319336,-0.488281,-0.549316
0.003399,0.017934,-0.032799,3.723145,-0.915527,-1.098633
-0.006123,0.010610,-0.034020,2.319336,-1.037598,-0.183105
-0.004902,0.001088,-0.058922,1.708984,1.220703,0.732422
-0.012959,0.012807,-0.024987,1.037598,2.075195,-1.098633
-0.012959,0.013539,-0.053307,2.929688,-4.333496,0.305176
-0.002216,0.025746,-0.054528,2.929688,0.183105,-0.610352
-0.019306,0.006947,-0.067223,1.831055,1.281738,-0.854492
-0.021992,-0.011607,-0.024010,1.586914,-2.258301,-0.061035
-0.011982,0.013051,-0.045495,1.098633,-0.732422,-0.671387
-0.014179,0.031850,-0.047692,1.953125,-0.122070,-1.159668
-0.013203,0.014760,-0.025231,1.037598,-0.732422,-0.122070
-0.004414,0.019154,-0.045006,2.014160,0.488281,-0.305176
-0.010029,0.017201,-0.010582,1.403809,-0.488281,0.488281
-0.012226,0.002797,-0.043053,1.892090,1.464844,-0.793457
-0.013203,0.006459,-0.042077,2.685547,-1.892090,0.793457
-0.010273,0.005971,-0.054284,2.624512,-1.037598,-0.061035
-0.006123,0.022572,-0.059655,1.525879,1.342773,-0.610352
-0.003437,0.020131,-0.050133,1.586914,-0.488281,0.854492
-0.004658,0.004506,-0.031334,1.770020,0.122070,-1.098633
-0.007343,0.008656,-0.052575,2.075195,1.525879,-0.976562
-0.021992,0.008901,-0.037438,2.197266,-0.732422,0.244141
-0.007832,0.003529,-0.040612,2.258301,0.244141,-0.793457
-0.021015,0.025746,-0.045006,1.708984,1.708984,0.305176
-0.011738,0.011586,-0.047936,2.624512,-0.183105,-0.061035
-0.000019,0.008901,-0.044762,2.197266,0.244141,0.000000
-0.007832,0.029408,-0.078698,1.770020,0.854492,-0.610352
0.004131,-0.004771,-0.037438,1.403809,-0.488281,-0.671387
-0.044697,0.013783,-0.048424,1.647949,0.671387,-0.366211
0.005840,0.011098,-0.036461,1.586914,-1.159668,-0.549316
-0.011494,0.014760,-0.062584,1.098633,0.488281,0.366211
-0.008808,0.002797,-0.022301,1.281738,1.464844,-0.671387
0.000957,0.008412,-0.016930,2.624512,-2.380371,-0.305176
0.010967,0.006703,-0.037682,1.281738,-0.671387,-0.732422
-0.004170,0.025990,-0.064049,1.525879,-0.671387,1.037598
-0.018330,0.016713,-0.032067,1.525879,-0.183105,-0.061035
-0.009296,0.007680,-0.066002,1.892090,-2.075195,-1.159668
-0.011494,0.011342,-0.061120,1.220703,1.831055,-0.793457
-0.040302,0.025014,-0.023034,1.403809,1.342773,1.037598
-0.001728,0.015248,-0.054528,2.258301,1.098633,0.549316
-0.009785,0.023061,-0.045983,1.525879,1.464844,0.122070
0.003399,0.005727,-0.048668,1.770020,1.586914,-0.122070
-0.022236,-0.000377,-0.024254,2.136230,0.854492,1.098633
-0.011250,0.017934,-0.037194,2.685547,1.953125,1.403809
-0.017841,0.020131,-0.052575,2.441406,0.976562,0.976562
-0.011738,0.023793,-0.033287,2.868652,0.427246,0.244141
-0.009296,0.002797,-0.052086,2.441406,-0.854492,-1.098633
-0.005879,-0.003551,-0.043053,2.014160,-0.122070,-0.549316
