ax,ay,az,gx,gy,gz
-0.068308,0.050284,0.041863,-9.704590,-1.525879,34.912109
-0.069285,0.016837,0.038689,-10.131836,-0.976562,30.944824
-0.080027,0.024405,0.049675,-10.498047,-0.793457,32.165527
-0.079295,0.024649,0.039666,-9.826660,0.732422,32.287598
-0.080027,0.033438,0.030388,-9.155273,0.488281,35.461426
-0.070750,0.024893,0.041130,-10.131836,-2.868652,31.250000
-0.093455,0.026846,0.042351,-9.155273,-3.601074,33.691406
-0.067088,0.033438,0.046502,-10.437012,-2.075195,33.874512
-0.071238,0.020499,0.047966,-10.192871,-0.244141,32.836914
-0.069285,0.035391,0.046257,-10.681152,-2.929688,31.982422
-0.069285,0.031729,0.033074,-11.169434,-3.906250,32.592773
-0.070506,0.039053,0.042351,-9.216309,-5.249023,33.386230
-0.074168,0.035391,0.044548,-11.108398,-6.286621,32.287598
-0.084910,0.032462,0.065056,-10.253906,-2.502441,31.799316
-0.086863,0.026846,0.047478,-9.582520,-1.770020,33.020020
-0.071238,0.042227,0.035027,-12.634277,-2.868652,32.043457
-0.092234,0.010245,0.031365,-9.765625,0.305176,33.203125
-0.066844,0.050772,0.049675,-10.314941,-2.746582,33.325195
-0.068308,0.011710,0.031121,-12.268066,-4.943848,33.874512
-0.090769,0.028311,0.013298,-11.291504,3.051758,31.250000
-0.062937,0.039298,0.027459,-11.596680,-1.159668,31.677246
-0.074900,0.043692,0.069695,-10.498047,-0.305176,32.531738
-0.066355,0.034903,0.055535,-11.413574,-2.502441,31.127930
-0.067820,0.024893,0.069207,-9.216309,-1.281738,31.860352
-0.065135,0.034903,0.050164,-9.826660,0.793457,31.677246
-0.078806,0.036612,-0.005012,-8.911133,-4.455566,34.851074
-0.056590,0.018790,0.026726,-11.962891,-5.798340,31.433105
-0.058055,0.020010,0.018914,-12.573242,-2.441406,30.578613
-0.083689,0.029288,0.050408,-12.512207,-2.441406,29.174805
-0.083689,0.040518,0.048211,-11.840820,4.516602,29.113770
-0.095896,0.068106,0.060906,-11.413574,-6.042480,30.517578
-0.083689,0.038077,0.019646,-9.094238,-3.112793,33.874512
-0.089793,0.038565,0.069451,-9.460449,1.953125,31.433105
-0.090525,0.056387,0.053337,-8.789062,-4.577637,35.766602
-0.034373,0.005850,-0.000373,-8.666992,-3.051758,34.484863
-0.075633,0.047354,0.039666,-8.666992,2.014160,33.569336
-0.032420,0.017569,0.028191,-11.047363,-4.272461,33.874512
-0.063426,0.017081,0.005486,-10.192871,-1.647949,32.226562
-0.050974,0.023673,0.036492,-11.474609,-2.197266,31.311035
-0.052928,0.038809,0.042595,-11.230469,-1.159668,33.630371
-0.057078,0.027823,0.036980,-12.756348,0.732422,30.151367
-0.062693,0.045401,0.010369,-11.108398,-1.464844,30.456543
-0.075144,0.032462,0.037712,-11.779785,-0.793457,30.151367
-0.073191,0.019278,0.058709,-13.610840,2.746582,28.686523
-0.069773,0.035880,0.048699,-9.643555,1.647949,31.860352
-0.057566,0.032217,0.018181,-10.314941,-9.887695,35.583496
-0.060008,0.048331,0.011101,-9.033203,-0.244141,35.217285
-0.070506,0.030753,0.017449,-9.704590,-3.906250,34.118652
-0.064402,0.021231,0.022576,-9.094238,-0.549316,32.714844
-0.077830,0.020010,0.019890,-10.559082,1.586914,33.081055
-0.072459,0.056876,0.030632,-10.681152,-0.671387,30.578613
-0.061228,0.008048,-0.004036,-13.000488,-0.976562,33.752441
-0.064158,0.040762,0.047234,-13.427734,5.493164,32.165527
-0.051463,0.038077,0.036248,-12.145996,-7.141113,34.729004
-0.050730,0.035147,0.043084,-11.718750,1.342773,31.005859
-0.080027,0.027090,0.045281,-6.408691,-4.699707,33.874512
-0.067820,0.019034,0.062371,-7.629395,0.000000,45.898438
-0.091013,0.020255,0.039910,-2.929688,2.441406,33.081055
-0.080760,0.031973,0.039666,0.915527,-5.554199,36.499023
-0.046092,0.007315,0.039177,-10.681152,-10.192871,34.973145
-0.108592,0.036124,0.093865,2.380371,5.310059,33.142090
-0.071238,0.008292,0.035515,-13.061523,-1.831055,29.296875
-0.115916,0.046378,0.112908,-6.713867,3.784180,31.433105
-0.073435,0.022208,0.057976,-12.756348,-3.173828,31.921387
-0.076121,0.025382,0.108513,-15.563965,-0.976562,22.155762
-0.072703,0.033926,0.070916,-18.920898,-8.850098,28.808594
-0.052683,0.024405,0.041130,-10.375977,-2.746582,32.348633
-0.062693,0.028799,0.056267,-11.657715,-10.925293,33.264160
-0.070994,0.037589,0.039177,-10.742188,-4.943848,33.630371
-0.054881,0.020987,0.022820,-12.878418,-4.150391,34.973145
-0.067332,0.032462,0.058464,-9.094238,-4.638672,34.423828
-0.075877,0.028311,0.027459,-12.023926,-3.112793,33.386230
-0.071238,0.026114,0.059929,-11.779785,-2.319336,33.813477
-0.065623,0.027090,0.017205,-9.338379,-1.831055,33.874512
-0.085642,0.016592,0.074822,-11.901855,3.112793,34.179688
-0.055369,0.042471,0.017205,-12.023926,-5.187988,31.372070
-0.079051,0.028067,0.057000,-11.535645,0.793457,30.944824
-0.074412,0.038077,0.086052,-11.047363,-0.427246,33.020020
-0.074412,0.024893,0.040398,-12.512207,0.244141,32.043457
-0.049265,0.020743,0.036248,-10.070801,-3.540039,32.775879
-0.076365,0.056632,0.025505,-12.145996,-2.868652,31.860352
-0.056590,0.038565,0.064568,-9.460449,-1.037598,32.958984
-0.070017,0.054923,0.051140,-10.864258,-2.807617,32.165527
-0.071726,0.027335,0.036248,-11.169434,-0.610352,33.569336
-0.068308,0.024161,0.037224,-9.094238,-2.563477,33.996582
-0.059519,0.041983,0.021599,-11.169434,2.380371,31.616211
-0.075388,0.037589,0.027947,-11.291504,-0.976562,34.240723
-0.054881,0.030753,0.033318,-10.986328,-2.197266,33.874512
-0.081980,0.034171,0.067742,-10.620117,-3.967285,34.301758
-0.061228,0.022940,0.061638,-11.474609,1.098633,31.799316
-0.076609,0.034659,0.051873,-10.131836,-1.281738,33.264160
-0.075633,0.031241,0.037468,-10.253906,-3.967285,33.264160
-0.066844,0.040762,0.034294,-10.375977,-0.549316,30.700684
-0.078806,0.039298,0.057000,-11.169434,0.305176,31.066895
-0.081980,0.027090,0.040154,-10.803223,-3.601074,31.677246
-0.069041,0.028067,0.025750,-10.803223,1.770020,31.982422
-0.045115,0.047110,0.042595,-12.084961,-3.845215,31.188965
-0.081980,0.029288,0.061394,-9.887695,-2.624512,31.372070
-0.066111,0.008292,0.082390,-11.596680,-1.647949,32.287598
-0.068064,0.044424,0.057000,-10.437012,-3.540039,32.653809
-0.068064,0.040274,0.045281,-11.352539,-0.427246,30.822754
-0.094676,0.034415,0.079949,-10.925293,-1.098633,32.470703
-0.088572,0.030753,0.066521,-11.962891,1.281738,32.592773
-0.091990,0.039786,0.069695,-10.803223,-2.746582,33.752441
-0.077586,0.046866,0.036492,-11.169434,2.624512,32.714844
-0.072703,0.047110,0.070183,-8.483887,-3.295898,34.851074
-0.067820,0.021964,0.054802,-10.620117,-2.685547,33.813477
-0.070994,0.030264,0.030632,-10.437012,1.220703,33.630371
-0.068797,0.028067,0.047234,-10.070801,-5.493164,34.545898
-0.072459,0.025870,0.062127,-10.314941,2.624512,33.691406
-0.034617,0.029776,0.037712,-11.474609,-7.202148,32.226562
-0.075633,0.020987,0.073845,-11.230469,4.272461,31.860352
-0.056834,0.035880,0.036980,-9.643555,-4.089355,32.958984
-0.067576,0.031973,0.042107,-11.047363,-1.159668,31.677246
-0.095408,0.023673,0.075554,-11.047363,-1.525879,32.531738
-0.072703,0.018790,0.052605,-10.559082,-1.403809,32.897949
-0.075388,0.019522,0.081658,-10.681152,-0.549316,32.104492
-0.050242,0.042227,0.034783,-11.169434,-4.455566,32.104492
-0.084910,0.029288,0.053826,-11.047363,-1.281738,32.958984
-0.075388,0.034659,0.080437,-10.070801,-2.075195,33.203125
-0.030955,0.029288,0.044793,-12.817383,-6.103516,31.799316
-0.110545,0.017569,0.071892,-8.850098,-2.868652,30.395508
-0.072459,0.043204,0.042351,-8.178711,-10.009766,32.531738
-0.089549,0.017081,0.072869,-10.803223,0.122070,31.982422
-0.101756,0.027335,0.081169,-13.732910,5.004883,31.188965
-0.071238,0.021964,0.069695,-12.207031,-0.488281,32.836914
-0.098582,0.024161,0.061882,-10.742188,1.159668,33.874512
-0.061472,0.042715,0.048699,-9.643555,-2.807617,34.606934
-0.076365,0.043692,0.041375,-10.375977,-0.549316,33.386230
-0.072215,0.037344,0.071648,-11.108398,-1.586914,33.874512
-0.084666,0.031241,0.052361,-10.314941,-2.136230,33.325195
-0.067088,0.016348,0.069207,-11.596680,-1.281738,32.958984
-0.062205,0.047354,0.038445,-11.535645,-2.502441,31.677246
-0.067820,0.025382,0.036736,-11.840820,-2.319336,32.531738
-0.081736,0.023917,0.069939,-10.620117,0.244141,36.804199
-0.055369,0.023673,0.046990,-12.695312,-4.272461,30.456543
-0.068553,0.018546,0.061638,-12.817383,-2.502441,32.348633
-0.084666,0.024161,0.058220,-11.413574,0.183105,31.066895
-0.066599,0.026602,0.050164,-12.451172,-1.403809,32.165527
-0.092722,0.028311,0.081414,-10.559082,-1.342773,31.616211
-0.066355,0.019766,0.076531,-11.291504,-4.028320,33.203125
-0.081492,0.044180,0.065544,-10.009766,0.427246,33.142090
-0.066111,0.020010,0.038689,-10.925293,-2.258301,32.714844
-0.086619,0.032706,0.052117,-10.986328,0.061035,33.020020
-0.072459,0.034171,0.050652,-12.451172,-1.770020,32.409668
-0.065379,0.046866,0.061394,-10.864258,-2.075195,33.874512
-0.082224,0.035880,0.061150,-10.620117,-0.488281,32.287598
-0.079783,0.027823,0.047234,-9.887695,0.244141,31.250000
-0.083933,0.028067,0.023552,-9.887695,0.671387,31.738281
-0.070017,0.049307,0.050652,-10.009766,-1.342773,33.569336
-0.075877,0.038321,0.057000,-10.498047,-2.685547,32.836914
-0.073924,0.035391,0.026238,-12.634277,0.854492,33.264160
-0.077830,0.020743,0.068962,-10.009766,-0.549316,33.264160
-0.068308,0.032706,0.068474,-10.192871,-2.136230,33.874512
-0.060740,0.036124,0.061150,-11.535645,-0.915527,32.348633
-0.069529,0.003897,0.062615,-10.864258,-2.990723,34.057617
-0.061472,0.028311,0.078972,-10.314941,-2.929688,32.287598
-0.075144,0.035880,0.036492,-9.826660,-2.380371,32.775879
-0.062205,0.025870,0.052361,-12.573242,-0.854492,30.761719
-0.067088,0.027335,0.037468,-11.047363,-2.136230,32.714844
-0.074656,0.036368,0.034050,-10.986328,-2.380371,33.081055
-0.092234,0.036612,0.052849,-12.145996,-1.220703,32.531738
-0.091990,0.027335,0.047966,-9.399414,-2.807617,32.470703
-0.084910,0.021964,0.048455,-11.962891,-1.220703,32.714844
-0.057322,0.041983,0.049675,-10.375977,-0.793457,33.996582
-0.082469,0.034171,0.058953,-9.704590,-2.014160,33.203125
-0.055369,0.011465,0.053337,-11.474609,0.122070,31.372070
-0.089060,0.021231,0.053093,-10.559082,-2.136230,33.264160
-0.070506,0.040518,0.044060,-11.352539,0.671387,31.860352
-0.070262,0.049063,0.038933,-10.742188,-1.831055,32.897949
-0.079051,0.033438,0.040642,-11.535645,1.342773,31.433105
-0.080027,0.029776,0.063347,-10.437012,-3.723145,34.057617
-0.075144,0.035391,0.063591,-10.803223,-0.427246,31.677246
-0.045847,0.006583,0.049675,-12.084961,-0.549316,33.386230
-0.077097,0.005850,0.053337,-7.873535,19.348145,24.536133
-0.090769,0.037589,0.018181,-12.145996,-19.042969,32.897949
-0.126902,0.024893,0.046013,-13.488770,-0.610352,33.081055
-0.112986,0.050772,0.085808,-13.305664,-16.113281,44.006348
-0.041697,0.014883,0.018425,-14.160156,-7.507324,36.926270
-0.031687,-0.007822,0.110955,-9.521484,33.752441,28.808594
-0.088328,0.082510,0.059197,-9.338379,1.525879,25.451660
-0.118601,0.012930,0.098259,-11.291504,5.920410,27.221680
-0.088816,0.079092,0.030144,-12.145996,-17.028809,40.466309
-0.041453,-0.025888,0.038689,-10.375977,15.625000,35.034180
-0.034129,0.034659,0.079216,-4.272461,3.662109,34.423828
-0.077586,0.039053,0.015740,-10.803223,-3.417969,27.099609
-0.070262,0.019278,0.070671,-10.131836,-3.967285,36.560059
-0.056101,0.010001,0.017937,-11.596680,-10.192871,34.057617
-0.080271,0.014639,0.072869,-12.634277,0.000000,32.226562
-0.035105,0.012930,0.034539,-11.840820,-9.582520,31.982422
-0.052928,0.004141,0.028923,-11.657715,-0.183105,28.442383
-0.088572,0.033926,0.037957,-11.352539,-2.380371,28.320312
-0.082713,0.050040,0.010613,-13.427734,-4.821777,29.663086
-0.081004,0.027823,0.056267,-13.305664,-4.394531,30.090332
-0.092478,0.048087,0.027214,-11.901855,-3.540039,32.409668
-0.064158,0.011221,0.050164,-12.268066,-3.417969,33.630371
-0.070506,0.049796,0.049675,-10.192871,-6.591797,35.278320
-0.061228,0.027579,0.027703,-12.512207,-2.380371,32.287598
-0.063914,0.018301,0.046257,-9.338379,-3.540039,34.118652
-0.073680,0.027090,0.053337,-8.850098,-1.953125,31.555176
-0.066599,0.024893,0.040154,-10.131836,-2.807617,33.203125
-0.063670,0.033194,0.023796,-9.765625,-2.197266,33.203125
-0.102488,0.035635,0.053093,-9.582520,-2.746582,30.761719
-0.057810,0.015616,0.020623,-10.925293,-4.821777,34.729004
-0.100535,0.029044,0.046257,-10.314941,0.610352,31.677246
-0.064646,0.039053,0.044793,-10.070801,-3.051758,33.325195
-0.085398,0.023917,0.065300,-12.023926,-2.502441,32.409668
-0.068797,0.020010,0.066521,-10.498047,-1.953125,34.667969
-0.081004,0.027579,0.053826,-10.864258,-1.708984,32.165527
-0.060740,0.010245,0.036003,-12.329102,-0.244141,33.874512
-0.082224,0.021964,0.051140,-11.047363,-1.831055,32.531738
-0.070994,0.025626,0.036248,-10.986328,-3.173828,34.240723
-0.072703,0.030020,0.033806,-11.840820,-2.197266,33.508301
-0.070506,0.034171,0.064812,-11.169434,-2.014160,30.578613
-0.084910,0.045401,0.035027,-10.253906,-2.075195,34.545898
-0.062449,0.021231,0.063591,-10.314941,-2.624512,32.897949
-0.079783,0.035635,0.065544,-10.803223,-3.051758,33.203125
-0.069529,0.023428,0.054802,-11.169434,-0.549316,33.630371
-0.073435,0.043204,0.039666,-10.253906,-1.770020,33.325195
-0.087351,0.025382,0.038933,-11.596680,-0.854492,32.897949
-0.072215,0.029532,0.053337,-10.131836,-0.732422,32.897949
-0.063670,0.043204,0.019402,-11.535645,-2.075195,32.653809
-0.062205,0.044669,0.066765,-11.108398,-0.549316,32.470703
-0.093455,0.011465,0.068718,-10.009766,-1.647949,33.508301
-0.082224,0.043204,0.026238,-11.779785,-1.586914,33.447266
-0.073435,0.044669,0.046746,-10.437012,-2.319336,33.020020
-0.072947,0.033438,0.067986,-9.582520,-3.417969,33.325195
-0.067088,0.030508,0.049675,-10.192871,-2.319336,33.020020
-0.082713,0.026114,0.051384,-10.131836,-2.990723,32.043457
-0.076609,0.032462,0.058220,-10.742188,-1.159668,31.494141
-0.072947,0.036368,0.027703,-9.826660,-4.638672,32.897949
-0.077342,0.044180,0.044793,-11.230469,-2.258301,32.348633
-0.070506,0.017813,0.042595,-9.582520,-2.075195,32.714844
-0.096385,0.020255,0.051140,-11.291504,0.183105,32.165527
-0.070506,0.030020,0.009880,-9.277344,-6.103516,33.813477
-0.071726,0.046622,0.038689,-11.535645,-0.732422,31.555176
-0.088084,0.035147,0.069207,-11.352539,1.098633,31.494141
-0.071482,0.038077,0.043328,-12.390137,-3.784180,32.470703
-0.085887,0.026602,0.052849,-11.169434,0.000000,32.409668
-0.072459,0.028799,0.012566,-11.352539,-3.051758,32.104492
-0.083689,0.029288,0.062859,-10.986328,-0.488281,33.447266
-0.040476,0.015372,0.077019,-10.742188,-2.868652,30.334473
-0.039500,0.022696,0.034783,-11.169434,-2.990723,29.724121
0.122365,-0.046152,0.055779,-5.126953,5.310059,14.038086
0.315237,-0.145273,0.059441,-1.831055,15.502930,-29.174805
0.564748,-0.373544,0.052849,1.708984,48.339844,-104.003906
0.501028,-0.440683,0.141961,-5.676270,39.184570,-176.635742
0.515432,-0.369882,0.183953,-3.784180,10.803223,-202.575684
0.660940,-0.280283,0.122673,-5.676270,-3.295898,-224.365234
0.787649,-0.255869,0.165642,9.704590,31.555176,-248.718262
0.749563,-0.030527,0.171990,13.122559,-19.592285,-257.141113
0.541067,0.320548,0.109002,9.460449,-53.833008,-241.394043
0.352590,0.697012,0.045769,9.033203,-55.236816,-212.463379
0.306203,0.876456,-0.011848,14.282227,-39.672852,-167.480469
0.387258,0.985831,-0.012092,9.216309,-24.353027,-118.164062
0.470754,1.101309,0.009636,5.432129,-20.324707,-51.147461
0.577932,1.193838,-0.027961,22.277832,38.574219,-1.403809
0.724416,1.234122,0.047722,5.737305,12.634277,30.822754
0.676076,1.291983,-0.070442,-3.479004,-30.883789,55.908203
0.670217,1.292960,-0.079231,-3.845215,31.005859,89.477539
0.833303,1.139395,-0.007942,-2.197266,42.053223,110.229492
0.781301,1.109854,0.064080,-17.578125,39.672852,107.238770
1.034231,0.822989,-0.027717,-45.471191,16.113281,155.029297
0.610647,0.920157,0.221550,-41.137695,-44.250488,149.230957
0.680471,0.738516,-0.093391,-11.291504,-42.907715,211.914062
0.640188,0.564200,0.073845,-20.263672,-8.300781,190.979004
0.658254,0.432364,-0.062873,-8.789062,41.259766,207.458496
0.606008,0.192130,0.242058,-29.235840,-14.526367,240.173340
0.675832,0.006827,-0.066536,-22.094727,1.098633,210.021973
