ax,ay,az,gx,gy,gz
0.089791,0.020991,0.018454,-3.112793,1.403809,1.220703
0.086617,0.020259,0.037741,0.183105,0.427246,2.624512
0.100289,0.022700,0.024801,1.525879,-0.549316,0.854492
0.122750,0.004145,0.018942,0.976562,-0.610352,-1.220703
0.124947,-0.000981,-0.006204,0.549316,1.953125,-4.089355
0.089303,0.024165,0.005514,-1.098633,0.427246,-5.310059
0.079049,0.038813,0.018698,1.037598,0.854492,-2.075195
0.082955,0.017817,0.038962,2.075195,-1.892090,-1.098633
0.101998,0.022456,0.031393,0.915527,-1.831055,-1.464844
0.101754,0.023188,0.037497,3.173828,-5.126953,-2.624512
0.094918,0.010981,0.019919,2.685547,-2.807617,-1.525879
0.104195,0.008296,0.038717,1.403809,0.488281,-1.708984
0.086617,0.013179,0.067526,3.417969,-5.126953,-1.953125
0.081978,0.018061,0.021628,2.685547,-3.479004,-0.976562
0.099068,0.022212,0.037008,2.563477,-6.469727,-0.976562
0.102730,0.041255,-0.027201,-0.183105,-3.356934,-2.197266
0.078316,0.012935,0.063131,-1.464844,-4.150391,-0.976562
0.118844,0.023433,0.008932,2.868652,-7.446289,0.244141
0.095406,0.014643,0.019919,-0.854492,-6.774902,-1.403809
0.107125,0.006587,0.016012,1.342773,-3.906250,-1.464844
0.101510,0.025874,0.009176,1.281738,-5.493164,-0.976562
0.097359,0.024897,0.003805,2.197266,-5.615234,-0.915527
0.095406,0.012446,0.006491,-0.549316,-6.408691,-0.305176
0.093453,0.013911,0.041891,0.732422,-1.831055,-0.854492
0.107369,0.025142,0.025290,1.647949,-1.220703,-0.488281
0.077340,0.019038,0.060934,-0.122070,-1.831055,-1.586914
0.093697,0.042231,0.053122,0.305176,-1.708984,0.244141
0.103707,0.044429,0.026510,1.525879,-2.136230,0.244141
0.119576,0.043452,0.045553,0.000000,1.831055,-1.342773
0.102975,-0.006597,0.042868,-1.464844,3.479004,-2.014160
0.101266,0.008784,0.060446,2.624512,0.793457,-2.929688
0.096139,0.021235,0.022848,1.342773,0.000000,-2.929688
0.110787,0.027583,0.010153,1.403809,-2.014160,0.610352
0.129830,0.012202,0.031149,-0.610352,-2.746582,-1.647949
0.092721,0.010981,0.041891,-1.831055,0.122070,-1.403809
0.125436,0.002925,0.049460,-1.586914,7.385254,-2.563477
0.128121,0.034175,0.076315,0.427246,-2.502441,-2.380371
0.098336,0.020991,0.057272,-2.502441,-3.784180,-2.075195
0.082223,0.038569,0.062643,-1.098633,-1.708984,-0.305176
0.099312,0.018061,0.041891,0.976562,-3.540039,-0.244141
0.094918,0.017817,0.041647,0.610352,-1.281738,-1.037598
0.094186,0.024653,0.055075,-0.366211,-3.234863,0.366211
0.103707,0.016597,0.017965,0.488281,-4.211426,-0.732422
0.086129,-0.014409,0.039694,0.854492,-5.859375,0.549316
0.116158,0.025630,0.042624,0.793457,-0.549316,-0.610352
0.089547,0.011958,-0.004984,0.061035,-3.112793,-0.427246
0.117379,0.013911,0.017965,0.793457,-1.037598,-0.915527
0.096383,0.014643,0.047995,-1.464844,-2.563477,-1.342773
0.106637,0.033686,0.048239,0.305176,-0.732422,-0.549316
0.108346,0.026362,0.047262,-2.258301,-0.610352,-0.488281
0.096383,0.017329,0.044821,0.854492,-0.793457,-0.244141
0.112984,0.011958,0.029684,0.549316,-1.159668,-0.915527
0.089791,0.021968,-0.001566,0.488281,-0.061035,-0.732422
0.102486,0.018794,0.022116,-0.732422,0.122070,-1.037598
0.087838,0.017329,0.025778,0.427246,-0.976562,-1.831055
0.111275,0.027827,0.027487,1.098633,-0.854492,-0.488281
0.077828,0.002192,0.011618,-0.183105,-1.708984,-2.258301
0.107857,0.026118,0.016989,-0.793457,0.000000,-2.014160
0.086861,0.006831,0.055319,0.976562,-1.281738,-1.586914
0.105172,0.020503,0.029684,0.427246,-0.671387,-1.525879
0.106881,0.022700,0.033346,-1.037598,-1.159668,-0.244141
0.104439,0.007808,0.039938,0.122070,-1.220703,-0.915527
0.101998,0.022456,0.027243,-0.061035,-0.488281,-0.610352
0.111519,0.016597,0.041159,2.807617,-3.784180,0.122070
0.109322,0.015132,0.051169,0.305176,0.732422,-1.831055
0.100777,0.013179,0.054831,0.427246,-0.305176,-1.647949
0.099068,0.016597,0.054098,-1.281738,1.342773,-2.929688
0.102975,0.042964,0.020895,-0.915527,0.122070,-2.624512
0.092965,0.015864,0.026266,0.427246,-1.464844,-1.281738
0.093453,0.013179,0.042135,1.403809,-0.610352,-1.342773
0.102242,0.032954,0.037741,0.854492,-1.342773,-1.098633
0.107857,0.024165,0.050680,-1.892090,1.281738,-0.488281
0.111764,0.014643,0.062643,0.244141,-1.525879,0.244141
0.107369,0.033198,0.058737,-0.915527,0.915527,-1.770020
0.099068,0.023433,0.056296,-1.037598,-1.586914,-0.549316
0.108346,0.025386,0.039450,0.244141,-1.281738,-1.708984
0.084176,0.027827,0.037741,1.464844,-1.403809,-0.305176
0.110787,0.017329,0.032370,0.000000,-2.441406,-1.525879
0.078072,0.039546,0.004538,0.122070,-2.807617,0.305176
0.100045,0.015376,0.034323,2.380371,-2.563477,1.953125
0.113961,0.015132,0.039938,0.305176,-3.295898,0.244141
0.119332,0.020991,0.033835,-0.122070,-0.488281,0.366211
0.102975,0.013423,0.043600,-1.525879,-1.037598,-1.586914
0.100777,0.025874,0.008688,0.549316,-1.220703,0.000000
0.116646,0.024409,0.048971,-1.708984,-1.525879,-1.892090
0.098092,0.031489,0.050192,1.037598,-3.479004,-1.342773
0.110299,0.016841,0.014059,-0.488281,-3.845215,-2.441406
0.095894,0.015132,0.011618,1.647949,-4.272461,-3.234863
0.102975,0.013911,0.018942,0.915527,-1.586914,-4.028320
0.082955,0.025874,0.017233,-1.220703,0.427246,-1.892090
0.097848,0.014399,0.050924,-1.708984,0.488281,-1.892090
0.099557,0.030024,0.066549,-0.610352,-1.464844,0.488281
0.128121,0.028560,0.031881,2.075195,-2.624512,0.671387
0.098092,0.015864,0.036276,-2.136230,-0.305176,-0.061035
0.116891,0.024409,0.038229,0.488281,0.366211,-0.793457
0.090523,0.025142,0.090475,-1.403809,0.793457,-1.708984
0.103463,0.012690,0.058493,0.549316,-0.915527,-0.793457
0.107857,0.028560,0.005758,-1.220703,-0.793457,-0.915527
0.098824,0.016597,0.067526,0.976562,-1.220703,0.122070
0.119332,0.024653,0.057760,1.770020,-3.112793,-0.976562
0.100777,0.006831,0.031881,-0.915527,-1.770020,-1.464844
0.102730,-0.000005,0.052633,1.342773,-3.112793,-0.488281
0.114205,0.028315,0.012106,-0.854492,-1.953125,-1.647949
0.096139,0.006099,0.061667,-0.244141,-4.333496,0.427246
0.124459,0.016597,0.017477,-1.220703,-0.793457,-1.831055
0.082467,0.030513,0.085104,-0.488281,-1.892090,-0.488281
0.092477,0.020991,0.055319,-3.234863,-0.244141,-1.403809
0.112496,0.029780,0.028708,0.854492,-3.967285,-0.244141
0.068795,0.020015,0.021628,0.000000,-1.708984,0.000000
0.092965,0.036372,0.055319,-3.723145,0.183105,1.037598
0.125924,0.030024,0.019919,0.000000,-1.525879,0.000000
0.080269,0.024897,0.058005,-0.244141,-1.892090,-1.464844
0.124459,0.024409,0.042624,0.305176,-2.380371,0.122070
0.110299,0.026362,0.035055,-2.929688,2.380371,-1.098633
0.096139,0.014155,0.002829,1.342773,-2.624512,-0.305176
0.110787,0.019526,0.004294,1.159668,-4.211426,-0.488281
0.094430,0.012690,0.042624,0.488281,0.793457,0.000000
0.092721,0.016597,0.029196,-0.427246,-0.488281,-1.098633
0.104684,0.020259,0.058981,-0.854492,0.061035,0.000000
0.097359,0.010981,0.012106,-0.610352,0.183105,-1.831055
0.061715,0.038569,0.008444,1.953125,-3.723145,-0.061035
0.081734,0.024653,0.033102,-1.220703,-0.244141,1.098633
0.072213,0.031977,0.048483,-1.892090,-3.723145,3.479004
0.099312,0.004390,0.064352,-3.295898,1.770020,2.380371
0.094430,0.025630,0.036764,2.319336,-3.417969,1.464844
0.071480,0.011714,0.053854,-0.061035,-3.295898,0.610352
0.105416,0.024165,0.052633,0.244141,-0.976562,1.159668
0.086861,0.000239,0.026755,0.305176,-0.122070,-0.427246
0.092965,0.013667,0.057028,0.000000,0.061035,0.244141
0.075387,0.003657,0.031881,-1.403809,-1.647949,-1.281738
0.086129,0.006831,-0.004740,-0.915527,-0.183105,0.122070
0.083199,0.011958,0.015280,-0.732422,0.427246,-0.732422
0.073922,0.018061,0.041403,-0.305176,-2.563477,-0.793457
0.086373,0.017573,0.051169,-0.854492,-1.220703,0.305176
0.075875,0.025874,0.039450,-0.244141,-0.976562,-1.647949
0.084664,0.017573,0.049215,0.732422,-2.258301,-1.831055
0.073678,0.024653,0.051657,1.037598,-0.976562,-1.831055
0.082223,0.002925,0.017233,0.000000,-1.525879,-1.403809
0.074898,0.026606,0.038473,0.366211,-1.464844,-2.136230
0.087838,0.024165,0.042380,0.000000,-1.403809,-0.610352
0.065621,0.002681,0.016501,-2.990723,0.305176,-0.122070
0.082467,0.019770,0.045797,-1.770020,0.976562,0.061035
0.088814,0.018061,0.050436,-0.610352,-1.342773,0.915527
0.078561,0.009517,0.061667,-2.197266,1.953125,-0.915527
0.096139,-0.031011,0.032126,-0.732422,-0.244141,-2.502441
0.060738,0.028804,0.018210,-0.366211,5.126953,-5.798340
0.057564,-0.004888,0.028952,-2.746582,-1.342773,0.061035
