ax,ay,az,gx,gy,gz
0.099424,0.015953,0.126406,-11.169434,-19.165039,-14.221191
0.088926,0.021568,0.143008,-11.596680,-13.366699,-16.235352
0.096739,0.031822,0.092470,-9.765625,-13.122559,-16.723633
0.081358,0.010338,0.173525,-14.099121,-16.723633,-14.709473
0.090391,0.018394,0.128359,-10.253906,-20.019531,-10.681152
0.106260,0.029625,0.133730,-14.343262,-19.165039,-13.305664
0.110655,0.026939,0.105166,-13.732910,-17.700195,-12.512207
0.108457,0.028160,0.143252,-12.939453,-20.996094,-13.061523
0.092832,0.041099,0.141054,-13.305664,-16.845703,-14.221191
0.110655,0.027672,0.145205,-11.657715,-17.456055,-14.648438
0.085264,0.016929,0.147890,-11.169434,-17.517090,-17.517090
0.097227,0.033043,0.106631,-11.779785,-22.583008,-13.427734
0.079405,0.040611,0.118838,-13.488770,-22.644043,-13.610840
0.084776,0.015220,0.120547,-11.352539,-21.789551,-12.817383
0.084043,0.017662,0.150332,-13.916016,-17.272949,-13.916016
0.087950,0.046715,0.127383,-11.840820,-18.737793,-13.061523
0.065489,0.022545,0.094912,-13.854980,-21.057129,-11.657715
0.091612,0.031334,0.126162,-13.671875,-16.418457,-14.160156
0.080137,0.038170,0.145693,-14.038086,-14.465332,-14.343262
0.080870,0.022301,0.138369,-11.596680,-19.348145,-11.962891
0.095030,0.042564,0.122744,-13.488770,-15.197754,-13.122559
0.110411,0.026207,0.157656,-13.488770,-15.869141,-14.343262
0.111875,0.022056,0.157900,-13.000488,-17.150879,-15.197754
0.101866,0.025963,0.118594,-13.122559,-17.578125,-15.991211
0.087217,0.030845,0.159121,-13.610840,-16.052246,-15.686035
0.089170,0.014976,0.149111,-13.183594,-16.357422,-15.258789
0.085508,0.028404,0.123476,-13.427734,-17.517090,-14.099121
0.088682,0.032310,0.101504,-13.793945,-20.568848,-14.221191
0.079405,0.027427,0.127627,-13.366699,-16.113281,-14.404297
0.092588,0.016685,0.136660,-13.916016,-17.272949,-14.404297
0.085020,0.038170,0.164492,-13.427734,-19.409180,-14.099121
0.099913,0.026695,0.134219,-13.549805,-19.165039,-13.977051
0.107725,0.042808,0.112734,-11.413574,-18.066406,-14.160156
0.099668,0.058189,0.137392,-10.192871,-17.272949,-12.512207
0.105039,0.029869,0.161806,-12.451172,-18.310547,-14.526367
0.076475,0.039146,0.172060,-9.460449,-19.287109,-15.258789
0.097227,0.027183,0.130312,-12.451172,-21.179199,-14.404297
0.061827,0.024254,0.138125,-12.512207,-17.211914,-15.014648
0.094541,0.028404,0.147402,-11.047363,-20.080566,-12.695312
0.091856,0.028648,0.114687,-14.465332,-17.028809,-14.404297
0.101377,0.012535,0.137148,-13.366699,-19.042969,-13.427734
0.087706,0.021080,0.157168,-11.291504,-18.005371,-13.366699
0.097715,0.015709,0.145449,-11.840820,-18.554688,-13.671875
0.081846,0.034019,0.113222,-12.451172,-17.517090,-15.319824
0.095518,0.029381,0.151797,-12.145996,-17.333984,-14.770508
0.071104,0.023277,0.133974,-12.695312,-18.371582,-15.502930
0.073057,0.029869,0.115420,-10.375977,-18.615723,-13.000488
0.090147,0.051597,0.117373,-9.399414,-14.404297,-14.038086
0.077940,0.011558,0.136172,-13.244629,-16.296387,-15.197754
0.080381,0.049156,0.125674,-13.244629,-20.324707,-13.854980
0.085508,0.028160,0.153261,-13.671875,-20.507812,-14.465332
0.085997,0.038902,0.130068,-12.329102,-19.165039,-15.625000
0.086973,0.046226,0.165713,-13.244629,-17.761230,-16.052246
0.081602,0.034996,0.166445,-12.939453,-19.042969,-15.380859
0.080870,0.028160,0.148623,-13.916016,-18.920898,-15.502930
0.090391,0.034752,0.142275,-13.000488,-18.432617,-14.465332
0.098936,0.025963,0.146670,-13.366699,-16.906738,-15.136719
0.077452,0.037926,0.156191,-11.413574,-19.165039,-14.282227
0.083799,0.038414,0.138369,-13.366699,-16.296387,-14.892578
0.083311,0.015220,0.147402,-12.329102,-19.226074,-13.793945
0.077452,0.030357,0.151797,-14.526367,-14.526367,-15.869141
0.080137,0.039390,0.182314,-12.023926,-16.967773,-13.977051
0.091612,0.041344,0.131289,-12.939453,-19.165039,-14.160156
0.070127,0.024742,0.152773,-12.817383,-15.991211,-13.732910
0.096739,0.039635,0.180361,-12.207031,-19.042969,-14.343262
0.079893,0.019615,0.148379,-12.634277,-16.845703,-14.648438
0.087950,0.034019,0.141543,-12.145996,-17.578125,-14.831543
0.101866,0.027916,0.145937,-13.244629,-18.127441,-14.953613
0.090147,0.027916,0.141543,-12.268066,-18.249512,-15.930176
0.087950,0.046959,0.141054,-11.596680,-19.714355,-15.380859
0.090635,0.018150,0.154482,-11.962891,-18.249512,-14.099121
0.116026,0.023033,0.127383,-13.183594,-20.019531,-14.099121
0.075010,0.010094,0.143496,-13.244629,-18.432617,-14.709473
0.105528,0.027183,0.153506,-13.488770,-19.897461,-13.549805
0.074034,0.043052,0.127627,-15.014648,-17.883301,-15.563965
0.086729,0.020103,0.180361,-13.610840,-17.761230,-15.136719
0.083555,0.032310,0.166933,-12.939453,-21.423340,-16.540527
0.081602,0.026939,0.164004,-12.817383,-19.714355,-14.465332
0.082579,0.036217,0.147890,-12.939453,-16.906738,-14.404297
0.080870,0.021324,0.177187,-13.793945,-16.479492,-15.197754
0.082334,0.025230,0.138857,-11.840820,-21.301270,-14.953613
0.077207,0.020347,0.177676,-12.939453,-17.883301,-13.916016
0.088926,0.031578,0.152285,-14.526367,-18.005371,-13.244629
0.099180,0.019127,0.143008,-14.648438,-18.188477,-14.404297
0.106993,0.025230,0.130312,-14.282227,-19.165039,-13.305664
0.090635,0.043541,0.149844,-12.878418,-19.897461,-13.305664
0.083067,0.031578,0.147890,-13.061523,-17.272949,-13.977051
0.106260,0.022789,0.128603,-13.061523,-19.165039,-15.136719
0.077696,0.032066,0.158877,-13.488770,-19.592285,-14.343262
0.093809,0.031578,0.148867,-13.305664,-20.935059,-13.977051
0.089659,0.028648,0.135439,-12.939453,-18.981934,-14.770508
0.101377,0.048424,0.130556,-12.695312,-18.249512,-15.319824
0.069639,0.027427,0.129824,-12.878418,-18.310547,-16.662598
0.073057,0.032310,0.133242,-12.634277,-17.395020,-15.014648
0.079893,0.041588,0.143008,-13.305664,-18.066406,-14.953613
0.062559,0.025963,0.124209,-12.329102,-17.456055,-14.465332
0.082579,0.042320,0.139590,-11.474609,-17.456055,-12.634277
0.097471,0.021568,0.115176,-13.610840,-18.249512,-14.831543
0.062071,0.032554,0.166445,-12.451172,-15.808105,-13.916016
0.090391,0.022056,0.158633,-13.488770,-16.174316,-14.892578
0.077207,0.042564,0.140322,-11.901855,-19.226074,-13.122559
0.058164,0.022301,0.163027,-12.878418,-15.563965,-15.014648
0.101866,0.039635,0.158144,-12.512207,-18.920898,-13.610840
0.109434,0.046470,0.112490,-12.817383,-16.418457,-15.991211
0.065977,0.033043,0.124209,-12.512207,-19.165039,-14.892578
0.091856,0.034263,0.137881,-13.061523,-17.822266,-14.587402
0.097959,0.035972,0.149599,-13.305664,-18.493652,-13.427734
0.057920,0.031822,0.183047,-13.671875,-17.089844,-14.160156
0.093077,0.027183,0.129824,-13.549805,-20.751953,-13.610840
0.057188,0.027672,0.165713,-12.695312,-19.470215,-14.282227
0.092344,0.026695,0.158388,-14.282227,-17.639160,-14.099121
