ax,ay,az,gx,gy,gz
0.119854,0.036733,0.239418,6.042480,2.319336,2.563477
0.131573,0.046498,0.224769,6.225586,0.854492,1.708984
0.123516,0.039906,0.233802,-0.549316,-0.305176,-0.427246
0.108868,0.033071,0.229164,-0.549316,5.004883,-1.098633
0.121807,0.053822,0.241615,-2.929688,1.342773,-0.915527
0.120586,0.058217,0.197914,-4.089355,3.295898,-0.549316
0.101055,0.048696,0.237953,-5.493164,6.103516,-2.746582
0.124493,0.055043,0.232338,3.234863,5.126953,-1.525879
0.116192,0.051137,0.226478,-1.220703,6.408691,-3.173828
0.103252,0.071645,0.217689,-0.183105,7.812500,-6.286621
0.089336,0.049672,0.243080,-0.488281,6.652832,-4.638672
0.106914,0.043324,0.243568,2.014160,5.615234,0.610352
0.111065,0.020619,0.234779,2.258301,-5.798340,7.690430
0.151592,0.014028,0.232338,4.150391,-3.845215,5.187988
0.145245,0.028188,0.220375,3.479004,-4.394531,2.197266
0.135479,0.044057,0.195228,2.929688,-0.305176,-1.220703
0.109112,0.024037,0.236244,-0.976562,2.014160,-1.647949
0.149151,0.036000,0.210853,-1.464844,8.178711,-2.319336
0.136700,0.033315,0.236976,-2.868652,15.075684,-6.896973
0.117413,0.018910,0.239173,1.647949,14.587402,-7.629395
0.090313,0.042836,0.233802,1.220703,4.943848,-2.868652
0.142315,0.061147,0.232338,0.427246,-1.892090,1.159668
0.114239,0.054067,0.201332,-0.488281,0.366211,2.868652
0.111065,0.067494,0.209388,-0.427246,3.601074,1.464844
0.130108,0.049916,0.186439,-2.563477,-1.220703,7.324219
0.134991,0.001576,0.229408,-1.525879,6.896973,2.319336
0.139141,0.052113,0.217445,-0.671387,0.183105,0.000000
0.134014,0.036000,0.213539,-0.244141,2.258301,1.342773
0.155254,0.046010,0.182045,-0.244141,5.798340,0.732422
0.151836,0.038686,0.195228,-2.807617,2.929688,1.525879
0.146465,0.036488,0.231605,-0.854492,2.929688,-0.793457
0.149883,0.046010,0.227943,1.770020,0.732422,-1.281738
0.142803,0.043324,0.199379,0.549316,0.366211,-1.525879
0.123028,0.050893,0.176673,1.281738,-1.281738,-0.610352
0.155254,0.042348,0.195961,-0.061035,0.183105,1.159668
0.124981,0.031362,0.242103,2.807617,0.061035,-4.150391
0.140362,0.056996,0.214515,0.854492,0.000000,-1.953125
0.115704,0.047719,0.223060,2.929688,-1.708984,-0.305176
0.147442,0.055776,0.185951,0.244141,-0.976562,2.563477
0.135235,0.041127,0.223060,1.037598,-2.502441,3.906250
0.150127,0.054067,0.210853,3.173828,1.281738,-1.281738
0.138897,0.041615,0.200355,2.014160,-0.610352,-0.549316
0.127666,0.042836,0.204994,3.540039,-1.098633,1.342773
0.118145,0.055531,0.231605,1.342773,-3.662109,3.356934
0.129375,0.044545,0.168373,-0.244141,-7.141113,5.554199
0.161358,0.049672,0.223548,0.183105,-1.708984,2.502441
0.155987,0.022572,0.215004,0.915527,-2.075195,2.807617
0.138164,0.044789,0.204261,2.136230,-1.098633,3.173828
0.156231,0.038442,0.192787,1.098633,-1.281738,0.000000
0.128643,0.020619,0.225013,2.685547,1.770020,-0.366211
0.141338,0.020619,0.199134,2.868652,5.493164,-0.732422
0.153545,0.037709,0.174232,3.417969,3.051758,0.549316
0.157452,0.043569,0.171547,1.220703,0.976562,-1.525879
0.165752,0.044301,0.186195,-0.976562,1.953125,-5.493164
0.124004,0.038442,0.225013,1.159668,2.929688,-9.277344
0.144268,0.041615,0.219154,-0.854492,-2.929688,-4.577637
0.146709,0.045278,0.186439,0.671387,3.540039,-6.225586
0.130596,0.052602,0.196205,-0.549316,4.699707,-6.652832
0.136455,0.045033,0.236732,0.732422,3.479004,-6.042480
0.132061,0.047719,0.225502,1.403809,1.159668,-0.915527
0.143291,0.048207,0.197914,1.525879,0.122070,0.244141
0.152813,0.040395,0.215492,1.831055,-2.380371,2.868652
0.185772,0.037221,0.189857,1.037598,-2.502441,1.892090
0.188213,0.055043,0.204261,1.770020,1.098633,2.380371
0.193340,0.038197,0.179115,0.000000,-2.685547,1.159668
0.145977,0.036000,0.245033,0.671387,-0.488281,0.671387
0.162579,0.054311,0.197181,2.014160,-0.732422,1.464844
0.155743,0.063588,0.183754,-0.427246,0.305176,1.770020
0.176250,0.064076,0.235023,2.014160,-1.831055,2.075195
0.150127,0.046987,0.181312,2.746582,-1.159668,2.014160
0.161846,0.033803,0.186195,1.281738,-0.671387,2.136230
0.167461,0.037221,0.222816,1.098633,-1.159668,2.136230
0.166485,0.049916,0.185707,0.976562,-0.366211,1.647949
0.179913,0.055043,0.232338,1.647949,2.319336,-0.305176
0.155743,0.045522,0.180336,0.671387,2.075195,0.366211
0.152569,0.050160,0.199379,-0.122070,3.173828,0.427246
0.161846,0.050649,0.200843,0.488281,1.220703,0.793457
0.161602,0.050160,0.185218,1.281738,1.525879,1.403809
0.148663,0.036244,0.193275,2.380371,2.197266,0.610352
0.161846,0.053578,0.193275,1.708984,-0.732422,1.770020
0.178692,0.049184,0.202064,1.281738,-0.671387,-0.793457
0.141827,0.025258,0.199379,2.380371,-0.122070,-0.427246
0.153057,0.034535,0.207191,1.892090,1.525879,-0.488281
0.154278,0.035268,0.196937,2.441406,-2.014160,0.183105
0.156719,0.036977,0.197425,0.854492,1.281738,0.488281
0.170147,0.055043,0.176185,3.051758,-0.976562,0.061035
0.169659,0.049916,0.207435,0.671387,1.098633,1.708984
0.179180,0.036488,0.211097,0.183105,0.366211,-1.098633
0.155987,0.062367,0.207191,0.427246,2.685547,-1.708984
0.160870,0.060170,0.223060,1.037598,4.699707,-2.136230
0.151104,0.067983,0.231849,2.136230,3.601074,-2.441406
0.143047,0.062123,0.241859,3.845215,3.967285,0.183105
0.152813,0.032338,0.230384,5.249023,0.000000,0.305176
0.193584,0.029164,0.203773,4.882812,-3.295898,4.455566
0.172100,0.036977,0.184242,5.432129,-2.441406,2.990723
0.181133,0.037709,0.156410,1.037598,-0.244141,0.366211
0.174786,0.037221,0.200111,0.427246,-1.831055,-2.136230
0.163067,0.018178,0.198890,-0.915527,-0.915527,-1.342773
0.144756,0.064321,0.199379,-0.915527,0.366211,-0.915527
0.157940,0.066029,0.202064,-0.732422,-1.525879,0.854492
0.150860,0.051869,0.231117,-1.220703,2.075195,1.770020
0.152569,0.057973,0.218910,0.671387,3.234863,2.197266
0.142315,0.056996,0.234291,0.976562,2.319336,2.258301
0.157940,0.043324,0.246254,1.708984,2.075195,1.647949
0.155254,0.038686,0.183265,2.563477,3.234863,1.770020
0.150127,0.032338,0.178627,2.197266,2.258301,0.183105
0.195293,0.049672,0.160804,1.098633,0.793457,0.488281
0.163311,0.041615,0.187172,1.281738,1.220703,-1.159668
0.152325,0.038686,0.213539,0.244141,2.197266,0.183105
0.151592,0.047719,0.214271,2.502441,1.647949,-0.671387
0.172832,0.051381,0.236488,0.732422,1.098633,1.708984
0.134014,0.064565,0.214759,2.502441,1.220703,0.671387
0.142315,0.055043,0.195716,1.770020,-1.037598,1.464844
0.153545,0.045278,0.179603,2.014160,1.708984,3.173828
0.179424,0.041371,0.168617,1.892090,-0.244141,1.586914
0.162090,0.044057,0.209632,3.173828,-0.854492,0.061035
0.135235,0.044789,0.188636,1.770020,2.319336,-0.610352
0.135479,0.041615,0.206214,1.953125,0.244141,0.793457
0.119610,0.050404,0.173011,1.953125,1.037598,1.464844
0.155254,0.037221,0.172767,1.525879,2.441406,0.305176
0.182354,0.032826,0.182533,1.647949,0.183105,1.647949
0.176495,0.038686,0.181556,2.136230,2.319336,-0.183105
0.173321,0.043813,0.190834,1.281738,0.549316,0.061035
0.151104,0.050649,0.211586,0.793457,0.061035,0.000000
0.143536,0.038930,0.223060,-0.122070,1.159668,1.220703
0.152813,0.044301,0.199379,1.892090,-1.770020,1.098633
0.154034,0.054555,0.207679,0.122070,-1.892090,1.831055
0.164776,0.030141,0.223304,-0.244141,-1.464844,1.892090
0.146954,0.037953,0.206703,0.610352,-1.037598,0.915527
0.144756,0.059194,0.213783,0.305176,-0.671387,-0.244141
0.152569,0.042836,0.197425,0.793457,1.098633,1.159668
0.120342,0.046987,0.180336,1.831055,0.671387,0.915527
0.168438,0.044057,0.193275,1.525879,0.976562,0.061035
0.182598,0.046987,0.184974,1.525879,0.915527,0.915527
0.176250,0.050160,0.219154,2.441406,0.610352,-0.427246
0.172100,0.048696,0.194984,2.746582,2.990723,-2.014160
0.163311,0.040395,0.223060,2.807617,0.976562,-2.258301
0.157207,0.036488,0.168617,1.220703,-1.159668,-1.403809
0.162090,0.042592,0.210853,2.868652,0.366211,-1.708984
0.165752,0.057485,0.176185,1.159668,-1.281738,-0.732422
0.191631,0.033803,0.222572,-0.244141,-0.854492,-1.831055
0.221172,0.055043,0.177894,0.549316,-0.427246,-3.540039
0.282452,0.022572,0.218910,1.342773,4.821777,-8.483887
0.384014,0.033559,0.226722,5.554199,-3.295898,-13.244629
0.495586,0.041127,0.169105,0.671387,-19.836426,-23.986816
0.597393,-0.004283,0.165443,4.821777,-23.437500,-42.663574
0.668682,-0.049937,0.135658,-2.380371,-24.841309,-66.772461
0.715801,-0.076060,0.146644,-2.014160,-24.597168,-78.125000
0.734112,-0.103404,0.141273,-11.169434,-24.963379,-102.478027
0.697246,-0.076549,0.230873,-11.413574,-15.258789,-108.581543
0.776348,-0.074840,0.235023,-8.911133,-10.803223,-124.694824
0.787090,-0.057506,0.252357,-9.094238,-18.615723,-135.375977
0.707989,0.019399,0.281898,-6.774902,-2.258301,-150.390625
0.697979,0.154897,0.223793,-4.455566,-20.446777,-146.362305
0.633770,0.278432,0.194496,-2.746582,-17.517090,-139.709473
0.617168,0.417592,0.175697,-0.427246,-10.009766,-130.310059
0.589580,0.557485,0.096351,8.056641,-10.986328,-122.680664
0.518780,0.698354,0.046791,15.014648,-4.699707,-101.501465
0.507061,0.783803,0.023597,7.873535,-6.652832,-87.585449
0.527080,0.909047,0.005531,3.173828,-5.126953,-49.438477
0.595196,0.924672,-0.025963,-3.967285,1.220703,-32.958984
0.695538,0.994985,-0.002282,-3.723145,-3.356934,-15.197754
0.751690,0.999135,0.003822,2.136230,23.986816,-6.225586
0.834454,0.985707,0.016761,-3.540039,-6.835938,8.605957
0.962871,0.944692,0.014076,-9.216309,19.775391,0.488281
1.005352,0.959828,0.084632,-5.798340,25.085449,6.225586
1.040264,0.939076,0.181556,1.037598,44.189453,8.728027
1.042950,0.959584,0.198890,-3.417969,28.381348,2.624512
1.021953,0.967641,0.132972,15.258789,11.596680,3.540039
1.041241,0.957875,0.085853,3.723145,9.033203,-6.469727
1.004375,1.003285,0.226234,-27.404785,-28.991699,-3.967285
1.026592,0.961049,0.118568,-7.080078,-15.991211,2.929688
0.953106,0.947377,0.122963,2.990723,-1.403809,-2.807617
0.947002,0.953237,0.079505,3.051758,-21.362305,5.737305
0.911602,0.974965,0.095375,2.014160,7.080078,11.718750
0.939190,0.934438,0.054603,0.427246,-2.197266,4.577637
0.952129,0.931264,0.025306,-11.901855,-0.488281,6.958008
1.006817,0.910756,-0.024743,-6.347656,-3.723145,9.582520
0.993389,0.893178,-0.112877,-19.042969,-1.159668,2.990723
1.000957,0.876576,-0.094323,-23.742676,17.089844,9.765625
1.056133,0.824330,-0.047936,-35.888672,-3.540039,2.319336
1.045147,0.823110,-0.128991,-37.902832,-5.737305,-4.821777
1.044659,0.776967,-0.133873,-53.710938,-11.718750,-9.887695
1.007061,0.809438,-0.150963,-61.828613,9.826660,-14.221191
1.141582,0.671986,-0.161217,-70.129395,-7.568359,-18.493652
1.010479,0.685658,-0.132897,-93.994141,-3.417969,-34.179688
0.955547,0.644399,-0.119225,-108.581543,4.028320,-39.916992
0.876446,0.674428,-0.023034,-113.220215,38.024902,-25.756836
0.771465,0.730092,0.069740,-133.361816,0.915527,-23.620605
0.929913,0.613393,0.111000,-148.559570,2.929688,-9.887695
0.833721,0.729360,0.242103,-156.616211,24.841309,-22.521973
0.829571,0.710072,0.439857,-150.146484,8.972168,-12.756348
0.870098,0.787953,0.402504,-139.282227,-4.943848,1.831055
1.009502,0.752797,0.448402,-109.558105,1.953125,14.770508
0.916729,0.834828,0.335609,-106.323242,25.390625,-4.211426
0.816387,0.994985,0.454994,-95.458984,22.949219,6.225586
1.054912,0.887807,0.650550,-77.636719,-9.704590,22.033691
1.011700,0.996205,0.689125,-49.133301,10.070801,1.586914
1.050518,1.006459,0.536048,-12.573242,7.263184,2.258301
0.929424,0.992787,0.635658,-5.187988,2.807617,-5.310059
0.964092,0.979360,0.609047,33.508301,2.380371,-2.075195
0.901104,0.968129,0.575111,51.330566,-12.084961,1.953125
0.852764,0.916127,0.591957,68.603516,-13.244629,5.981445
0.911114,0.812123,0.605629,91.979980,-15.197754,13.122559
0.942608,0.748158,0.520912,113.647461,-27.526855,16.357422
1.009746,0.643178,0.418861,136.413574,-13.610840,8.544922
0.947979,0.591908,0.341713,144.897461,-21.789551,10.437012
0.984112,0.547475,0.251136,145.996094,-1.342773,8.850098
1.028545,0.568715,0.252113,154.479980,-10.925293,3.051758
0.929424,0.593373,0.267738,148.559570,-23.681641,2.014160
0.996563,0.544545,0.034584,158.569336,-3.540039,-7.751465
0.965313,0.640248,0.115394,148.620605,-17.944336,-1.647949
0.895977,0.650014,-0.137780,149.291992,-2.075195,-8.789062
1.042461,0.690785,-0.218834,123.535156,-55.114746,-0.671387
0.875713,0.790395,-0.368981,108.337402,35.278320,-15.808105
0.835918,0.835561,-0.473961,89.599609,-8.178711,-3.845215
0.734112,0.911244,-0.495934,59.631348,-0.732422,7.263184
0.687969,0.926137,-0.510338,30.822754,-17.822266,17.089844
0.554424,0.973988,-0.308434,6.225586,-18.737793,35.339355
0.490704,0.925649,-0.177819,-0.305176,-4.638672,52.368164
0.444561,0.830922,-0.162926,-0.671387,-5.065918,77.453613
0.503887,0.805776,-0.013268,-18.981934,27.587891,107.055664
0.676495,0.569692,0.028724,-8.117676,37.597656,114.746094
0.692120,0.542348,0.123451,-3.295898,29.724121,124.694824
0.607403,0.283315,0.003822,4.394531,-3.967285,129.089355
0.319073,0.050160,0.018959,4.516602,-6.347656,155.517578
0.615704,-0.212291,0.193519,-0.305176,-34.057617,179.260254
0.454571,-0.179820,0.131507,13.488770,12.512207,192.565918
1.049297,-0.425914,0.220863,5.126953,11.291504,174.011230
0.593487,-0.214488,0.179115,29.602051,89.477539,141.418457
0.841778,-0.257213,0.212074,13.610840,21.545410,133.300781
0.629375,-0.199107,0.149086,20.935059,121.032715,90.454102
0.612530,-0.078014,0.237220,-6.103516,127.502441,70.617676
0.548809,-0.019420,0.343666,-2.075195,99.426270,54.016113
0.544170,0.027699,0.266273,-0.183105,55.847168,37.597656
0.518047,0.016469,0.226966,-0.976562,27.282715,19.653320
0.394024,0.032094,0.226478,6.347656,25.146484,-3.356934
0.272442,0.024281,0.241615,1.708984,-27.343750,-13.000488
0.159161,0.036733,0.140541,11.047363,-16.174316,-21.057129
0.105205,0.037465,0.190834,3.417969,1.159668,-29.052734
0.075909,0.024281,0.204017,4.150391,-8.117676,-25.085449
0.254620,0.054311,0.183509,7.202148,-10.070801,-25.512695
0.387676,0.045278,0.160804,8.789062,0.305176,-33.447266
0.496319,0.027455,0.271888,7.446289,-10.925293,-49.011230
0.631329,-0.000377,0.341468,13.061523,-42.053223,-53.161621
0.757061,-0.090221,0.181068,17.456055,-67.993164,-81.787109
0.801250,-0.149058,0.231605,8.605957,-58.105469,-106.628418
0.787090,-0.172740,0.228187,11.840820,-53.833008,-128.601074
0.813946,-0.182750,0.224525,5.371094,-53.649902,-144.531250
