ax,ay,az,gx,gy,gz
0.033628,1.160145,0.996594,-1.892090,-1.525879,0.061035
0.021665,1.130604,1.053479,2.746582,-1.464844,-0.854492
0.016782,1.141834,1.007580,0.183105,0.915527,-2.624512
0.055112,1.146473,0.966809,1.831055,-4.089355,0.976562
0.031919,1.128162,1.022229,-0.671387,-1.525879,-2.746582
0.061704,1.158436,0.982190,-0.732422,-3.234863,-0.732422
0.025083,1.124500,1.039075,-0.244141,-4.028320,-2.258301
0.016050,1.135731,1.000744,1.220703,-1.831055,-2.014160
0.020932,1.161121,0.993176,-0.427246,-0.366211,0.000000
0.036557,1.141590,0.993664,1.342773,-3.173828,-0.488281
0.031430,1.141590,1.034436,0.610352,0.427246,-2.746582
0.047055,1.134510,0.975842,2.136230,-4.455566,-0.732422
0.034360,1.140369,0.986828,-2.441406,-1.831055,-4.394531
0.028745,1.143299,0.980481,-0.732422,-3.784180,-1.708984
0.014096,1.145740,1.026379,-0.854492,3.051758,-2.685547
0.033384,1.139881,1.011487,-2.563477,1.098633,-1.708984
0.044126,1.162098,0.997815,0.183105,-1.403809,0.305176
0.044614,1.127430,0.978772,-1.464844,-2.258301,-2.624512
-0.008853,1.134754,1.008557,-0.549316,-1.098633,-3.234863
0.024106,1.133045,1.014172,-0.366211,-2.258301,0.122070
0.039487,1.148182,1.000500,-0.305176,-1.342773,0.854492
0.027768,1.142322,1.044934,-2.685547,1.892090,-4.272461
0.024839,1.136951,1.001477,3.234863,-3.601074,0.793457
0.036069,1.140369,0.995129,-0.549316,-2.868652,-1.159668
0.019956,1.141346,1.031262,1.342773,-2.441406,-3.601074
0.030942,1.149647,1.040051,-0.732422,0.366211,0.671387
0.023862,1.147694,0.966809,0.549316,-2.563477,0.549316
0.002622,1.126453,1.045910,-0.122070,3.906250,-3.540039
0.022886,1.131580,1.011243,1.525879,-2.136230,0.549316
0.029233,1.128895,1.047375,-0.732422,-3.295898,-2.258301
0.039975,1.132069,1.015637,-0.183105,-2.563477,-1.708984
0.028013,1.149891,1.018078,-0.732422,-0.427246,-1.037598
0.023130,1.148426,1.009778,-0.854492,-0.549316,-0.549316
0.022397,1.152088,0.994397,0.122070,-0.305176,-1.037598
0.040952,1.144520,1.017102,0.366211,-1.220703,-2.746582
0.034604,1.143787,1.022717,-0.305176,-1.586914,0.183105
0.008481,1.137928,1.031018,0.183105,-2.319336,-1.037598
0.025083,1.128895,0.991467,3.723145,-2.990723,-2.075195
0.026792,1.136463,1.020520,1.220703,-3.173828,-1.220703
0.054380,1.136707,0.979260,2.929688,-5.859375,-0.244141
0.005552,1.124256,1.039807,-2.258301,-0.671387,-2.746582
0.027524,1.129627,1.014172,-1.586914,-1.464844,-1.098633
0.021177,1.152332,1.006604,0.000000,-1.708984,-0.671387
0.008481,1.144276,0.998059,-0.610352,-0.427246,-2.868652
0.019956,1.144276,0.963635,1.342773,-2.685547,0.000000
0.026548,1.134266,1.010754,0.915527,-1.098633,-1.708984
0.019956,1.147694,1.016369,1.037598,-2.807617,-1.831055
0.041440,1.142567,0.974133,-1.403809,-2.807617,-0.366211
0.019468,1.135731,1.032971,-0.183105,-0.366211,-1.525879
0.014585,1.136463,0.982434,-4.333496,0.671387,-2.014160
0.044614,1.150135,1.020764,0.854492,-4.455566,1.647949
0.016782,1.141590,0.983166,1.159668,-0.366211,-2.929688
0.016294,1.145496,1.001721,1.770020,-2.441406,-1.647949
0.017270,1.140125,0.982922,0.793457,-2.990723,0.000000
0.034848,1.137195,0.978528,-1.831055,-1.770020,-0.732422
0.022886,1.151111,1.010510,-1.586914,-2.685547,-0.488281
0.031675,1.121815,1.036877,1.281738,-0.244141,-1.464844
0.053159,1.140125,0.966076,-0.427246,-0.610352,-1.220703
0.037046,1.130604,0.991223,-0.305176,-0.244141,-0.427246
0.050229,1.155018,1.004651,1.098633,-1.708984,-2.319336
0.014096,1.149647,0.995373,-0.671387,-1.586914,-2.380371
0.035581,1.145496,1.000744,-1.098633,-1.831055,-1.403809
0.026059,1.139393,0.995373,0.000000,-1.342773,-1.953125
0.034604,1.147205,0.985364,-1.220703,0.610352,-1.831055
0.008481,1.152576,1.009778,-0.244141,-2.014160,-0.183105
0.028257,1.134998,0.994397,-0.244141,-2.990723,-1.892090
0.008970,1.168934,0.992444,0.854492,-2.441406,-1.281738
0.041684,1.140613,1.021741,0.061035,-2.258301,0.427246
-0.002993,1.152820,1.013684,-0.549316,1.525879,-1.281738
0.018003,1.135486,1.017834,-0.793457,-2.990723,0.732422
0.030210,1.126453,1.004651,1.647949,-1.953125,-0.732422
0.026792,1.151600,0.990491,0.061035,-2.868652,-1.281738
0.047788,1.142811,1.051037,-0.610352,0.488281,0.671387
0.031675,1.144276,1.007825,1.892090,-3.356934,-1.892090
0.032163,1.142078,1.003918,1.220703,-2.807617,-0.366211
0.039731,1.125965,1.010754,1.220703,-2.319336,-3.295898
0.026304,1.130848,0.988782,0.915527,-4.089355,-1.037598
0.040464,1.135242,0.966809,-3.112793,-1.159668,-2.075195
0.016294,1.152820,1.022961,-0.793457,-1.220703,-2.319336
0.022641,1.132069,1.035657,0.122070,-0.671387,-0.732422
0.022397,1.131336,1.013196,-0.183105,-0.305176,-1.770020
0.026792,1.133533,0.976086,0.427246,-4.150391,0.122070
0.043393,1.104481,1.017590,-3.112793,-2.990723,-2.319336
0.025083,1.140125,1.055676,-1.953125,-0.976562,0.244141
0.046811,1.147938,0.995618,0.671387,-3.112793,-0.976562
0.031430,1.158436,0.996350,-1.525879,3.845215,-4.150391
0.016050,1.138904,0.990002,-0.244141,-2.136230,-0.122070
0.038511,1.145985,0.981457,-2.197266,-0.366211,-1.342773
0.016538,1.154285,1.034924,0.732422,-0.915527,-2.502441
0.023618,1.155994,1.025891,1.525879,-2.380371,0.488281
0.039487,1.141346,0.983655,-0.793457,-1.342773,0.061035
0.019956,1.147694,1.012707,1.403809,-3.051758,-0.488281
0.041196,1.129627,0.999280,-1.586914,0.427246,-1.770020
0.011899,1.148670,1.010510,0.793457,-3.112793,-0.366211
0.042173,1.152332,0.930432,2.441406,-5.859375,-2.441406
-0.018130,1.155018,1.014416,-7.019043,2.685547,-1.647949
0.049009,1.166248,1.006360,6.530762,-4.394531,5.371094
0.040708,1.158680,1.027844,-0.854492,2.014160,-4.882812
0.031430,1.148182,1.022473,3.540039,-4.760742,3.051758
