ax,ay,az,gx,gy,gz
-0.048359,0.020131,0.218177,3.234863,1.464844,-1.403809
-0.051533,0.018910,0.219398,3.601074,0.610352,-2.075195
-0.042500,0.035756,0.235023,2.258301,2.929688,1.525879
-0.037861,0.043813,0.184242,1.403809,1.770020,1.037598
-0.046894,0.021352,0.245521,1.464844,2.075195,1.586914
-0.024921,0.035756,0.241127,1.953125,-0.183105,0.183105
-0.055195,0.029653,0.242836,1.953125,0.976562,-0.305176
-0.041523,0.037465,0.229408,3.234863,1.403809,0.488281
-0.050800,0.032338,0.213050,2.075195,-0.549316,0.244141
-0.036884,0.018910,0.221351,2.807617,2.380371,1.403809
-0.048603,0.026235,0.200843,2.075195,1.525879,0.549316
-0.044453,0.032826,0.227211,1.525879,1.525879,0.122070
-0.026875,0.044057,0.216468,2.746582,1.098633,-0.183105
-0.044209,0.038197,0.246986,1.647949,-0.122070,0.488281
-0.036884,0.038686,0.176429,3.234863,0.000000,-0.976562
-0.040058,0.025502,0.223548,2.990723,0.061035,1.525879
-0.039570,0.036488,0.190345,2.258301,-0.976562,-2.136230
-0.038593,0.047475,0.195716,0.427246,-0.366211,-0.732422
-0.048359,0.037709,0.225257,3.356934,0.610352,1.281738
-0.049336,0.024526,0.163734,1.037598,-1.586914,-0.183105
-0.050312,0.045278,0.200355,1.037598,-0.305176,0.305176
-0.036884,0.027455,0.230384,2.563477,-1.708984,1.403809
-0.050312,0.030873,0.208900,2.746582,-0.854492,0.122070
-0.031757,0.037221,0.192543,3.234863,-1.220703,-0.732422
-0.060566,0.025014,0.226234,1.220703,0.671387,1.281738
-0.049824,0.036977,0.159584,2.441406,-0.610352,-0.671387
-0.043720,0.034779,0.205970,1.831055,0.488281,0.793457
-0.055439,0.024770,0.223793,1.586914,1.281738,-1.281738
-0.027851,0.050160,0.185707,1.953125,2.197266,-0.610352
-0.046650,0.039174,0.224769,2.319336,4.638672,1.953125
-0.031757,0.036244,0.210365,1.953125,1.098633,-0.183105
-0.021015,0.021596,0.198158,2.136230,-2.502441,0.122070
-0.042255,0.032826,0.214271,2.197266,1.220703,-0.183105
-0.053486,0.052846,0.189125,2.990723,0.305176,-1.586914
-0.044209,0.036977,0.213050,2.929688,0.793457,-0.122070
-0.073017,0.033559,0.222572,1.770020,-0.427246,-0.244141
-0.041035,0.034779,0.231605,2.990723,0.122070,1.464844
