,ax,ay,az,gx,gy,gz
0,-0.072954,1.286336,1.016339,2.685547,-2.13623,-1.281738
1,-0.080523,1.309773,1.03172,0.061035,-0.244141,-1.281738
2,-0.052935,1.283162,0.962384,1.342773,-0.854492,-0.549316
3,-0.081499,1.291951,0.998273,0.427246,0.183105,-1.098633
4,-0.075396,1.301473,0.974591,1.647949,-1.89209,0.610352
5,-0.064898,1.292195,0.898419,0.793457,-1.098633,-0.427246
6,-0.066851,1.290242,0.968243,1.525879,0.793457,-0.671387
7,-0.083941,1.272664,1.039044,1.342773,-0.732422,1.647949
8,-0.057818,1.284383,1.017071,0.976562,0.305176,0.061035
9,-0.054888,1.29781,1.042462,1.220703,-2.01416,-0.549316
10,-0.084673,1.29073,0.959454,1.708984,-0.12207,-0.610352
11,-0.054644,1.293416,0.89671,-0.488281,-1.403809,-0.976562
12,-0.072222,1.276082,1.0117,1.220703,-2.075195,0.915527
13,-0.060992,1.286092,0.944318,1.647949,-0.061035,-0.793457
14,-0.055376,1.299519,0.923077,2.502441,-1.464844,-0.793457
15,-0.063433,1.312215,0.910382,1.281738,-1.098633,-1.708984
16,-0.081255,1.288533,0.949689,0.244141,0.854492,-0.610352
17,-0.034869,1.306355,0.919171,0.976562,-2.868652,-1.403809
18,-0.061968,1.301473,0.924786,1.586914,-2.075195,-1.525879
19,-0.063189,1.280965,0.964825,1.708984,-1.831055,-0.488281
20,-0.04854,1.284383,0.900861,0.244141,-1.037598,-0.671387
21,-0.067095,1.290486,0.931378,-1.586914,0.0,-1.098633
22,-0.06563,1.290486,1.000958,1.159668,-0.366211,0.061035
23,-0.065386,1.30074,0.932599,2.807617,-2.075195,-0.671387
24,-0.066363,1.318074,0.939191,-0.610352,-0.793457,-0.915527
25,-0.068316,1.291951,0.953839,1.831055,-1.525879,0.427246
26,-0.055376,1.288045,1.057355,0.976562,-1.159668,-0.610352
27,-0.074908,1.288045,0.915265,2.868652,-2.502441,-0.488281
28,-0.067339,1.292683,1.00755,0.549316,0.366211,-0.061035
29,-0.070269,1.274129,0.932843,1.89209,0.061035,-0.610352
30,-0.077593,1.288045,0.956036,1.77002,-0.183105,-0.732422
31,-0.084917,1.279744,0.99632,-1.403809,-0.12207,-1.77002
32,-0.064165,1.301717,0.935284,1.89209,-2.807617,-0.427246
33,-0.064165,1.298299,0.905011,0.854492,-0.671387,-1.281738
34,-0.072954,1.304646,1.016827,1.831055,-2.380371,-0.854492
35,-0.068316,1.294637,1.016827,0.0,-1.586914,0.366211
36,-0.058062,1.275594,0.992657,1.708984,-0.549316,-0.061035
37,-0.065142,1.289998,0.950421,0.915527,-1.464844,-0.427246
38,-0.047808,1.284139,0.94212,2.01416,-2.441406,0.061035
39,-0.066607,1.269734,0.942365,0.488281,-1.403809,-1.831055
40,-0.072466,1.278523,1.017071,2.13623,-2.807617,-0.671387
41,-0.061968,1.275594,1.059064,1.098633,-2.502441,-0.976562
42,-0.070025,1.307332,0.91673,1.342773,-2.990723,-0.061035
43,-0.074175,1.293416,0.972638,-0.183105,-0.732422,-1.037598
44,-0.046587,1.2795,1.017316,0.244141,0.671387,-0.671387
45,-0.057574,1.28951,0.988019,1.342773,-0.244141,-1.77002
46,-0.058062,1.290974,0.971661,-0.12207,-0.12207,-1.89209
47,-0.057085,1.284139,0.991925,2.441406,-3.295898,-0.610352
48,-0.064898,1.289754,0.987042,1.464844,-1.831055,-1.77002
49,-0.052447,1.298299,0.900616,0.793457,-0.732422,-1.831055
50,-0.056841,1.281941,0.984113,0.793457,-1.464844,-0.793457
51,-0.063189,1.301228,0.938214,1.525879,-0.427246,-0.305176
52,-0.058062,1.292195,0.940411,0.427246,-1.708984,-1.281738
53,-0.073443,1.283894,0.948224,1.953125,-0.305176,-0.549316
54,-0.072222,1.274617,1.011456,0.061035,-1.647949,0.183105
55,-0.038775,1.292195,0.990948,2.441406,0.061035,-0.915527
56,-0.073199,1.288533,1.015118,1.464844,0.488281,-0.854492
57,-0.065386,1.285359,0.982404,2.380371,-0.732422,-1.342773
58,-0.056841,1.31368,0.926984,2.319336,-1.525879,-0.183105
59,-0.053912,1.277303,0.950421,0.915527,-1.77002,-2.441406
60,-0.056353,1.300252,0.961163,1.89209,-1.89209,-1.342773
61,-0.072954,1.292195,0.990216,1.708984,0.0,-1.647949
62,-0.07271,1.280476,0.941632,0.427246,-1.281738,-0.488281
63,-0.064898,1.298787,0.970685,0.488281,-2.319336,-0.732422
64,-0.045611,1.294392,0.959454,2.197266,-2.502441,-0.793457
65,-0.055132,1.290974,0.923566,1.464844,-1.342773,-2.563477
66,-0.060747,1.286824,0.908429,0.671387,-2.319336,-0.488281
67,-0.069048,1.276814,0.947003,1.89209,-0.793457,-1.220703
68,-0.066607,1.295125,0.941632,1.159668,-0.793457,-0.793457
69,-0.059527,1.284871,0.998761,0.793457,-0.610352,-1.098633
70,-0.082964,1.294392,0.899396,1.77002,-2.01416,0.549316
71,-0.053667,1.301228,0.907452,1.342773,0.0,-1.525879
72,-0.052935,1.28365,0.925031,-1.220703,-1.281738,-1.281738
73,-0.060747,1.302693,0.929425,1.525879,0.305176,-1.098633
74,-0.060015,1.286092,0.984845,0.610352,-1.647949,-0.671387
75,-0.071978,1.264363,0.943341,1.098633,0.488281,0.0
76,-0.050494,1.282674,0.915021,-0.244141,-0.305176,-1.953125
77,-0.057818,1.28658,0.960919,1.464844,-3.295898,-0.427246
78,-0.056109,1.294392,0.949445,0.610352,-2.502441,0.183105
79,-0.060503,1.279988,1.055402,0.366211,-1.464844,-0.366211
80,-0.06563,1.281697,0.933575,1.77002,-2.319336,0.915527
81,-0.076372,1.297322,0.988263,1.586914,-1.77002,1.281738
82,-0.050249,1.295369,0.951642,3.479004,-1.281738,-0.793457
83,-0.068072,1.303426,0.978497,1.525879,-2.807617,-1.220703
84,-0.059283,1.279988,0.97923,0.671387,0.793457,-0.854492
85,-0.059527,1.281697,0.935529,1.159668,-0.732422,-0.610352
86,-0.052691,1.288045,0.978009,2.01416,-0.305176,-1.77002
87,-0.06856,1.278279,0.967999,1.037598,-1.403809,-2.319336
88,-0.070025,1.307576,0.928937,2.319336,-0.732422,-1.586914
89,-0.087115,1.301228,0.940411,1.77002,-1.647949,-0.244141
90,-0.064898,1.291951,0.912579,2.319336,-0.610352,-0.976562
91,-0.071001,1.289266,0.968488,0.183105,-0.366211,-1.037598
92,-0.062945,1.289754,0.976788,1.281738,-1.708984,0.12207
