,ax,ay,az,gx,gy,gz
0,0.01878,0.007436,0.0214,1.77002,0.976562,1.403809
1,0.031231,0.001332,0.020179,1.77002,0.671387,1.037598
2,0.018536,0.016225,0.031166,2.258301,1.098633,0.183105
3,0.021465,0.008656,0.031654,1.953125,1.525879,1.159668
4,0.020977,0.016225,0.033363,1.953125,0.976562,-0.061035
5,0.026592,0.014028,0.01847,1.403809,0.488281,0.366211
6,0.029034,0.022328,0.033363,1.525879,0.732422,-0.305176
7,0.024151,0.028676,0.013588,2.258301,0.244141,-0.671387
8,0.01292,0.015492,0.030189,1.098633,2.075195,0.061035
9,0.014141,0.010365,0.04264,1.708984,2.380371,1.342773
10,0.02,0.008656,0.02848,1.77002,0.305176,1.647949
11,0.017559,-0.007213,0.034584,2.197266,1.098633,2.13623
12,0.049297,0.010854,0.031654,1.89209,0.549316,0.305176
13,0.014873,0.01476,0.031654,2.01416,2.502441,0.610352
14,0.015118,0.01769,0.017494,2.13623,-0.671387,0.183105
15,0.016338,0.006459,0.022865,1.647949,2.868652,-0.732422
16,0.023663,0.022817,0.065101,1.586914,1.647949,-0.061035
17,0.020733,0.005238,0.028968,1.647949,0.610352,-0.183105
18,0.015362,0.019643,0.032142,2.13623,2.807617,1.342773
19,0.012676,-0.004771,0.027504,2.13623,1.831055,1.831055
20,0.008282,-0.001598,0.042152,2.075195,2.197266,1.037598
21,0.026592,0.014516,0.04142,1.953125,1.77002,1.89209
22,0.019268,0.00475,0.022377,1.831055,0.610352,1.708984
23,0.050274,-0.00648,0.027504,1.708984,1.953125,1.342773
24,0.019756,0.013783,0.027992,1.281738,2.441406,-0.549316
25,0.026104,0.012807,0.009925,1.953125,1.647949,-1.831055
26,-0.01247,0.018178,0.040443,2.13623,2.563477,0.793457
27,0.038555,-0.001353,0.026039,1.464844,0.671387,0.0
28,0.000225,0.026967,0.019935,0.915527,1.525879,-1.098633
29,0.01585,0.012563,0.034339,2.197266,0.488281,1.220703
30,0.009502,-0.001353,0.013343,1.403809,1.525879,1.281738
31,0.026592,0.009633,0.025306,2.502441,0.671387,-0.671387
32,0.00877,0.013295,0.032142,2.746582,2.258301,-1.464844
33,0.006817,0.022328,0.046302,1.647949,0.793457,0.366211
34,0.012188,0.007436,0.040687,2.563477,1.342773,0.854492
35,0.03294,0.021108,0.024574,1.586914,1.098633,2.01416
36,0.017559,-0.005015,0.040687,2.075195,2.929688,0.366211
37,0.017559,0.030141,0.034095,1.525879,0.671387,2.13623
38,0.029034,0.022572,0.050453,2.075195,2.502441,0.854492
39,0.033916,-0.011607,0.03141,1.953125,-1.89209,0.427246
40,0.049053,0.022328,0.015785,2.685547,1.037598,-1.342773
41,0.009258,0.019154,0.027259,1.831055,0.0,-1.159668
42,0.016338,0.013783,0.028724,2.319336,0.0,-0.488281
43,-0.000996,0.024037,0.04264,2.929688,-1.159668,-0.305176
44,0.024639,-0.01234,0.03263,2.319336,-0.12207,1.586914
45,0.033672,0.008412,0.039711,1.586914,2.502441,-0.12207
46,0.022442,0.006947,0.042396,1.77002,0.610352,-0.732422
47,0.032207,0.019154,0.034339,0.0,0.610352,-0.12207
48,0.011455,0.005727,0.062904,1.647949,-0.183105,-0.244141
49,0.026104,0.01769,0.034095,0.854492,1.159668,1.098633
50,0.012432,0.017446,0.034584,0.732422,2.380371,-1.159668
51,0.03001,0.005727,0.016029,3.540039,-2.258301,2.502441
52,0.02586,0.020619,0.036781,1.342773,1.159668,0.244141
53,0.034405,-0.003795,0.029945,2.441406,0.793457,0.488281
54,0.006817,0.016225,0.030677,2.319336,2.441406,1.586914
55,0.036358,0.020863,0.021156,1.953125,0.061035,1.159668
56,0.019268,0.012074,0.044838,1.403809,1.464844,1.098633
57,0.019268,0.01769,0.04142,1.586914,4.02832,0.427246
58,0.013409,0.013539,0.054603,1.281738,2.868652,0.854492
59,0.027569,0.001821,0.020668,1.647949,0.610352,0.244141
60,0.031231,0.025014,0.031654,2.319336,1.525879,2.380371
61,0.040264,0.012319,0.037757,1.159668,3.662109,-0.671387
62,0.011211,0.017201,0.028968,2.868652,0.854492,1.586914
63,0.033916,0.023061,0.027015,2.01416,2.624512,1.831055
64,0.019268,0.012563,0.049476,2.13623,3.051758,0.305176
65,0.028057,0.004018,0.044593,2.868652,1.220703,1.831055
66,0.019512,0.019154,0.026527,2.563477,3.479004,1.037598
67,0.013897,0.003285,0.040443,2.685547,0.061035,0.244141
68,0.007793,0.003041,0.030189,1.647949,2.258301,-0.305176
69,0.007549,0.01476,0.048011,1.525879,3.601074,0.610352
70,0.03587,0.026967,0.049476,1.342773,2.441406,2.502441
71,0.020733,0.015004,0.026771,1.708984,0.427246,0.305176
72,0.033672,-0.001353,0.025062,1.89209,2.563477,-0.244141
73,0.017559,0.021352,0.045082,2.01416,3.173828,-0.488281
74,0.025616,0.019399,0.020179,2.685547,-1.037598,0.305176
75,0.024883,0.026479,0.044105,2.685547,4.02832,0.793457
76,0.016094,0.007924,0.038978,2.075195,0.976562,0.061035
77,0.007549,0.004262,0.036048,1.89209,2.685547,1.098633
78,0.021221,0.017201,0.038246,1.708984,2.13623,0.793457
79,0.040752,0.017201,0.039222,2.075195,2.624512,1.098633
80,0.007793,0.016469,0.053871,1.708984,2.807617,1.037598
81,0.021709,0.001576,0.045082,2.258301,-0.183105,2.868652
82,0.023663,0.001332,0.030189,1.525879,1.708984,0.549316
83,0.02708,0.004994,0.049964,1.708984,3.295898,1.464844
84,0.035381,0.016469,0.053382,1.647949,2.807617,0.549316
85,0.014629,0.013051,0.032386,1.953125,0.244141,0.976562
86,0.02586,0.013783,0.041664,1.89209,0.793457,0.854492
87,0.014385,0.02184,0.031654,2.258301,2.746582,1.098633
88,0.014141,0.011342,0.069007,1.831055,3.295898,1.708984
89,0.02708,0.004506,0.048011,2.380371,3.479004,2.075195
90,0.038555,0.007924,0.048744,3.112793,1.586914,0.549316
91,0.024395,0.020619,0.028236,2.197266,0.610352,0.854492
92,0.00169,0.020863,0.03849,2.258301,2.197266,-0.061035
93,0.015118,-0.003062,0.048744,2.319336,1.953125,1.831055
94,-0.000263,0.01183,0.052162,1.708984,2.258301,-0.305176
95,0.015118,0.010854,0.035072,2.746582,2.075195,2.441406
96,0.017315,0.007192,0.05558,0.854492,3.417969,1.89209
97,0.023907,0.012074,0.065101,1.098633,2.319336,0.854492
98,0.027325,0.006215,0.036293,2.01416,1.831055,1.037598
99,0.039532,0.019154,0.056556,0.549316,2.075195,-0.366211
100,0.012432,0.010121,0.040199,1.098633,0.671387,2.319336
101,0.011944,0.002553,0.015052,0.610352,-1.037598,0.732422
102,0.026104,0.010854,0.038002,1.77002,2.075195,-0.366211
103,-0.005634,0.015737,0.036048,1.159668,-0.427246,-2.563477
104,0.00462,0.020863,0.085365,1.525879,1.464844,1.464844
105,0.019756,0.012074,0.052894,2.13623,1.525879,0.549316
106,0.003887,0.011586,0.029457,1.89209,3.051758,1.098633
107,0.027569,0.007192,0.023597,1.464844,1.525879,1.586914
