,ax,ay,az,gx,gy,gz
0,0.089895,0.02587,0.105095,-11.291504,-3.540039,32.714844
1,0.086233,0.033438,0.088005,-10.803223,-1.464844,31.494141
2,0.088918,0.040518,0.095818,-11.413574,-2.380371,31.555176
3,0.078176,0.033438,0.086785,-10.192871,-4.333496,32.226562
4,0.074514,0.027823,0.125115,-10.070801,-1.403809,33.14209
5,0.080617,0.026358,0.112664,-11.657715,-2.624512,32.958984
6,0.09258,0.043448,0.098259,-9.460449,-0.915527,33.691406
7,0.083547,0.028311,0.083367,-10.192871,-2.441406,33.081055
8,0.086477,0.026602,0.112175,-8.911133,-3.112793,33.569336
9,0.07842,0.033926,0.064812,-10.070801,-1.708984,32.226562
10,0.075979,0.037833,0.095086,-10.559082,-2.990723,32.287598
11,0.072805,0.038077,0.076287,-10.498047,-3.723145,31.738281
12,0.067434,0.034659,0.105828,-11.535645,-2.319336,32.531738
13,0.081594,0.037833,0.090691,-8.728027,-4.882812,34.057617
14,0.089651,0.029044,0.082878,-9.70459,-1.953125,33.447266
15,0.09844,0.02294,0.078484,-10.314941,1.098633,32.104492
16,0.076223,0.045401,0.07116,-9.643555,-1.586914,32.775879
17,0.088674,0.014639,0.092888,-10.070801,-2.197266,31.677246
18,0.083059,0.030753,0.093865,-9.765625,-1.708984,31.37207
19,0.087942,0.028067,0.093621,-10.803223,-1.525879,33.813477
20,0.085256,0.026114,0.090447,-11.59668,0.427246,32.592773
21,0.059377,0.028067,0.07824,-10.620117,-2.990723,32.226562
22,0.078908,0.036368,0.10363,-10.253906,-2.319336,33.447266
23,0.090871,0.013174,0.112175,-10.742188,-0.488281,31.738281
24,0.077688,0.059073,0.081902,-11.047363,-3.601074,31.738281
25,0.08843,0.019278,0.103875,-9.338379,-2.01416,31.616211
26,0.082082,0.026114,0.073845,-10.925293,-4.943848,31.738281
27,0.065481,0.035147,0.090935,-11.71875,0.305176,31.37207
28,0.063039,0.03295,0.094841,-9.643555,-2.685547,33.081055
29,0.076467,0.02294,0.085564,-9.70459,-1.403809,31.066895
30,0.081838,0.025626,0.099236,-10.314941,0.183105,32.836914
31,0.084279,0.036368,0.059441,-11.962891,-3.295898,31.25
32,0.087453,0.023917,0.064324,-10.070801,-0.061035,33.752441
33,0.074026,0.049063,0.09655,-10.559082,0.915527,31.494141
34,0.066701,0.045157,0.105584,-9.765625,-3.845215,33.874512
35,0.090871,0.016348,0.144646,-10.437012,1.525879,32.775879
36,0.092336,0.039298,0.06823,-8.728027,-5.493164,31.860352
37,0.088186,0.026846,0.08825,-10.375977,-3.112793,31.616211
38,0.081106,0.032462,0.097527,-10.192871,-5.065918,31.982422
39,0.083547,0.024405,0.063347,-11.352539,-2.502441,32.348633
40,0.070363,0.043448,0.094597,-9.033203,-3.112793,32.104492
41,0.075979,0.037344,0.095574,-12.207031,-1.708984,32.592773
42,0.072561,0.034171,0.10949,-10.192871,-2.685547,31.616211
43,0.07842,0.027335,0.076043,-10.375977,-2.319336,33.14209
44,0.098684,0.032217,0.086052,-10.986328,-0.366211,32.531738
45,0.086233,0.033194,0.09655,-9.94873,-1.831055,31.921387
46,0.083791,0.023184,0.110222,-11.352539,-3.78418,31.25
47,0.075979,0.02001,0.09533,-11.84082,-0.244141,32.653809
48,0.073537,0.041251,0.089226,-10.742188,-2.258301,32.836914
49,0.087697,0.017813,0.100212,-11.413574,0.0,33.691406
50,0.081594,0.051016,0.067742,-10.375977,-0.549316,31.12793
51,0.095022,0.025626,0.077507,-10.192871,-0.488281,32.653809
52,0.090627,0.015372,0.096794,-10.009766,-2.624512,31.799316
53,0.078664,0.041739,0.091668,-10.681152,-0.671387,32.348633
54,0.069631,0.043204,0.083123,-11.352539,-2.685547,32.531738
55,0.082082,0.026114,0.109734,-9.70459,1.281738,32.592773
56,0.071828,0.03588,0.100945,-10.620117,-2.685547,31.188965
57,0.076223,0.053702,0.119744,-9.70459,0.732422,32.165527
58,0.082326,0.032462,0.075554,-11.413574,-2.746582,31.555176
59,0.081594,0.016592,0.078972,-9.521484,-2.990723,31.616211
60,0.088186,0.037344,0.107781,-10.498047,-2.746582,32.226562
61,0.084768,0.036124,0.081414,-10.986328,-1.159668,32.714844
