,ax,ay,az,gx,gy,gz
0,0.006539,0.007319,-0.020853,-1.403809,-0.244141,-0.488281
1,0.00898,0.013179,-0.031839,0.488281,-1.220703,-1.342773
2,0.004586,0.023188,-0.029154,-1.525879,-1.647949,-2.01416
3,0.008248,0.009028,-0.02305,-0.488281,-2.868652,-1.403809
4,-0.009086,0.010981,-0.055765,-0.793457,0.793457,-2.319336
5,0.006783,0.020259,-0.048929,-0.183105,-2.13623,-0.549316
6,0.001656,0.022456,-0.039408,0.366211,-0.12207,-1.831055
7,-0.003227,0.012202,-0.034525,-2.380371,0.305176,-1.220703
8,-0.006889,0.018061,-0.049662,-1.281738,-0.610352,-2.01416
9,0.001656,0.005366,-0.017679,0.732422,-0.305176,-0.793457
10,0.011422,0.013667,-0.008158,-1.464844,-1.77002,0.061035
11,0.017281,0.038325,-0.042337,0.061035,-2.13623,-1.403809
12,-5.3e-05,0.019282,-0.037943,-0.854492,-0.976562,-1.89209
13,0.00776,-0.009282,-0.045267,-0.610352,-0.854492,-1.831055
14,0.002389,0.012202,-0.04722,-1.098633,-0.305176,-1.89209
15,0.021676,0.009517,-0.015726,-1.464844,-0.305176,-0.976562
16,0.012643,0.024409,-0.038919,-2.13623,0.610352,-2.502441
17,0.001168,0.024165,-0.025247,-1.708984,0.915527,-1.403809
18,0.018502,0.02978,-0.059671,0.12207,-1.953125,-1.342773
19,0.00898,0.013179,-0.042581,-0.793457,-1.89209,-2.502441
20,0.002633,0.019526,-0.045511,-0.427246,0.366211,-0.305176
21,0.011422,0.002192,-0.051126,0.183105,-2.13623,-1.037598
22,0.018746,0.016352,-0.056497,0.610352,-1.647949,-1.708984
23,0.003853,0.013667,-0.044535,-1.464844,-0.488281,-1.586914
24,0.008736,0.00439,-0.022074,-1.037598,0.427246,-0.061035
25,0.023629,0.002681,-0.022806,-0.732422,-2.441406,-1.220703
26,0.024605,0.010005,-0.07139,-1.708984,-1.831055,-1.77002
27,0.00776,0.008052,-0.03306,-0.793457,-0.305176,-2.502441
28,0.004342,0.016352,-0.062845,-0.854492,-0.610352,-3.417969
29,0.005807,0.023188,-0.022074,-1.77002,-2.502441,-1.953125
30,0.001656,0.023188,-0.035745,-0.976562,-1.342773,-2.685547
31,0.007027,0.010005,-0.037943,-2.319336,-0.793457,-0.610352
32,0.018258,0.000727,-0.037699,-0.183105,-1.89209,0.976562
33,0.003609,0.015132,-0.058695,-0.732422,-3.417969,-0.427246
34,0.035836,0.029292,-0.041849,-0.12207,-3.601074,0.366211
35,0.018746,0.016841,-0.062113,0.671387,-4.821777,-1.586914
36,0.019234,-0.000493,-0.061869,-2.075195,-1.831055,-3.112793
37,0.012643,0.027095,-0.040384,-0.244141,-0.854492,-3.051758
38,-0.001762,0.011714,-0.053324,-0.915527,-1.220703,-3.417969
39,-5.3e-05,-0.005864,-0.035013,-1.586914,-1.647949,-1.647949
40,0.006539,0.031733,-0.039163,-0.915527,-0.793457,-0.061035
41,0.002877,0.014888,-0.044779,-1.77002,-2.685547,-1.525879
42,0.015084,0.021724,-0.049417,-1.220703,-2.13623,-0.549316
43,0.006539,0.014643,-0.041849,-0.12207,-1.831055,-1.831055
44,0.004586,0.020015,-0.014017,-2.13623,2.13623,0.305176
45,0.021187,0.005854,-0.028665,1.098633,-1.586914,-1.220703
46,0.015084,0.01269,-0.053324,-0.854492,0.305176,-1.098633
47,0.013375,0.01855,-0.028665,-1.037598,2.319336,-2.197266
48,0.016793,0.032222,-0.056497,-1.098633,-1.159668,-0.915527
49,0.017281,0.031977,-0.040628,-1.831055,-0.244141,-0.976562
50,0.019967,0.025142,-0.047953,-0.061035,-1.342773,0.12207
51,0.000191,0.023433,-0.014261,-1.464844,0.12207,-2.441406
52,0.019967,0.026118,-0.008646,-0.976562,-2.746582,-0.427246
53,0.01191,0.007319,-0.040872,-0.976562,-0.366211,-1.831055
54,0.018502,0.003901,-0.027201,1.159668,-2.13623,-1.098633
55,0.022652,0.007563,-0.043802,1.037598,-0.061035,-3.234863
56,0.003609,0.016597,-0.032816,0.793457,-1.281738,-2.380371
57,0.009469,0.018794,-0.043558,-0.488281,0.976562,-3.295898
58,0.027047,0.014643,-0.018656,-1.403809,-0.305176,-2.197266
59,0.032662,0.031245,-0.073343,-0.244141,-2.441406,-3.417969
60,0.002877,0.014155,-0.02305,-2.075195,0.793457,-3.173828
61,0.018258,0.009517,-0.047708,-1.403809,0.366211,-1.77002
62,0.016305,0.024897,-0.040384,-3.845215,-0.488281,-1.586914
63,0.013619,0.012935,-0.035013,0.0,-1.953125,-0.244141
64,0.039742,0.008052,-0.042093,-0.549316,-3.78418,-0.915527
65,0.028756,0.013423,-0.021585,0.305176,-2.258301,-2.197266
66,0.03193,0.018306,-0.056009,-0.854492,-1.098633,-2.563477
67,0.018258,0.01562,-0.05015,-2.441406,-0.427246,-2.13623
68,0.011666,0.031245,-0.042826,-0.183105,-1.281738,-2.197266
69,0.021187,0.026362,-0.05137,-1.342773,-3.234863,-2.502441
70,0.024605,0.012935,-0.031351,-0.549316,-2.746582,-2.502441
71,0.023141,0.013667,-0.052103,-1.586914,0.915527,-0.671387
72,0.007516,0.010005,-0.053324,-1.647949,-0.854492,-0.610352
73,0.040475,0.021724,-0.056009,-0.732422,-2.319336,0.610352
74,0.03193,0.019526,-0.066019,-1.647949,0.610352,-0.12207
75,0.015816,0.01855,-0.034769,-1.403809,-0.183105,-1.89209
76,0.043648,0.026118,-0.052103,-2.197266,1.159668,-2.13623
77,0.011178,0.014888,-0.026712,-2.319336,-2.01416,-1.831055
78,0.032906,-0.004644,-0.032816,1.403809,-2.197266,-1.342773
79,0.026314,0.028804,-0.052835,1.220703,-4.02832,-2.258301
80,0.016549,0.010737,-0.040384,0.244141,-1.586914,-1.281738
81,0.029977,0.018306,-0.041117,2.502441,-3.479004,-0.854492
82,0.028268,0.018794,-0.064066,-0.488281,-1.586914,-0.976562
83,0.024117,0.013179,-0.034037,1.281738,-1.89209,-1.098633
84,0.010689,0.005366,-0.051859,-0.610352,-0.488281,-0.732422
85,0.022896,0.014643,-0.047708,-3.234863,-0.244141,-1.464844
86,0.010934,0.027583,-0.040384,-1.098633,0.061035,-0.488281
87,0.028023,0.014643,-0.012796,-0.488281,-3.540039,0.549316
88,0.027047,0.005854,-0.052835,-1.159668,-2.197266,-0.488281
89,0.036568,0.022212,-0.049906,1.159668,-2.746582,-0.793457
90,0.032906,0.01562,-0.031595,0.061035,-2.563477,-0.732422
91,0.028023,0.014643,-0.0543,0.793457,-3.234863,-0.610352
92,0.022652,0.021968,-0.040384,-1.831055,-2.258301,-2.197266
93,0.027047,0.010493,-0.049662,-1.342773,0.183105,-1.647949
94,0.017769,0.021724,-0.047708,-0.976562,-2.807617,-1.403809
95,0.012643,0.020991,-0.032083,-0.976562,-2.13623,-1.098633
