,ax,ay,az,gx,gy,gz
0,-0.045351,1.130699,1.021181,-14.831543,-15.014648,-15.258789
1,-0.048037,1.133873,0.966982,-10.742188,-19.470215,-13.549805
2,-0.046328,1.144615,0.992617,-14.160156,-14.587402,-16.845703
3,-0.03705,1.12899,0.968203,-13.061523,-17.822266,-14.343262
4,-0.055605,1.135826,0.993838,-13.977051,-18.188477,-14.953613
5,-0.031435,1.153892,0.98456,-12.756348,-19.042969,-15.319824
6,-0.028017,1.141685,0.959658,-13.244629,-19.65332,-14.099121
7,-0.042666,1.154625,0.989443,-14.709473,-19.042969,-16.723633
8,-0.041689,1.128502,0.994082,-11.657715,-19.042969,-14.282227
9,-0.055117,1.149986,0.98041,-11.474609,-18.493652,-14.343262
10,-0.016054,1.139,0.951845,-12.634277,-18.859863,-13.977051
11,-0.041201,1.142906,1.002871,-11.901855,-20.080566,-14.709473
12,-0.059511,1.146812,0.940615,-13.061523,-15.869141,-13.366699
13,-0.018984,1.147545,0.95331,-15.74707,-17.028809,-14.099121
14,-0.035097,1.14608,0.976015,-12.878418,-16.357422,-13.73291
15,-0.025576,1.135338,1.01459,-10.803223,-17.456055,-15.930176
16,-0.034365,1.13607,1.00043,-10.925293,-19.165039,-14.099121
17,-0.034121,1.135093,0.957705,-12.207031,-19.775391,-16.235352
18,-0.039248,1.142418,1.008486,-10.681152,-19.226074,-13.427734
19,-0.034365,1.140953,1.001162,-14.953613,-16.662598,-17.700195
20,-0.035341,1.145836,1.016543,-10.314941,-21.728516,-12.634277
21,-0.032168,1.15316,0.984804,-11.535645,-18.127441,-13.73291
22,-0.022158,1.152183,1.001162,-13.122559,-18.188477,-14.892578
23,-0.031923,1.135093,0.972597,-11.901855,-20.324707,-15.808105
24,-0.034121,1.150963,0.968447,-12.023926,-18.615723,-15.808105
25,-0.026552,1.154625,0.961611,-12.084961,-19.042969,-12.878418
26,-0.029482,1.15731,0.972597,-13.183594,-15.686035,-14.709473
27,-0.030947,1.150963,0.959902,-13.85498,-19.042969,-14.465332
28,-0.062929,1.138756,0.98456,-11.535645,-20.324707,-13.122559
29,-0.028994,1.147545,0.980166,-10.437012,-17.700195,-15.014648
30,-0.046816,1.154136,1.043398,-10.437012,-21.30127,-12.817383
31,-0.021425,1.153648,0.987002,-9.094238,-23.498535,-13.671875
32,-0.040224,1.150718,0.951845,-11.352539,-21.606445,-14.099121
33,-0.027529,1.146568,1.01166,-11.657715,-20.141602,-13.183594
