,ax,ay,az,gx,gy,gz
0,0.1367,0.021108,0.182289,0.915527,-3.540039,1.403809
1,0.119854,0.040883,0.127357,1.037598,0.488281,0.915527
2,0.116436,0.034047,0.161048,0.366211,-0.976562,-0.366211
3,0.111553,0.035756,0.156654,-0.793457,2.502441,0.793457
4,0.110088,0.023793,0.161293,0.244141,2.13623,-1.159668
5,0.13377,0.036977,0.141029,0.0,-1.220703,-1.342773
6,0.115704,0.035268,0.17057,1.037598,0.610352,-1.098633
7,0.117413,0.046498,0.149574,0.915527,2.13623,-0.244141
8,0.114239,0.029408,0.160072,0.0,1.647949,0.793457
9,0.113262,0.020375,0.150306,2.441406,-0.366211,-2.01416
10,0.128155,0.036733,0.131263,1.220703,-0.183105,-2.01416
11,0.108623,0.02477,0.148353,1.464844,-0.305176,-0.915527
12,0.134746,0.032582,0.138343,-0.610352,-1.281738,-1.220703
13,0.121319,0.022817,0.140052,-0.305176,-1.342773,-1.77002
14,0.114727,0.032826,0.142982,-1.586914,-3.051758,-2.319336
15,0.112774,0.035024,0.162025,-1.464844,-0.793457,-2.441406
16,0.121807,0.029897,0.152015,-1.342773,-0.915527,-1.647949
17,0.112774,0.02477,0.14933,0.0,-4.089355,-1.098633
18,0.101543,0.019887,0.17057,-0.183105,2.746582,-0.12207
19,0.110821,0.044789,0.138588,2.380371,-2.502441,-0.244141
20,0.122539,0.035024,0.14225,-0.488281,1.342773,0.488281
21,0.104473,0.031606,0.162757,1.159668,-0.854492,1.403809
22,0.141094,0.048207,0.147621,0.549316,-0.366211,0.854492
23,0.106914,0.040883,0.139564,1.403809,-1.342773,1.037598
24,0.144512,0.039906,0.148841,0.976562,1.525879,1.342773
25,0.107159,0.030141,0.158851,2.075195,-2.075195,1.220703
26,0.152325,0.014272,0.135414,0.061035,1.342773,-0.183105
27,0.115948,0.042348,0.141029,0.244141,-0.549316,0.183105
28,0.122539,0.03185,0.143714,0.793457,-0.915527,-0.732422
29,0.122784,0.024526,0.14347,1.525879,1.159668,-0.12207
30,0.137188,0.034047,0.142738,0.610352,-0.488281,0.427246
31,0.117901,0.023793,0.134925,1.037598,-0.915527,-0.488281
32,0.135723,0.039174,0.154457,2.01416,0.061035,0.305176
33,0.116436,0.023305,0.137855,-0.427246,-2.258301,-0.793457
34,0.120098,0.024037,0.164955,0.610352,-0.854492,-1.159668
35,0.127911,0.036488,0.152015,-0.488281,-1.403809,-0.183105
36,0.127422,0.040883,0.154945,0.12207,-0.549316,0.427246
37,0.137188,0.050404,0.124672,0.488281,-2.502441,1.281738
38,0.104473,0.023061,0.186927,0.305176,2.929688,1.281738
39,0.122784,0.025014,0.144447,0.305176,-1.464844,0.305176
40,0.106426,0.051137,0.144203,0.732422,1.098633,3.417969
41,0.147198,0.022817,0.13639,0.549316,0.915527,2.502441
42,0.134258,0.027944,0.129066,-0.915527,-0.915527,4.272461
43,0.130352,0.038197,0.145912,0.305176,0.12207,0.854492
44,0.128643,0.019887,0.171302,-0.183105,2.075195,0.793457
45,0.1367,0.028676,0.131019,0.12207,-1.220703,0.488281
46,0.114971,0.054311,0.140785,0.793457,1.953125,-0.366211
47,0.134014,0.029653,0.153724,0.305176,0.061035,-0.671387
48,0.121319,0.027944,0.138588,1.098633,-0.427246,1.403809
49,0.110821,0.026479,0.15055,0.854492,3.173828,-1.220703
50,0.131817,0.01891,0.13517,0.976562,-1.464844,0.183105
51,0.122539,0.035024,0.151527,-0.305176,2.075195,-0.854492
52,0.116192,0.029897,0.154213,0.427246,1.953125,-0.183105
53,0.105694,0.030629,0.137123,-0.427246,-1.159668,0.12207
54,0.124493,0.001576,0.161048,-0.549316,1.342773,0.427246
55,0.105694,0.026235,0.140297,1.525879,0.732422,-0.305176
56,0.120342,0.032338,0.147377,0.732422,5.126953,0.793457
57,0.122539,0.02599,0.137367,0.549316,0.793457,1.281738
58,0.114971,0.020131,0.151283,-0.244141,2.746582,-0.12207
59,0.12669,0.055531,0.139076,-0.488281,-2.075195,1.464844
60,0.13792,0.042104,0.127113,-0.061035,2.746582,1.525879
61,0.127178,0.039662,0.144935,1.281738,1.586914,-0.976562
62,0.124493,0.040639,0.123939,-0.12207,0.976562,0.488281
63,0.119366,0.030141,0.16349,0.549316,2.380371,-0.183105
64,0.10667,0.031606,0.147132,1.89209,0.976562,-0.366211
65,0.111065,0.037709,0.156898,1.037598,-0.976562,-0.183105
66,0.134991,0.034779,0.141517,0.305176,2.13623,0.793457
67,0.112286,0.028188,0.156654,2.258301,0.427246,0.549316
68,0.138409,0.033803,0.12931,0.671387,0.244141,0.915527
69,0.121563,0.025258,0.152992,-0.061035,1.525879,2.441406
70,0.132061,0.047719,0.15348,0.793457,1.647949,-1.220703
71,0.12083,0.032338,0.133461,0.244141,0.061035,-1.098633
72,0.117657,0.046987,0.185707,2.01416,0.732422,-2.319336
73,0.128643,0.043324,0.140297,0.549316,-1.220703,0.549316
74,0.110332,0.028432,0.164222,1.89209,0.793457,-0.732422
75,0.1367,0.027211,0.141029,1.953125,-0.366211,-0.244141
76,0.116924,0.044545,0.137123,1.647949,-0.793457,0.854492
77,0.133038,0.033559,0.129798,1.281738,1.098633,-0.061035
78,0.133038,0.035268,0.138832,0.0,-3.051758,-0.305176
79,0.137676,0.031362,0.126625,-0.793457,0.0,-1.953125
80,0.12376,0.031362,0.161537,-0.305176,0.732422,-2.01416
81,0.124981,0.030141,0.134193,-0.061035,0.915527,-0.488281
82,0.12376,0.029164,0.149574,0.244141,0.183105,-0.610352
83,0.109356,0.040883,0.144203,1.220703,0.549316,-0.915527
84,0.086651,0.036977,0.154457,1.037598,-0.183105,0.915527
85,0.117657,0.032582,0.148597,1.586914,-0.976562,0.976562
86,0.107403,0.018666,0.138832,0.427246,0.793457,0.183105
87,0.111553,0.044545,0.142982,0.244141,-1.89209,1.037598
88,0.141338,0.023549,0.149818,0.366211,1.89209,0.915527
89,0.133526,0.031606,0.157875,1.220703,0.244141,-0.244141
90,0.133282,0.046254,0.131263,-0.732422,0.793457,-0.061035
91,0.118145,0.030141,0.159828,0.610352,0.671387,-0.671387
92,0.140118,0.032826,0.161537,-0.488281,-0.793457,1.220703
93,0.136455,0.041127,0.161293,1.098633,0.732422,1.037598
94,0.147198,0.020619,0.146156,-0.549316,0.244141,1.281738
95,0.116924,0.034779,0.167884,2.197266,0.427246,0.061035
96,0.144512,0.047719,0.123939,0.12207,-1.89209,1.89209
97,0.124493,0.020131,0.164222,0.061035,3.417969,1.037598
98,0.129864,0.034291,0.132728,1.220703,-0.610352,1.037598
99,0.132793,0.045766,0.14347,0.183105,1.647949,1.586914
100,0.132793,0.033803,0.154213,0.488281,-0.061035,0.0
101,0.151104,0.015737,0.144203,2.01416,1.831055,-0.427246
102,0.14085,0.038442,0.115394,0.610352,-1.037598,-0.915527
103,0.0825,0.013295,0.15641,0.976562,-0.732422,-0.549316
104,0.104229,0.036977,0.175697,-0.305176,0.976562,0.366211
105,0.101299,0.032582,0.190101,1.403809,1.77002,0.671387
106,0.108623,0.015248,0.148597,-0.366211,-1.586914,3.051758
107,0.124981,0.007924,0.131752,-1.586914,1.525879,2.01416
108,0.141582,0.036,0.093422,0.12207,-0.549316,0.671387
109,0.122784,0.043324,0.120521,0.0,1.831055,-0.915527
110,0.120586,0.040883,0.133216,-1.037598,1.403809,0.549316
111,0.117657,0.029653,0.167396,0.854492,0.610352,0.366211
112,0.093243,0.049428,0.166908,0.488281,0.0,1.342773
113,0.112041,0.022817,0.175209,0.549316,2.380371,1.586914
114,0.098614,0.026235,0.12516,0.549316,1.708984,1.159668
115,0.13377,0.028676,0.09391,-0.732422,1.281738,1.281738
116,0.11961,0.032582,0.111732,-0.610352,1.037598,0.671387
117,0.124981,0.016713,0.146888,-0.976562,2.441406,1.037598
118,0.114239,0.037465,0.15641,-0.366211,-1.098633,-0.366211
119,0.103741,0.029653,0.192054,0.427246,3.356934,0.976562
120,0.122784,0.027455,0.170814,0.549316,0.12207,-0.793457
121,0.096416,0.035268,0.153968,1.342773,-0.549316,0.061035
122,0.122051,0.027944,0.113197,0.305176,1.281738,0.305176
123,0.133038,0.024037,0.109047,2.01416,0.12207,-0.366211
124,0.119366,0.018422,0.119789,1.220703,-1.403809,-1.464844
125,0.121319,0.029164,0.138343,1.464844,0.610352,0.0
126,0.117901,0.034535,0.148109,0.427246,-0.12207,0.976562
127,0.091778,0.026479,0.157142,2.01416,2.502441,0.854492
128,0.138897,0.020863,0.121986,-0.976562,-0.976562,1.708984
129,0.091289,0.024526,0.175697,2.502441,2.746582,0.12207
130,0.12962,0.04186,0.138832,-0.244141,1.403809,0.915527
131,0.132305,0.038442,0.144447,0.183105,0.305176,1.220703
132,0.141827,0.028676,0.142982,0.732422,0.671387,-0.793457
133,0.124493,0.041371,0.145179,-0.061035,-0.732422,-0.305176
134,0.115704,0.025258,0.133461,1.220703,0.915527,-0.732422
135,0.118633,0.025014,0.145179,-0.427246,1.098633,1.342773
136,0.103741,0.029897,0.147132,0.854492,-1.89209,-1.708984
137,0.125469,0.027699,0.143714,-0.488281,-0.915527,-0.244141
138,0.112041,0.036,0.146156,0.793457,-0.183105,0.0
139,0.128643,0.028432,0.145912,1.098633,2.929688,-0.061035
140,0.122784,0.035512,0.13224,-0.183105,-2.13623,-1.281738
141,0.110088,0.031606,0.155433,0.488281,1.77002,-0.305176
142,0.122784,0.027944,0.145423,0.549316,-0.671387,-1.647949
