,ax,ay,az,gx,gy,gz
0,0.033628,1.160145,0.996594,-1.89209,-1.525879,0.061035
1,0.021665,1.130604,1.053479,2.746582,-1.464844,-0.854492
2,0.016782,1.141834,1.00758,0.183105,0.915527,-2.624512
3,0.055112,1.146473,0.966809,1.831055,-4.089355,0.976562
4,0.031919,1.128162,1.022229,-0.671387,-1.525879,-2.746582
5,0.061704,1.158436,0.98219,-0.732422,-3.234863,-0.732422
6,0.025083,1.1245,1.039075,-0.244141,-4.02832,-2.258301
7,0.01605,1.135731,1.000744,1.220703,-1.831055,-2.01416
8,0.020932,1.161121,0.993176,-0.427246,-0.366211,0.0
9,0.036557,1.14159,0.993664,1.342773,-3.173828,-0.488281
10,0.03143,1.14159,1.034436,0.610352,0.427246,-2.746582
11,0.047055,1.13451,0.975842,2.13623,-4.455566,-0.732422
12,0.03436,1.140369,0.986828,-2.441406,-1.831055,-4.394531
13,0.028745,1.143299,0.980481,-0.732422,-3.78418,-1.708984
14,0.014096,1.14574,1.026379,-0.854492,3.051758,-2.685547
15,0.033384,1.139881,1.011487,-2.563477,1.098633,-1.708984
16,0.044126,1.162098,0.997815,0.183105,-1.403809,0.305176
17,0.044614,1.12743,0.978772,-1.464844,-2.258301,-2.624512
18,-0.008853,1.134754,1.008557,-0.549316,-1.098633,-3.234863
19,0.024106,1.133045,1.014172,-0.366211,-2.258301,0.12207
20,0.039487,1.148182,1.0005,-0.305176,-1.342773,0.854492
21,0.027768,1.142322,1.044934,-2.685547,1.89209,-4.272461
22,0.024839,1.136951,1.001477,3.234863,-3.601074,0.793457
23,0.036069,1.140369,0.995129,-0.549316,-2.868652,-1.159668
24,0.019956,1.141346,1.031262,1.342773,-2.441406,-3.601074
25,0.030942,1.149647,1.040051,-0.732422,0.366211,0.671387
26,0.023862,1.147694,0.966809,0.549316,-2.563477,0.549316
27,0.002622,1.126453,1.04591,-0.12207,3.90625,-3.540039
28,0.022886,1.13158,1.011243,1.525879,-2.13623,0.549316
29,0.029233,1.128895,1.047375,-0.732422,-3.295898,-2.258301
30,0.039975,1.132069,1.015637,-0.183105,-2.563477,-1.708984
31,0.028013,1.149891,1.018078,-0.732422,-0.427246,-1.037598
32,0.02313,1.148426,1.009778,-0.854492,-0.549316,-0.549316
33,0.022397,1.152088,0.994397,0.12207,-0.305176,-1.037598
34,0.040952,1.14452,1.017102,0.366211,-1.220703,-2.746582
35,0.034604,1.143787,1.022717,-0.305176,-1.586914,0.183105
36,0.008481,1.137928,1.031018,0.183105,-2.319336,-1.037598
37,0.025083,1.128895,0.991467,3.723145,-2.990723,-2.075195
38,0.026792,1.136463,1.02052,1.220703,-3.173828,-1.220703
39,0.05438,1.136707,0.97926,2.929688,-5.859375,-0.244141
40,0.005552,1.124256,1.039807,-2.258301,-0.671387,-2.746582
41,0.027524,1.129627,1.014172,-1.586914,-1.464844,-1.098633
42,0.021177,1.152332,1.006604,0.0,-1.708984,-0.671387
43,0.008481,1.144276,0.998059,-0.610352,-0.427246,-2.868652
44,0.019956,1.144276,0.963635,1.342773,-2.685547,0.0
45,0.026548,1.134266,1.010754,0.915527,-1.098633,-1.708984
46,0.019956,1.147694,1.016369,1.037598,-2.807617,-1.831055
47,0.04144,1.142567,0.974133,-1.403809,-2.807617,-0.366211
48,0.019468,1.135731,1.032971,-0.183105,-0.366211,-1.525879
49,0.014585,1.136463,0.982434,-4.333496,0.671387,-2.01416
50,0.044614,1.150135,1.020764,0.854492,-4.455566,1.647949
51,0.016782,1.14159,0.983166,1.159668,-0.366211,-2.929688
52,0.016294,1.145496,1.001721,1.77002,-2.441406,-1.647949
53,0.01727,1.140125,0.982922,0.793457,-2.990723,0.0
54,0.034848,1.137195,0.978528,-1.831055,-1.77002,-0.732422
55,0.022886,1.151111,1.01051,-1.586914,-2.685547,-0.488281
56,0.031675,1.121815,1.036877,1.281738,-0.244141,-1.464844
57,0.053159,1.140125,0.966076,-0.427246,-0.610352,-1.220703
58,0.037046,1.130604,0.991223,-0.305176,-0.244141,-0.427246
59,0.050229,1.155018,1.004651,1.098633,-1.708984,-2.319336
60,0.014096,1.149647,0.995373,-0.671387,-1.586914,-2.380371
61,0.035581,1.145496,1.000744,-1.098633,-1.831055,-1.403809
62,0.026059,1.139393,0.995373,0.0,-1.342773,-1.953125
63,0.034604,1.147205,0.985364,-1.220703,0.610352,-1.831055
64,0.008481,1.152576,1.009778,-0.244141,-2.01416,-0.183105
65,0.028257,1.134998,0.994397,-0.244141,-2.990723,-1.89209
66,0.00897,1.168934,0.992444,0.854492,-2.441406,-1.281738
67,0.041684,1.140613,1.021741,0.061035,-2.258301,0.427246
68,-0.002993,1.15282,1.013684,-0.549316,1.525879,-1.281738
69,0.018003,1.135486,1.017834,-0.793457,-2.990723,0.732422
70,0.03021,1.126453,1.004651,1.647949,-1.953125,-0.732422
71,0.026792,1.1516,0.990491,0.061035,-2.868652,-1.281738
72,0.047788,1.142811,1.051037,-0.610352,0.488281,0.671387
73,0.031675,1.144276,1.007825,1.89209,-3.356934,-1.89209
74,0.032163,1.142078,1.003918,1.220703,-2.807617,-0.366211
75,0.039731,1.125965,1.010754,1.220703,-2.319336,-3.295898
76,0.026304,1.130848,0.988782,0.915527,-4.089355,-1.037598
77,0.040464,1.135242,0.966809,-3.112793,-1.159668,-2.075195
78,0.016294,1.15282,1.022961,-0.793457,-1.220703,-2.319336
79,0.022641,1.132069,1.035657,0.12207,-0.671387,-0.732422
80,0.022397,1.131336,1.013196,-0.183105,-0.305176,-1.77002
81,0.026792,1.133533,0.976086,0.427246,-4.150391,0.12207
82,0.043393,1.104481,1.01759,-3.112793,-2.990723,-2.319336
83,0.025083,1.140125,1.055676,-1.953125,-0.976562,0.244141
84,0.046811,1.147938,0.995618,0.671387,-3.112793,-0.976562
85,0.03143,1.158436,0.99635,-1.525879,3.845215,-4.150391
86,0.01605,1.138904,0.990002,-0.244141,-2.13623,-0.12207
87,0.038511,1.145985,0.981457,-2.197266,-0.366211,-1.342773
88,0.016538,1.154285,1.034924,0.732422,-0.915527,-2.502441
89,0.023618,1.155994,1.025891,1.525879,-2.380371,0.488281
90,0.039487,1.141346,0.983655,-0.793457,-1.342773,0.061035
91,0.019956,1.147694,1.012707,1.403809,-3.051758,-0.488281
92,0.041196,1.129627,0.99928,-1.586914,0.427246,-1.77002
93,0.011899,1.14867,1.01051,0.793457,-3.112793,-0.366211
94,0.042173,1.152332,0.930432,2.441406,-5.859375,-2.441406
95,-0.01813,1.155018,1.014416,-7.019043,2.685547,-1.647949
96,0.049009,1.166248,1.00636,6.530762,-4.394531,5.371094
97,0.040708,1.15868,1.027844,-0.854492,2.01416,-4.882812
98,0.03143,1.148182,1.022473,3.540039,-4.760742,3.051758
99,0.039975,1.140369,0.990735,1.953125,-0.12207,-0.671387
100,0.011655,1.151844,0.959729,2.868652,-5.92041,-0.854492
101,0.035093,1.127186,1.046887,-0.427246,-1.831055,-0.305176
102,0.016782,1.146961,0.963147,3.540039,-5.79834,-2.380371
103,0.012143,1.165272,0.995129,-2.990723,-1.220703,-3.540039
104,0.040464,1.165272,0.982678,1.953125,-2.746582,-1.708984
105,0.019712,1.164295,1.001965,-1.403809,-0.244141,-2.685547
106,0.028013,1.152576,1.015149,-2.502441,0.610352,-1.220703
107,0.033872,1.159656,1.003674,-1.281738,-1.220703,0.976562
108,0.026304,1.168445,1.018323,-0.610352,1.037598,-2.01416
109,0.05438,1.155506,0.993909,-0.610352,-1.953125,-2.868652
110,0.040708,1.148426,0.981213,0.793457,-2.746582,-0.366211
111,0.038511,1.16576,0.988293,0.061035,-2.563477,-2.197266
112,0.039975,1.145252,1.024914,1.464844,-3.479004,-0.366211
113,0.015317,1.147449,1.015881,-0.549316,1.464844,-3.295898
114,0.018003,1.157703,0.969006,-0.915527,-2.990723,0.244141
115,0.031675,1.137195,0.973401,-0.366211,-1.525879,-0.732422
116,0.036557,1.146717,1.019055,-2.380371,-0.549316,-1.403809
117,0.028501,1.153065,0.998059,-0.12207,-0.488281,-1.342773
118,0.042173,1.165027,0.994397,-1.953125,-0.244141,-0.854492
119,0.028257,1.152088,1.01051,0.305176,-4.02832,1.403809
120,0.039975,1.130604,1.025159,1.159668,-1.525879,-2.502441
121,0.004575,1.158924,0.974621,0.244141,-0.671387,-0.061035
122,0.042661,1.144031,1.018078,-1.220703,1.464844,-0.854492
123,0.040952,1.147938,0.961926,-1.464844,-0.183105,-1.464844
124,0.025815,1.159168,1.03053,-2.319336,-0.061035,-1.342773
125,0.051206,1.154285,1.001477,-1.098633,-2.685547,-1.953125
126,0.026548,1.153797,1.017834,-0.305176,-1.037598,-2.990723
127,0.014829,1.139637,0.998059,0.854492,-2.502441,-0.427246
128,0.050962,1.145985,0.992688,-1.89209,1.037598,-2.563477
129,0.009946,1.144764,1.03468,-0.671387,-0.305176,-3.845215
130,0.014341,1.152088,0.961438,-0.793457,-1.342773,-1.281738
131,0.009946,1.136219,1.022961,-0.976562,-0.305176,-2.929688
132,0.038511,1.146717,1.012951,-0.793457,-0.976562,-1.098633
133,0.023862,1.160389,0.994153,-0.732422,-1.281738,-2.929688
134,0.019712,1.145496,0.977307,-0.305176,-1.220703,-0.427246
135,0.028501,1.143299,0.97511,0.915527,-0.488281,-1.464844
136,-0.000308,1.153797,1.0005,-1.525879,-1.281738,-1.953125
137,0.001889,1.152332,1.047619,-0.915527,-0.793457,-1.342773
138,0.034848,1.157215,1.03468,1.708984,-2.258301,-0.976562
139,0.021909,1.13866,0.981946,0.244141,-0.915527,-1.953125
140,0.019712,1.145496,1.016369,-0.305176,0.915527,-1.953125
141,0.026304,1.140613,1.008069,-0.915527,-0.183105,0.061035
142,0.018247,1.155262,1.033948,-1.831055,0.427246,-2.319336
143,0.037046,1.161365,0.992932,0.610352,-2.380371,-1.098633
144,0.001645,1.150867,1.013928,-1.525879,0.976562,-4.516602
145,0.012388,1.155506,0.969739,-0.732422,-1.586914,-1.586914
146,0.014829,1.143543,1.007825,-0.183105,-2.01416,-1.647949
147,0.026059,1.168445,1.014416,0.061035,-0.976562,-3.173828
148,0.028257,1.1516,1.004651,0.427246,-4.333496,-1.403809
149,0.021421,1.149891,1.005627,-1.403809,-1.159668,-0.793457
150,0.032651,1.142811,1.010266,-0.061035,-0.793457,-2.868652
151,0.019223,1.141346,1.011487,-0.976562,-1.098633,-2.685547
152,0.013852,1.141346,1.00758,0.488281,0.793457,-1.159668
153,0.014829,1.163807,0.979504,1.586914,-2.319336,0.732422
154,0.019223,1.142811,1.019543,-3.173828,2.075195,-3.479004
155,0.03729,1.136707,0.967785,-0.366211,-4.882812,0.12207
156,0.019468,1.151844,1.045178,-1.464844,0.610352,-2.197266
157,0.017759,1.154529,1.017834,0.732422,-0.549316,-1.89209
158,0.037534,1.157459,0.973889,-1.037598,1.098633,0.0
159,0.028257,1.143299,1.004651,-2.01416,-1.831055,-2.380371
160,0.009946,1.134754,0.99635,-0.12207,-2.197266,-0.12207
161,0.013852,1.166736,1.005383,-1.037598,-2.197266,-1.586914
162,0.003598,1.163074,0.983899,-0.854492,-0.183105,-1.647949
163,0.014341,1.146961,1.005627,0.854492,-1.89209,-0.915527
164,0.045835,1.131824,0.985608,-2.624512,-0.915527,-1.281738
165,0.013364,1.148426,0.984387,-0.183105,-3.234863,-2.502441
166,0.021421,1.157215,0.981457,-0.793457,-0.793457,-1.281738
167,-0.003726,1.176014,1.010998,0.061035,-1.464844,-2.258301
168,0.007261,1.155506,0.991711,-0.366211,-2.319336,0.549316
169,0.029477,1.146229,1.002698,-1.342773,0.244141,-0.549316
170,0.032651,1.140613,0.995129,-1.831055,-1.403809,0.610352
171,0.039487,1.149647,1.018078,-0.915527,-0.244141,-2.624512
172,0.007505,1.153309,0.988293,1.342773,-2.990723,-0.244141
173,0.029233,1.146717,0.981701,-3.540039,0.183105,-0.732422
174,0.036802,1.139393,1.009534,2.01416,-3.662109,-1.586914
175,0.015805,1.155018,1.004407,0.0,0.244141,-1.098633
176,0.035581,1.173084,0.986096,-1.464844,-1.586914,-1.098633
