,ax,ay,az,gx,gy,gz
0,-0.07497,0.978383,0.995033,4.821777,0.244141,-1.525879
1,-0.084004,0.992299,0.989662,2.197266,0.793457,1.098633
2,-0.061787,0.983266,0.99308,3.78418,-2.13623,1.159668
3,-0.07497,0.99352,0.979164,3.051758,2.563477,1.525879
4,-0.064228,1.004018,1.006263,2.01416,-2.441406,1.708984
5,-0.03664,0.992787,1.006263,2.990723,1.831055,0.488281
6,-0.069111,0.977162,0.999183,0.061035,1.342773,0.793457
7,-0.062031,0.997914,0.998451,1.342773,-0.549316,1.831055
8,-0.052754,0.993031,0.97306,2.563477,-0.12207,-0.915527
9,-0.058125,0.988149,1.012123,1.220703,1.159668,0.854492
10,-0.066425,1.009633,1.012611,4.211426,4.455566,-0.305176
11,-0.063007,0.984975,0.960609,1.464844,-0.366211,0.915527
12,-0.057636,0.983998,0.997718,1.098633,1.098633,-0.854492
13,-0.061787,0.983754,0.995521,-0.366211,1.220703,-1.281738
14,-0.054707,0.994252,1.026527,0.549316,-2.868652,0.671387
15,-0.067402,0.981557,1.002357,3.051758,2.380371,-0.976562
16,-0.050556,0.990102,1.000648,2.380371,2.990723,-2.563477
17,-0.058369,1.011342,1.001625,6.958008,3.417969,-0.793457
18,-0.05788,0.965932,0.984535,-0.488281,2.13623,-2.380371
19,-0.121357,1.011098,0.95597,5.004883,-0.244141,-0.183105
20,-0.080586,0.996694,0.980384,-0.671387,-0.12207,-1.098633
21,-0.088154,1.005483,0.989418,2.13623,-0.366211,1.037598
22,-0.061054,0.988637,0.973548,0.610352,2.929688,0.244141
23,-0.076191,1.00182,1.004554,-0.793457,5.126953,1.037598
24,-0.081806,1.000356,1.043617,2.624512,2.685547,2.685547
25,-0.067646,1.000844,0.966713,1.831055,2.868652,6.04248
26,-0.083759,0.995229,1.051918,1.037598,3.90625,0.549316
27,-0.085468,0.994985,0.981361,3.479004,0.366211,0.854492
28,-0.089619,0.990346,1.011634,3.112793,2.624512,-0.183105
29,-0.093769,0.998647,0.960853,1.953125,1.586914,1.342773
30,-0.093037,0.972035,1.003089,0.305176,0.793457,-1.708984
31,-0.122334,0.998647,1.000648,0.732422,0.183105,1.220703
32,-0.070576,0.992299,1.012855,1.159668,-1.159668,-0.427246
33,-0.089863,0.980336,0.986732,2.380371,-1.098633,-1.586914
34,-0.088154,0.998403,1.002601,1.037598,-4.02832,-2.380371
35,-0.088154,0.996449,1.013832,1.89209,0.0,0.732422
36,-0.076679,1.008656,0.975502,1.647949,1.159668,0.427246
37,-0.07497,0.98766,0.99723,-0.305176,-2.01416,-2.319336
38,-0.097431,0.988393,1.002113,1.525879,0.671387,0.610352
39,-0.073017,0.988393,0.998207,0.732422,-2.197266,-0.854492
40,-0.090595,0.997182,1.00138,2.197266,2.502441,-0.671387
41,-0.088398,0.989369,0.997718,3.112793,-0.671387,-0.854492
42,-0.080097,0.990102,0.968666,2.502441,-0.244141,0.183105
43,-0.076435,0.98766,0.991615,0.305176,-2.624512,-2.319336
44,-0.091328,0.997182,1.00016,-0.244141,-0.854492,-0.793457
45,-0.096211,0.985951,1.038978,3.051758,2.258301,0.427246
46,-0.068623,1.013295,0.969398,4.333496,1.342773,-0.12207
47,-0.073017,0.973988,0.980384,1.77002,2.685547,0.12207
48,-0.081562,1.004994,0.995765,1.77002,-4.516602,-0.915527
49,-0.076435,0.982289,1.012123,-0.305176,1.342773,-0.854492
50,-0.087666,0.992787,0.994545,2.563477,-3.90625,-0.915527
51,-0.08205,0.989613,1.011146,0.366211,2.13623,-0.061035
52,-0.074238,0.988149,0.995277,2.929688,-0.183105,1.77002
53,-0.075459,0.983022,0.990882,2.624512,1.220703,2.868652
54,-0.090839,0.991567,0.987709,0.12207,0.488281,0.366211
55,-0.069111,0.988881,0.97306,2.258301,-0.12207,0.732422
56,-0.090351,0.981313,0.99308,-0.549316,-1.159668,0.366211
57,-0.080097,0.988393,1.012367,2.502441,0.671387,-1.647949
58,-0.1133,0.98351,0.996742,0.610352,0.061035,1.281738
59,-0.082295,0.975209,0.997718,1.708984,-3.112793,0.915527
60,-0.094013,0.993276,0.966468,1.89209,0.976562,-0.549316
61,-0.08913,0.981069,1.019203,-0.488281,-6.652832,0.915527
62,-0.075703,0.984975,0.994056,3.90625,-0.427246,1.647949
63,-0.091084,0.985951,0.994545,2.685547,1.586914,0.671387
64,-0.069111,0.985951,0.991859,3.90625,0.244141,0.671387
65,-0.078877,0.971059,0.965248,1.77002,2.563477,5.004883
66,-0.066181,0.98766,1.000648,0.976562,-0.183105,1.159668
67,-0.075703,0.995229,1.002357,1.037598,0.976562,-1.708984
68,-0.059589,0.99767,0.974525,1.647949,-0.427246,-0.671387
69,-0.081806,0.991078,1.002845,2.441406,0.793457,-0.12207
70,-0.083271,0.98351,1.007972,2.380371,-0.183105,-1.159668
71,-0.072285,0.983022,0.976966,2.258301,-1.708984,-2.502441
72,-0.069111,0.984242,0.986976,0.854492,2.868652,0.976562
73,-0.080341,0.983754,1.00016,-0.183105,-0.244141,-0.366211
74,-0.055927,1.00182,1.020668,2.075195,2.380371,1.098633
75,-0.076679,0.996449,0.972328,2.868652,-1.159668,-0.854492
76,-0.053486,0.985463,1.004554,0.732422,-2.380371,0.549316
77,-0.084736,0.995229,0.995033,3.173828,1.525879,-0.854492
78,-0.085224,0.991078,0.971351,0.305176,1.403809,-2.258301
79,-0.097431,0.992543,0.992591,-0.976562,-3.112793,-1.586914
80,-0.082783,1.000844,0.988197,0.061035,-3.112793,-0.12207
81,-0.083515,0.995473,1.005531,1.403809,0.366211,-1.159668
82,-0.076435,0.990102,0.999672,1.708984,1.159668,-0.488281
83,-0.084492,0.977162,1.003578,2.563477,0.244141,-1.281738
84,-0.078877,0.971303,0.992591,3.234863,-3.967285,-0.488281
85,-0.071552,0.991567,0.961586,1.281738,2.624512,-2.197266
86,-0.086201,0.990346,0.999672,-1.586914,-2.624512,2.01416
87,-0.072041,0.983754,0.987953,1.403809,3.967285,-0.854492
88,-0.088398,0.978383,1.03141,0.12207,-1.708984,-1.77002
89,-0.0779,1.0006,1.019691,5.554199,4.821777,-1.403809
90,-0.055439,0.985951,0.96598,2.01416,0.732422,0.488281
91,-0.071552,0.970815,1.002113,1.89209,-4.516602,0.793457
92,-0.054951,0.978139,0.991371,3.356934,-3.051758,-0.793457
93,-0.067158,0.964467,0.972084,1.953125,-2.01416,-2.746582
94,-0.096699,0.986928,0.977211,0.427246,-2.502441,-3.479004
95,-0.092793,1.008656,0.985267,1.098633,-0.305176,-1.159668
96,-0.079121,0.982045,1.012123,-0.305176,1.403809,1.403809
97,-0.076679,0.988881,1.003578,3.662109,9.338379,0.183105
98,-0.062519,0.999135,0.980629,2.441406,-2.01416,2.258301
99,-0.071064,0.992055,0.981849,0.610352,0.0,-0.305176
100,-0.069111,0.984975,0.986488,0.976562,0.488281,-0.610352
101,-0.062275,0.974721,0.993812,3.051758,-1.464844,0.427246
102,-0.079365,0.998891,1.021156,1.77002,6.103516,2.258301
103,-0.101826,0.992299,1.028236,2.380371,-0.671387,1.464844
104,-0.071552,0.984487,0.99723,1.586914,1.098633,2.502441
105,-0.055683,0.976918,0.983558,2.380371,1.708984,-0.366211
106,-0.038837,0.997182,0.965004,0.610352,-0.305176,-1.708984
107,-0.083027,0.987416,0.986244,0.305176,2.319336,1.77002
108,-0.089619,0.970571,1.020179,2.197266,0.976562,-0.488281
109,-0.081562,0.987904,1.02555,1.220703,-2.197266,-0.976562
110,-0.098408,0.985707,1.052406,2.441406,2.075195,-1.281738
111,-0.10207,0.979604,1.006507,1.89209,0.183105,-2.197266
112,-0.063252,0.982533,0.954017,0.793457,-1.220703,0.183105
113,-0.04665,1.005971,0.977455,2.685547,1.220703,-0.671387
114,-0.058857,0.991078,0.956214,1.464844,0.061035,0.244141
115,-0.07375,0.984975,0.985756,1.037598,-1.708984,-0.183105
116,-0.075947,0.991567,1.006507,0.976562,1.281738,0.793457
117,-0.093769,0.977162,1.033119,1.708984,0.976562,0.976562
118,-0.09206,0.964467,0.991371,4.760742,0.549316,-0.976562
119,-0.093769,0.973256,0.94889,2.929688,2.990723,-0.12207
120,-0.059345,0.978139,0.937904,-0.915527,-7.202148,3.356934
121,-0.076191,0.986684,1.007728,-2.075195,-5.065918,5.187988
122,-0.059834,0.972768,1.035316,-0.915527,5.126953,-2.01416
123,-0.077656,0.990834,1.058998,1.464844,-6.652832,-0.305176
124,-0.081318,0.998158,1.018714,2.258301,1.831055,-0.427246
125,-0.091572,0.964955,1.047767,4.516602,0.12207,0.061035
126,-0.030293,0.977406,0.958412,8.911133,2.075195,1.281738
127,-0.073017,0.994496,0.976722,3.540039,2.258301,-0.305176
128,-0.040546,0.999623,0.965736,2.746582,-0.549316,-3.112793
129,-0.095722,0.973256,0.979408,-0.488281,0.793457,-2.929688
130,-0.092793,0.991322,0.987464,1.525879,-2.258301,-1.89209
131,-0.068867,0.991322,1.003578,2.075195,-0.305176,1.159668
132,-0.070576,0.99059,1.00016,0.854492,-0.732422,-1.098633
