ax,ay,az,gx,gy,gz
-0.118228,0.029285,0.143567,-0.854492,-0.915527,-1.403809
-0.114566,0.044910,0.141369,-3.234863,1.831055,-1.281738
-0.132388,0.029529,0.160901,-1.342773,-1.464844,-0.915527
-0.115054,0.027332,0.148450,0.915527,-1.403809,-0.244141
-0.131655,0.031238,0.131360,-1.037598,-1.342773,-0.915527
-0.143374,0.029529,0.129162,-1.281738,-0.122070,-1.220703
-0.131411,0.021473,0.153332,-2.746582,0.610352,1.098633
-0.113833,0.031483,0.157239,0.305176,-3.662109,-1.953125
-0.119693,0.040272,0.155774,1.464844,-4.394531,-2.136230
-0.144107,0.030506,0.151135,-1.770020,-0.793457,-1.464844
-0.111392,0.039051,0.163586,0.427246,0.183105,-1.098633
-0.116275,0.020985,0.127209,-2.380371,-0.610352,-3.234863
-0.137271,0.040027,0.134778,2.014160,-2.807617,-3.234863
-0.121402,0.012684,0.126721,-2.197266,-1.098633,-1.342773
-0.132144,0.026356,0.136242,0.427246,-3.723145,-2.075195
-0.104312,0.031971,0.125500,-1.281738,-1.525879,-1.586914
-0.136050,0.034412,0.150891,-1.831055,-3.234863,0.183105
-0.094302,0.031238,0.136487,-1.403809,-2.563477,-1.159668
-0.122378,0.019276,0.161877,0.793457,-7.202148,-3.906250
-0.134341,0.029774,0.126477,-1.220703,-2.380371,-4.211426
-0.111392,0.015858,0.155774,0.488281,-3.112793,-1.281738
-0.125552,0.018299,0.139172,-0.854492,-1.586914,-1.586914
-0.129702,0.020252,0.165539,0.671387,-1.281738,-3.112793
-0.146304,0.016346,0.130871,-1.220703,-1.342773,-0.549316
-0.132876,0.026111,0.143567,-1.953125,1.464844,-0.549316
-0.111392,0.029529,0.138196,0.183105,-0.305176,-0.244141
-0.116030,0.018543,0.142102,1.281738,-2.624512,-0.793457
-0.099429,0.027820,0.199231,-1.159668,1.159668,-1.586914
-0.100650,0.027820,0.163098,-0.549316,1.281738,-3.295898
-0.130435,0.029774,0.169934,1.647949,-3.479004,-1.647949
-0.133120,0.033680,0.154309,3.479004,13.549805,-9.460449
-0.118228,0.031238,0.139660,1.525879,0.915527,0.305176
-0.119937,0.011707,0.126965,-1.159668,-6.164551,-4.333496
-0.118228,0.018299,0.167737,3.295898,-10.437012,2.990723
-0.102114,0.007557,0.114758,-0.061035,-5.981445,-1.464844
-0.103823,0.039783,0.163098,-1.525879,-4.699707,-1.342773
-0.157046,0.043445,0.162121,-0.793457,-4.089355,-2.685547
-0.137515,0.028065,0.156506,-2.258301,-2.075195,-1.159668
-0.131655,0.027576,0.153088,-0.732422,-5.249023,1.586914
-0.113345,0.014881,0.167004,-0.122070,-0.427246,-1.708984
-0.117251,0.010975,0.160901,0.061035,-1.586914,-0.366211
-0.110171,0.040027,0.125744,-0.427246,0.732422,-1.037598
-0.113345,0.034656,0.162610,-2.136230,-1.708984,-1.037598
-0.103579,0.028553,0.174084,-0.610352,-2.868652,-0.305176
-0.128237,0.019031,0.146985,-1.342773,-2.014160,-1.159668
-0.123843,0.031238,0.149914,-0.488281,-2.136230,0.061035
-0.123599,0.038563,0.160657,-3.662109,-0.305176,-0.976562
-0.098696,0.038319,0.149426,0.549316,-0.305176,-0.671387
-0.105044,0.036365,0.161145,-0.854492,-0.122070,-2.136230
-0.126284,0.030506,0.174573,-0.732422,-2.990723,-0.244141
-0.114566,0.033924,0.163586,-0.793457,-1.220703,-2.075195
-0.108950,0.004627,0.140393,1.464844,-2.624512,-2.197266
-0.128482,0.022205,0.141369,-0.061035,-0.549316,-1.464844
-0.128726,0.025867,0.182873,0.244141,-4.516602,-0.610352
-0.111392,0.035145,0.135022,-0.305176,-0.793457,-1.342773
-0.118716,0.038563,0.127209,1.220703,-4.333496,0.427246
