ax,ay,az,gx,gy,gz
0.958784,1.045369,0.223370,2.624512,0.061035,0.915527
0.972944,1.027303,0.213605,2.380371,-0.366211,-1.831055
0.958784,1.048787,0.210675,3.112793,-0.976562,-1.220703
0.957075,1.034139,0.237531,3.173828,0.000000,0.427246
0.943647,1.052205,0.221661,1.342773,-3.662109,-0.671387
0.966352,1.037068,0.231915,2.929688,-0.732422,1.037598
0.974409,1.029500,0.233624,1.403809,-0.061035,0.854492
0.973676,1.037068,0.254376,2.624512,-2.868652,-0.427246
0.967085,1.050740,0.259503,2.441406,-1.281738,-0.793457
0.971235,1.015584,0.212384,0.732422,-1.525879,-2.197266
0.935835,1.020223,0.250470,0.610352,-0.915527,-1.586914
0.945112,1.036824,0.247296,1.831055,2.502441,-0.671387
0.931684,1.047810,0.253156,1.708984,-2.441406,0.976562
0.973676,1.032674,0.284894,4.516602,-4.272461,0.854492
0.976850,1.050252,0.230450,3.784180,-3.784180,-0.549316
0.969770,1.026814,0.229230,3.234863,-3.112793,-1.708984
0.961713,1.033162,0.224103,1.770020,-3.051758,-1.831055
0.968061,1.041463,0.215070,1.586914,-3.723145,-5.432129
0.930219,1.038045,0.228986,2.258301,-3.662109,-4.821777
0.960005,1.009236,0.233624,1.953125,-3.601074,-0.915527
0.955366,1.050008,0.246808,3.295898,-4.516602,-0.061035
0.959028,1.045857,0.254865,2.929688,-3.051758,0.854492
0.944868,1.033894,0.213361,3.112793,-2.685547,0.427246
0.966840,1.033650,0.238751,1.892090,-0.671387,-0.854492
0.949506,1.039510,0.246075,3.784180,-3.784180,-1.831055
0.965864,1.065633,0.208722,2.807617,0.061035,-1.281738
0.955854,1.026814,0.195294,1.953125,-0.732422,-0.976562
0.938276,1.041707,0.232159,3.295898,-1.708984,0.793457
0.946088,1.048543,0.258771,4.028320,0.793457,2.563477
0.996137,1.048787,0.256818,3.051758,-1.098633,2.685547
0.974409,1.024129,0.248761,2.502441,-0.305176,-1.831055
0.980512,1.021687,0.233868,1.953125,-0.671387,-4.760742
0.963911,1.029012,0.220441,2.563477,-0.305176,-5.676270
