ax,ay,az,gx,gy,gz
0.007793,0.375600,0.782875,-57.739258,-50.781250,47.119141
0.094952,0.211049,0.672279,-57.373047,-60.729980,35.156250
0.134991,0.245717,0.563148,-77.270508,-76.843262,36.499023
0.032452,0.284779,0.660072,-53.710938,-51.147461,34.729004
0.107159,0.175404,0.509681,-58.593750,-60.241699,56.274414
0.058819,0.189321,0.619789,-13.610840,-14.282227,51.940918
0.137676,0.086049,0.441322,-25.146484,-37.719727,46.691895
0.134258,0.085072,0.425697,-4.028320,-7.995605,37.048340
0.101055,0.123158,0.428138,-11.169434,-26.550293,31.555176
0.080547,0.044301,0.455482,-3.662109,-17.761230,24.108887
0.013653,0.116078,0.392738,6.286621,-12.878418,12.329102
0.034405,0.089467,0.489906,20.690918,8.850098,1.586914
0.020977,0.094350,0.384681,4.211426,6.286621,-7.751465
0.034893,0.086781,0.459388,3.601074,7.080078,5.065918
0.012188,0.139760,0.494056,3.356934,10.253906,11.047363
0.044414,0.085561,0.494545,9.765625,-15.930176,22.155762
0.078838,0.116078,0.420082,4.943848,-18.798828,8.544922
-0.004658,0.112172,0.392494,-9.826660,-4.699707,21.850586
0.030010,0.093373,0.422767,-1.525879,-12.084961,17.700195
0.005108,0.118276,0.433754,-1.098633,0.854492,8.361816
0.010723,0.104115,0.442787,1.770020,0.183105,3.051758
-0.021992,0.130238,0.439613,0.854492,0.793457,1.831055
-0.017841,0.106557,0.443519,-2.380371,-7.751465,6.408691
-0.042255,0.113881,0.436683,-0.549316,-4.211426,3.295898
-0.039570,0.099965,0.429359,-1.098633,1.647949,2.563477
-0.005879,0.097035,0.419349,1.037598,2.014160,-0.305176
-0.027851,0.108754,0.427406,1.281738,2.685547,-0.305176
-0.016132,0.105336,0.439857,0.488281,5.310059,1.525879
-0.021504,0.099721,0.447914,1.220703,1.220703,1.098633
-0.023457,0.117299,0.420814,0.122070,-2.075195,1.281738
-0.022724,0.112660,0.420814,0.366211,-1.892090,2.014160
-0.022480,0.114613,0.420326,0.854492,0.427246,2.014160
-0.021015,0.104360,0.421302,2.502441,2.258301,2.563477
-0.009052,0.097035,0.420082,2.441406,2.807617,-0.122070
-0.013691,0.116322,0.427650,3.173828,0.976562,2.258301
-0.028095,0.097768,0.450843,0.610352,0.061035,0.427246
0.004864,0.124867,0.374427,6.164551,6.286621,-0.305176
-0.013203,0.104360,0.415687,2.136230,2.441406,2.624512
-0.049336,0.098744,0.436439,1.342773,-0.366211,1.464844
-0.038349,0.104115,0.426918,1.220703,0.122070,0.732422
-0.025654,0.115590,0.436439,0.122070,3.234863,1.525879
-0.025898,0.118764,0.436683,0.732422,-0.061035,-0.427246
-0.029560,0.111928,0.427894,0.915527,1.281738,-0.671387
-0.016865,0.114613,0.419105,1.525879,2.502441,0.671387
-0.042500,0.121205,0.423744,0.000000,0.183105,-0.915527
-0.016865,0.101918,0.433509,0.671387,-2.685547,0.305176
-0.034199,0.096547,0.416420,0.915527,-0.183105,-1.220703
-0.034199,0.120229,0.413246,1.831055,4.272461,-0.976562
-0.017109,0.093373,0.433021,1.281738,3.601074,-0.305176
-0.028339,0.102895,0.414955,1.892090,1.403809,0.122070
-0.042500,0.092397,0.436439,1.403809,1.098633,1.281738
-0.021748,0.115102,0.432289,1.647949,1.525879,1.281738
-0.029560,0.099477,0.440345,2.136230,1.892090,2.075195
-0.029316,0.084096,0.448646,0.793457,2.014160,0.183105
-0.037373,0.105824,0.433754,1.586914,4.821777,0.061035
-0.019550,0.117787,0.429359,0.854492,3.601074,-1.403809
-0.013447,0.098744,0.437172,1.403809,1.159668,-1.098633
-0.025166,0.110707,0.424720,0.976562,0.183105,1.525879
-0.024189,0.093617,0.424232,0.305176,-0.915527,0.854492
-0.045918,0.107289,0.412757,-0.305176,1.525879,1.708984
-0.032002,0.093617,0.409095,-0.915527,0.427246,0.671387
-0.020283,0.092641,0.402748,-0.183105,2.929688,0.915527
-0.028828,0.098500,0.413734,-0.305176,2.197266,0.366211
-0.020283,0.108022,0.418617,1.098633,0.488281,-0.671387
-0.016621,0.096303,0.400795,-0.305176,-3.479004,0.000000
-0.032246,0.114369,0.412025,1.220703,0.000000,-1.098633
-0.029560,0.092397,0.428138,-0.732422,1.464844,0.610352
-0.019306,0.095082,0.408363,0.671387,2.441406,1.037598
-0.034199,0.106069,0.423256,1.342773,2.197266,0.915527
-0.025410,0.098256,0.403724,1.098633,1.220703,2.624512
-0.041767,0.108754,0.416175,1.770020,-2.441406,0.488281
-0.023457,0.105824,0.411781,0.793457,-0.793457,3.112793
-0.028339,0.096303,0.406410,1.220703,-1.770020,1.647949
-0.018818,0.100942,0.412025,1.220703,1.098633,0.183105
-0.026142,0.093862,0.426673,1.647949,2.258301,1.464844
-0.030537,0.110707,0.403968,1.098633,-0.122070,1.403809
-0.023457,0.101674,0.397865,1.037598,1.647949,0.488281
-0.016132,0.110219,0.408851,1.647949,1.220703,-0.488281
-0.021504,0.101674,0.430824,0.183105,2.990723,-0.488281
-0.012470,0.116322,0.401771,1.953125,2.136230,0.183105
-0.021992,0.097279,0.403236,1.953125,3.356934,0.427246
-0.018086,0.110463,0.413490,2.746582,1.831055,-0.183105
-0.031513,0.133901,0.436439,0.244141,0.488281,0.488281
-0.026630,0.116078,0.417396,2.014160,1.708984,-0.793457
-0.028828,0.112660,0.426185,1.892090,2.197266,1.220703
-0.020771,0.105092,0.406410,3.540039,2.441406,0.549316
-0.026142,0.110463,0.413978,1.831055,0.915527,0.854492
-0.008808,0.092397,0.422035,1.403809,0.549316,0.122070
-0.016865,0.099965,0.413978,2.319336,2.685547,-2.990723
-0.022724,0.091420,0.415443,1.892090,3.356934,-0.183105
-0.021015,0.094594,0.401527,2.502441,1.342773,0.976562
-0.011005,0.111440,0.420570,0.610352,0.427246,1.708984
-0.022236,0.098256,0.417152,1.892090,0.549316,-0.122070
-0.021259,0.109975,0.417884,0.000000,-3.295898,-0.976562
-0.032490,0.086049,0.419105,0.305176,-0.854492,1.098633
-0.028584,0.096303,0.416175,1.281738,1.831055,0.976562
-0.012226,0.107533,0.407875,1.220703,0.671387,-0.183105
-0.014668,0.103871,0.412513,2.136230,3.051758,0.122070
-0.009296,0.097524,0.405189,1.525879,1.464844,0.915527
-0.006123,0.096059,0.418129,2.319336,1.892090,0.671387
-0.023945,0.093617,0.396644,2.136230,1.281738,2.014160
-0.006855,0.099965,0.380287,1.403809,2.014160,0.061035
-0.024189,0.105824,0.419105,1.708984,2.685547,-0.366211
-0.026875,0.100209,0.455970,1.098633,3.540039,0.610352
-0.011738,0.088490,0.438636,2.502441,2.441406,-0.549316
-0.029072,0.099965,0.402748,1.708984,2.441406,0.549316
-0.017841,0.101430,0.405677,0.854492,0.549316,1.220703
0.008282,0.104604,0.377357,0.366211,0.183105,1.403809
-0.032246,0.095571,0.404213,0.732422,-0.915527,2.929688
-0.051533,0.092153,0.446693,1.342773,0.244141,2.258301
-0.059834,0.102651,0.469154,1.586914,1.831055,0.366211
-0.033466,0.091420,0.462318,1.525879,1.403809,0.366211
-0.011982,0.099721,0.393470,1.708984,1.281738,0.183105
-0.019550,0.092641,0.370033,2.746582,2.746582,2.197266
-0.013691,0.100453,0.371254,1.220703,1.098633,1.281738
-0.008076,0.086781,0.393470,0.793457,-0.183105,1.953125
-0.033222,0.101430,0.380531,1.525879,0.854492,0.000000
-0.052021,0.107778,0.476966,0.488281,1.708984,0.305176
-0.026386,0.105092,0.421791,0.793457,0.427246,0.549316
-0.042255,0.092641,0.398353,2.380371,3.417969,1.159668
-0.023701,0.101674,0.396400,1.281738,1.953125,2.014160
-0.004170,0.084584,0.378089,1.098633,-1.770020,1.464844
-0.025166,0.112660,0.405433,1.159668,1.281738,1.647949
-0.045429,0.089223,0.429847,1.281738,-1.831055,1.281738
-0.053974,0.099965,0.467689,1.098633,1.220703,2.014160
-0.036396,0.095082,0.446449,0.793457,0.915527,2.563477
