ax,ay,az,gx,gy,gz
-0.081240,0.012047,0.064394,-13.122559,-17.456055,-14.953613
-0.056826,0.019859,0.071963,-14.160156,-19.165039,-13.549805
-0.073427,0.029381,0.069521,-11.840820,-17.944336,-14.892578
-0.062441,0.027916,0.036562,-13.244629,-18.432617,-13.610840
-0.077334,0.006920,0.043886,-14.099121,-15.991211,-13.366699
-0.054140,-0.008461,0.093447,-14.526367,-19.287109,-13.366699
-0.067080,0.016685,0.069277,-12.390137,-17.395020,-15.075684
-0.073671,0.008140,0.092470,-12.756348,-21.484375,-14.892578
-0.080752,0.021324,0.067812,-13.610840,-21.972656,-14.343262
-0.070986,0.010582,0.073672,-14.282227,-17.089844,-14.587402
-0.063418,0.026939,0.066347,-14.709473,-19.409180,-15.014648
-0.079287,0.017906,0.070254,-16.723633,-21.667480,-13.977051
-0.069765,0.016685,0.100283,-17.456055,-19.409180,-13.916016
-0.073671,0.019127,0.092470,-14.831543,-19.958496,-13.061523
-0.064638,0.016929,0.068545,-15.014648,-18.432617,-13.244629
-0.089785,0.014732,0.050234,-14.770508,-18.737793,-12.817383
-0.076601,0.002769,0.090761,-13.977051,-19.592285,-12.878418
-0.081484,0.019371,0.054385,-13.061523,-19.897461,-13.549805
-0.074160,0.011558,0.068301,-13.061523,-19.653320,-13.061523
-0.062929,0.008385,0.072695,-13.610840,-20.385742,-13.366699
-0.084658,0.006431,0.038760,-14.465332,-17.272949,-13.610840
-0.070986,0.009117,0.070498,-13.671875,-19.226074,-13.000488
-0.086123,0.017662,0.031679,-12.695312,-19.531250,-13.610840
-0.080019,0.019127,0.075381,-14.465332,-20.446777,-12.695312
-0.070253,0.028160,0.080996,-13.488770,-18.188477,-13.549805
-0.077334,0.012047,0.079775,-13.488770,-23.315430,-14.343262
-0.094423,0.010826,0.084902,-12.390137,-20.568848,-13.305664
-0.073427,0.013267,0.042666,-12.695312,-20.996094,-13.732910
-0.083681,0.017906,0.076845,-13.610840,-20.324707,-15.136719
-0.089052,0.010582,0.095888,-13.183594,-19.287109,-14.892578
-0.082949,0.024254,0.075625,-12.145996,-19.287109,-15.014648
-0.082461,0.007896,0.036074,-13.732910,-19.042969,-15.502930
-0.091982,0.005699,0.063174,-12.695312,-19.348145,-14.831543
-0.079287,0.018394,0.068301,-12.634277,-20.690918,-14.953613
-0.086611,0.017906,0.057314,-12.451172,-22.094727,-14.465332
-0.074404,-0.002358,0.080508,-10.925293,-22.399902,-16.418457
-0.066103,0.003502,0.037783,-12.023926,-21.850586,-14.831543
-0.088076,0.001060,0.084902,-12.634277,-16.296387,-16.174316
-0.074648,0.012291,0.085390,-14.831543,-19.165039,-15.197754
-0.077578,0.002281,0.077090,-12.390137,-20.019531,-15.197754
-0.076845,0.014244,0.072451,-15.808105,-18.005371,-16.723633
-0.093935,0.017174,0.069277,-13.977051,-18.615723,-16.906738
-0.101748,-0.012612,0.072939,-15.136719,-20.690918,-15.625000
-0.090029,0.028404,0.076357,-11.596680,-19.836426,-14.221191
-0.101503,0.022545,0.052431,-12.329102,-18.310547,-13.488770
-0.088808,0.025963,0.106142,-12.023926,-17.639160,-12.512207
-0.081728,0.004478,0.043886,-11.535645,-20.751953,-12.207031
-0.069765,0.027916,0.063906,-13.427734,-15.686035,-13.854980
-0.060488,-0.002358,0.078066,-13.061523,-19.470215,-14.770508
-0.068056,0.008629,0.059267,-10.803223,-19.836426,-17.700195
-0.077089,0.006187,0.075136,-13.488770,-17.211914,-16.601562
-0.086367,0.007408,0.071963,-11.108398,-16.601562,-17.211914
-0.092470,0.031578,0.064638,-12.145996,-20.446777,-17.700195
-0.092714,0.016685,0.057314,-11.535645,-16.601562,-14.709473
-0.093203,0.032310,0.074160,-12.939453,-17.517090,-13.122559
-0.083681,0.003258,0.068056,-13.000488,-19.165039,-11.474609
-0.073183,0.030357,0.078066,-13.305664,-18.615723,-11.962891
-0.068544,0.021568,0.057803,-11.108398,-18.554688,-11.901855
-0.077822,0.007896,0.045840,-11.230469,-19.653320,-13.305664
-0.060244,0.004478,0.085635,-12.512207,-20.202637,-13.427734
-0.075869,-0.005043,0.079043,-11.779785,-18.066406,-14.465332
-0.067324,0.009605,0.048037,-12.756348,-17.639160,-16.723633
-0.083925,0.012779,0.048769,-13.000488,-17.761230,-16.479492
-0.093203,0.010826,0.074160,-12.817383,-17.150879,-16.113281
-0.102480,0.015220,0.059267,-13.244629,-18.981934,-14.892578
-0.077822,0.027916,0.064638,-12.756348,-19.897461,-14.099121
-0.093691,-0.002358,0.092226,-14.282227,-17.761230,-14.282227
-0.084414,0.037193,0.061465,-11.474609,-18.371582,-13.488770
-0.096377,0.014976,0.086855,-12.451172,-16.906738,-13.916016
-0.089052,0.024254,0.090029,-12.145996,-20.141602,-11.901855
-0.065371,0.012047,0.058535,-12.390137,-18.676758,-13.671875
-0.075380,0.018883,0.045351,-9.826660,-16.357422,-11.840820
-0.078066,-0.002846,0.067324,-12.084961,-18.005371,-14.526367
-0.100283,0.026207,0.062685,-10.986328,-19.348145,-16.296387
-0.105654,0.007408,0.057558,-13.610840,-15.991211,-16.296387
-0.101503,0.034752,0.075869,-13.366699,-21.850586,-13.305664
-0.089785,0.034263,0.041933,-13.183594,-17.700195,-13.549805
-0.089785,0.027183,0.100527,-14.038086,-18.920898,-13.061523
-0.083193,0.010094,0.082461,-14.038086,-19.897461,-12.268066
-0.066836,0.032310,0.065615,-11.169434,-21.606445,-13.305664
-0.073183,0.002281,0.094424,-13.061523,-21.850586,-12.390137
-0.064638,0.010826,0.072939,-10.498047,-19.836426,-12.390137
-0.082461,0.015465,0.078554,-11.840820,-20.324707,-15.991211
-0.094423,0.002525,0.089053,-10.864258,-18.005371,-18.798828
-0.104921,0.035484,0.086855,-10.803223,-23.742676,-16.601562
-0.107363,0.014488,0.095888,-12.023926,-16.296387,-16.479492
-0.091982,0.007408,0.077822,-10.131836,-19.714355,-12.939453
-0.096865,-0.001381,0.071474,-13.183594,-14.404297,-14.709473
-0.091738,0.006676,0.073672,-11.657715,-19.470215,-13.854980
-0.073427,0.002525,0.077822,-13.305664,-15.258789,-15.136719
-0.082216,0.000084,0.101992,-12.939453,-16.357422,-14.465332
-0.083925,0.014732,0.095888,-14.160156,-16.418457,-15.319824
-0.084414,0.025719,0.088076,-12.207031,-16.052246,-15.197754
-0.092959,0.012291,0.083926,-13.671875,-14.038086,-14.892578
-0.074160,0.003502,0.068056,-13.610840,-12.145996,-14.404297
-0.087587,0.006920,0.086123,-14.282227,-18.066406,-14.953613
-0.090029,0.017174,0.095888,-12.329102,-16.418457,-16.052246
-0.088808,0.023765,0.075869,-12.695312,-18.920898,-14.160156
-0.088076,0.005455,0.064150,-15.197754,-20.263672,-14.831543
-0.079043,0.006187,0.075136,-13.305664,-19.042969,-13.671875
-0.103457,-0.005532,0.108584,-7.629395,-8.483887,-7.141113
-0.108828,0.032554,0.046816,-10.986328,-19.592285,-9.704590
-0.102968,0.017662,0.116152,-14.404297,-17.150879,-14.038086
-0.063662,0.012535,0.071719,-15.380859,-20.935059,-15.747070
-0.100039,0.009117,0.086123,-15.197754,-20.996094,-15.808105
-0.088808,0.020103,0.057314,-13.916016,-20.080566,-14.770508
-0.087587,0.025230,0.045351,-13.916016,-20.385742,-13.305664
-0.101992,0.018150,0.091982,-15.258789,-17.578125,-15.625000
-0.094668,0.021080,0.117617,-12.695312,-19.165039,-15.014648
-0.083681,0.014488,0.051943,-13.671875,-20.690918,-14.648438
-0.115419,0.009361,0.081728,-12.207031,-19.287109,-14.587402
-0.074892,0.012291,0.053652,-13.122559,-21.240234,-14.953613
-0.092226,0.021568,0.086855,-13.977051,-18.676758,-15.563965
-0.072939,-0.002602,0.075625,-13.061523,-18.676758,-14.709473
-0.070009,0.012291,0.055361,-14.343262,-16.540527,-15.747070
-0.099306,0.035728,0.049746,-13.977051,-18.310547,-15.625000
-0.082461,0.014976,0.076113,-13.183594,-16.601562,-14.831543
-0.069033,0.016929,0.018984,-13.916016,-21.972656,-14.953613
-0.116152,0.010094,0.081240,-11.901855,-17.211914,-14.648438
-0.074404,0.023765,0.055361,-13.610840,-20.141602,-14.831543
-0.102236,0.029381,0.054629,-12.451172,-19.165039,-13.000488
-0.083437,0.001304,0.079043,-13.366699,-18.798828,-13.488770
-0.085634,0.033531,0.079531,-12.817383,-20.141602,-14.526367
-0.105898,0.014488,0.082705,-11.901855,-17.211914,-14.343262
-0.088808,0.016441,0.070010,-12.817383,-19.287109,-14.221191
-0.073916,0.000816,0.043886,-11.657715,-18.127441,-14.587402
-0.101015,0.012535,0.058291,-12.145996,-18.432617,-15.441895
-0.094912,0.036461,0.057558,-12.207031,-19.165039,-14.282227
-0.100283,0.013511,0.082217,-10.253906,-20.324707,-13.732910
-0.097841,0.016441,0.074160,-12.756348,-17.639160,-14.526367
-0.097353,0.015709,0.049746,-13.793945,-18.676758,-12.878418
-0.078066,0.026207,0.078066,-13.305664,-17.089844,-13.549805
-0.080996,0.011558,0.100771,-11.535645,-19.165039,-14.831543
-0.099550,0.013511,0.060000,-12.756348,-18.432617,-14.221191
-0.083681,0.005455,0.106386,-12.634277,-18.432617,-14.282227
-0.098086,0.016685,0.058291,-13.549805,-19.653320,-15.380859
-0.103212,0.024010,0.053164,-11.535645,-15.136719,-17.578125
-0.080019,0.004967,0.070498,-12.329102,-14.404297,-17.211914
-0.089296,-0.009438,0.084902,-10.437012,0.061035,-20.874023
-0.038027,0.019859,0.097109,2.014160,32.958984,-27.465820
0.005186,-0.018715,0.089053,0.854492,39.123535,-38.818359
0.122618,-0.074623,0.072695,18.371582,78.796387,-59.509277
0.129698,-0.058754,0.149844,54.626465,181.518555,-98.754883
0.115293,-0.042641,0.267275,68.725586,193.969727,-107.238770
0.094053,0.027916,0.381045,103.271484,214.660645,-116.882324
0.083799,0.070885,0.461123,74.035645,139.343262,-122.131348
0.077207,0.094322,0.649599,57.922363,43.457031,-106.994629
0.211241,0.066734,0.643984,16.845703,-66.528320,-115.722656
0.372373,0.004234,0.704531,-25.024414,-245.666504,-98.083496
0.617979,-0.090248,0.571230,-13.122559,-196.655273,-155.395508
0.590879,0.065513,0.482851,25.390625,-122.985840,-171.752930
0.642393,0.165123,0.488955,15.563965,-139.770508,-174.987793
0.725157,0.230552,0.398135,24.841309,-132.629395,-193.603516
0.691465,0.402672,0.341982,16.113281,-127.685547,-193.542480
0.740049,0.509849,0.293642,1.892090,-163.818359,-185.607910
0.797666,0.596519,0.141787,7.446289,-139.404297,-177.368164
0.581602,0.844322,0.081728,15.686035,-97.595215,-173.034668
0.565733,1.000572,0.000429,-7.629395,-142.150879,-143.493652
0.521055,1.151695,-0.117246,3.173828,-71.105957,-109.863281
0.550352,1.223716,-0.120176,6.042480,-6.469727,-69.824219
0.719786,1.241050,-0.142393,-1.770020,-27.160645,-31.616211
0.839414,1.190513,-0.130674,-10.253906,-17.517090,-12.695312
0.758848,1.227623,-0.112364,-12.451172,0.061035,-14.404297
0.601622,1.287193,-0.109434,-15.625000,-7.995605,8.728027
0.584532,1.211998,-0.105772,-26.489258,-6.835938,32.409668
0.548887,1.146812,-0.137266,-22.705078,40.832520,66.589355
0.403379,1.075035,-0.013731,-57.067871,20.812988,102.600098
0.382383,0.905845,-0.059873,-62.377930,-82.214355,156.127930
0.766172,0.467857,-0.044248,-31.372070,112.121582,209.289551
0.391416,0.451744,0.170840,-82.275391,-78.186035,200.378418
0.964659,-0.105873,-0.014951,-17.700195,90.393066,265.930176
0.496397,0.030357,0.309756,-66.772461,-32.287598,177.734375
0.717832,-0.220375,-0.003233,-47.058105,-98.815918,222.229004
0.507139,-0.207924,-0.020322,3.112793,37.475586,174.499512
