ax,ay,az,gx,gy,gz
0.965523,1.086421,-0.026468,1.953125,-1.770020,0.000000
0.979195,1.060786,-0.014749,1.464844,-4.699707,-0.244141
0.963570,1.077143,-0.007913,-0.732422,-2.197266,1.770020
0.983101,1.070307,0.006491,-1.403809,-0.915527,1.464844
0.973580,1.073725,-0.006693,0.976562,-1.525879,0.732422
0.989693,1.084712,-0.017923,0.793457,0.610352,1.647949
0.972603,1.067378,-0.004251,-1.098633,-1.342773,0.427246
0.984810,1.062739,0.000143,0.671387,0.183105,1.586914
0.968453,1.071284,0.022116,-0.183105,0.244141,3.234863
0.983834,1.061274,-0.018900,2.075195,-1.953125,4.394531
0.987008,1.082515,-0.039163,2.014160,-0.488281,3.784180
0.982857,1.058101,0.021383,0.854492,0.427246,0.915527
0.979439,1.064448,0.033590,-0.061035,-1.037598,1.647949
1.013131,1.047114,0.005270,0.915527,-0.610352,1.220703
0.972603,1.063227,-0.030130,-0.671387,0.427246,-0.671387
0.980172,1.057612,-0.014994,-1.586914,-0.610352,0.549316
0.978707,1.054438,0.047018,-1.586914,-0.610352,-0.122070
0.985299,1.048823,0.068503,-0.122070,1.220703,-0.854492
0.988228,1.059077,0.012594,0.244141,-1.586914,-1.098633
0.965279,1.051753,-0.005472,0.122070,-0.061035,-2.380371
0.956246,1.059565,-0.006937,-1.220703,-0.915527,-1.159668
0.985543,1.046138,0.025290,0.000000,-2.136230,-2.014160
0.973336,1.053706,0.061911,0.976562,-2.563477,-2.441406
0.981637,1.053950,-0.027933,-1.281738,-0.549316,-0.183105
0.952584,1.046870,-0.063333,-3.417969,-1.708984,0.061035
0.960396,1.049556,-0.001078,-0.854492,-1.586914,0.244141
0.981637,1.059565,0.030905,-1.892090,-2.685547,-0.793457
0.982369,1.052241,0.043112,0.000000,-0.183105,-1.159668
0.992867,1.051509,0.113669,-0.488281,-0.366211,-3.417969
0.965279,1.055659,0.028708,-2.502441,2.624512,-4.028320
0.975045,1.044185,0.045797,-1.159668,-4.577637,-4.943848
0.966988,1.051753,-0.035745,1.464844,-3.234863,-4.455566
0.956490,1.049556,0.027487,-2.014160,2.441406,-2.136230
0.993111,1.073237,-0.063333,-0.732422,0.244141,-1.770020
0.979439,1.072505,-0.057962,-0.244141,-5.187988,-3.173828
0.975533,1.038813,0.055563,0.366211,-0.854492,-0.183105
0.968697,1.053706,-0.055277,-1.037598,-2.136230,-0.122070
0.966744,1.067378,-0.026712,0.366211,-3.784180,0.671387
0.988228,1.067134,-0.056497,-2.746582,-3.540039,-0.732422
0.968453,1.061763,0.021139,-1.281738,-0.854492,-0.671387
0.973092,1.057856,0.118551,-0.549316,-1.220703,-0.671387
0.967721,1.058589,0.044577,-0.854492,-2.197266,-2.014160
0.978707,1.057612,0.032126,-1.708984,-0.610352,-1.892090
0.964791,1.054683,0.047018,-0.915527,-1.892090,-3.356934
0.960641,1.064692,-0.056009,-1.342773,-0.732422,-1.892090
0.981881,1.049800,0.001608,-1.525879,1.525879,-0.793457
0.976266,1.068354,0.000387,-0.488281,-2.807617,-1.281738
0.966256,1.089595,-0.057718,-0.061035,-2.807617,-0.854492
0.977975,1.065181,-0.067972,-0.061035,-2.258301,-1.525879
0.972359,1.087641,-0.019876,-0.915527,-1.403809,0.610352
0.970406,1.053706,-0.037454,0.976562,-2.563477,-0.976562
0.972848,1.062251,-0.069925,-0.549316,-1.525879,-0.854492
0.986764,1.084468,-0.043314,-0.366211,-2.258301,0.366211
0.976266,1.069331,0.040182,1.098633,-0.854492,-1.159668
0.972603,1.074702,-0.068216,-0.122070,-2.136230,-1.098633
0.975533,1.065913,-0.072611,0.427246,0.061035,-0.671387
0.958199,1.047114,0.026510,-1.831055,0.183105,-1.403809
0.978463,1.048335,-0.038431,0.366211,-0.976562,1.037598
