ax,ay,az,gx,gy,gz
0.965069,0.991322,0.108314,1.342773,0.854492,1.220703
0.969219,0.988637,0.082191,0.854492,1.159668,0.732422
0.968243,0.969838,0.089271,-1.159668,2.746582,0.305176
0.970196,0.982778,0.106361,0.976562,-1.098633,-1.098633
0.959209,0.982778,0.085365,0.732422,-1.464844,-0.671387
0.963360,0.993520,0.115882,0.427246,2.319336,-0.122070
0.967754,0.986928,0.103675,0.061035,-1.098633,-0.305176
0.990215,0.977651,0.108314,1.464844,1.525879,0.061035
0.970440,0.983510,0.100746,-0.671387,-1.159668,-0.732422
0.966045,0.990590,0.108314,0.244141,1.525879,0.793457
0.978985,0.981557,0.093666,0.854492,0.610352,0.976562
0.967266,0.988881,0.095863,1.159668,0.976562,0.427246
0.967022,0.992055,0.086341,1.281738,1.953125,1.098633
0.977764,0.982289,0.095619,0.671387,-0.732422,-0.366211
0.969219,0.998158,0.109535,0.671387,1.159668,-0.244141
0.969952,0.993276,0.097328,0.305176,-0.122070,-0.854492
0.970928,0.990590,0.117347,1.220703,1.281738,0.854492
0.974102,0.978627,0.090980,1.281738,0.427246,-1.281738
0.972881,0.980580,0.086341,1.586914,1.281738,-0.183105
0.966289,1.002553,0.094154,1.281738,3.234863,2.075195
0.974834,0.989858,0.084388,1.037598,0.061035,0.976562
0.998028,0.987660,0.101722,0.671387,3.723145,0.610352
0.977764,0.990590,0.105384,0.610352,1.403809,-0.305176
0.957989,0.989858,0.114173,0.061035,-2.380371,0.366211
0.963360,0.979848,0.116859,0.244141,-0.427246,0.427246
0.990215,0.987416,0.108070,0.854492,1.037598,2.075195
0.962383,0.983266,0.101722,0.000000,-0.183105,0.000000
0.973125,0.990102,0.103920,-0.305176,-0.366211,1.281738
0.973125,0.979848,0.105629,0.244141,-1.647949,0.366211
0.965313,0.985463,0.099769,0.915527,-0.793457,0.366211
0.956036,0.975697,0.082679,1.586914,-0.061035,-0.305176
0.970928,0.981557,0.101478,0.427246,0.671387,0.732422
0.986553,0.993276,0.084388,0.610352,-1.281738,1.281738
0.973125,0.994740,0.061927,0.366211,-1.586914,-0.976562
0.972149,0.992299,0.086341,-0.488281,-1.770020,-2.441406
0.966289,0.975942,0.097816,-0.366211,1.525879,-0.183105
0.956280,0.989613,0.082435,0.244141,-0.122070,0.244141
0.984600,0.986928,0.098060,-0.976562,0.793457,-0.732422
0.962139,0.979115,0.098060,0.366211,0.366211,-0.183105
0.965801,0.992787,0.084877,2.563477,-0.427246,-1.159668
0.964825,0.993031,0.080482,0.976562,-0.061035,0.427246
0.950909,0.987904,0.102699,2.563477,0.427246,0.671387
0.973125,0.995473,0.075843,2.929688,0.183105,0.976562
1.002178,0.985463,0.085365,1.525879,6.042480,2.502441
0.956036,0.995229,0.099769,0.122070,0.000000,-0.732422
0.950909,0.981313,0.091957,0.244141,2.075195,1.159668
0.964336,0.978871,0.098060,2.319336,-0.122070,1.037598
0.975567,0.993764,0.065345,1.342773,0.366211,1.892090
0.981670,0.975209,0.101966,1.159668,-0.061035,-0.671387
0.970928,0.995473,0.088050,0.488281,-0.732422,-1.098633
0.982403,0.995717,0.077552,0.183105,0.976562,-0.244141
0.969463,0.984487,0.097816,0.061035,-0.854492,-1.281738
0.952373,0.974477,0.085853,-0.366211,0.488281,1.037598
0.967266,0.993276,0.079994,0.427246,-0.610352,1.586914
0.969952,0.983022,0.099769,0.671387,2.624512,3.234863
0.983623,0.979360,0.103187,1.159668,-0.183105,1.342773
0.973125,0.983022,0.085853,2.014160,0.366211,1.281738
0.993877,0.987904,0.085853,0.610352,0.061035,1.281738
0.990704,0.995717,0.072425,1.953125,0.244141,0.488281
0.965069,0.993764,0.091957,1.525879,0.854492,0.610352
0.966045,0.966664,0.087074,1.159668,-1.037598,-1.220703
0.975323,0.973256,0.091468,0.976562,2.014160,1.586914
0.986065,0.987660,0.078285,1.220703,-0.915527,0.061035
0.987530,0.989369,0.101966,1.525879,1.831055,0.244141
0.957256,0.969106,0.077552,1.586914,0.183105,-1.342773
0.969952,0.985463,0.081703,0.732422,1.159668,0.305176
0.972393,0.991567,0.080726,-0.122070,2.502441,0.915527
0.969952,0.975697,0.082679,1.037598,1.342773,1.464844
0.960674,0.995229,0.068519,0.488281,2.136230,0.488281
0.959698,0.972279,0.103431,0.427246,1.098633,2.502441
0.973370,0.986684,0.077064,-0.732422,2.746582,3.845215
0.967998,0.982533,0.091713,-1.342773,-1.831055,1.770020
0.981182,0.965932,0.110755,0.000000,2.441406,3.173828
0.969219,0.990834,0.094398,1.708984,1.098633,0.610352
0.978008,0.969838,0.079994,1.281738,0.305176,-0.244141
