ax,ay,az,gx,gy,gz
-0.140086,0.033438,0.020623,-8.605957,-2.136230,35.095215
-0.140330,0.045401,0.040398,-10.498047,-1.647949,30.578613
-0.155222,0.037589,0.049675,-8.666992,-1.525879,32.958984
-0.127390,0.041983,0.015740,-11.047363,-6.408691,33.325195
-0.156931,0.014151,0.018914,-10.437012,-1.098633,32.287598
-0.132762,0.036368,-0.002082,-11.352539,-5.493164,34.912109
-0.174510,0.048331,0.024773,-11.108398,-0.732422,33.020020
-0.124949,0.009024,0.031121,-9.582520,-1.892090,32.104492
-0.158396,0.034659,0.004753,-10.559082,-2.990723,32.775879
-0.140818,0.031973,0.042595,-10.742188,-0.549316,34.484863
-0.173777,0.050772,-0.006721,-11.779785,-2.746582,34.301758
-0.126902,0.018301,0.024529,-10.314941,2.868652,34.423828
-0.153269,0.047842,0.055046,-11.901855,-7.995605,33.630371
-0.155955,0.036612,0.022332,-10.131836,2.441406,32.409668
-0.138621,0.024405,0.025017,-9.460449,-2.563477,33.203125
-0.145457,0.020743,0.028679,-9.704590,-3.417969,33.203125
-0.153758,0.041739,0.018669,-10.498047,0.549316,30.334473
-0.146922,0.024893,0.036980,-10.131836,-3.417969,33.203125
-0.147898,0.033438,0.007439,-9.033203,-2.868652,32.348633
-0.165232,0.055167,0.019402,-8.117676,-2.197266,31.799316
-0.175486,0.016348,-0.002082,-10.314941,-1.403809,32.287598
-0.161570,0.042227,0.033074,-9.521484,0.122070,31.250000
-0.142527,0.013419,0.050652,-11.413574,-2.746582,35.461426
-0.156931,0.063467,0.020378,-9.338379,-3.784180,30.822754
-0.157664,0.045889,0.030388,-9.399414,0.061035,34.362793
-0.122263,0.040274,0.015252,-10.620117,-4.943848,33.630371
-0.157420,0.044913,0.015740,-9.521484,-3.967285,31.738281
-0.126902,0.022452,-0.000862,-10.925293,-1.708984,33.386230
-0.145457,0.022940,0.025017,-9.826660,-2.624512,32.653809
-0.134471,0.041495,0.004753,-10.864258,-5.187988,32.714844
-0.164500,0.029532,0.039177,-8.728027,-2.136230,34.179688
-0.168162,0.025870,0.040398,-10.375977,-2.807617,32.348633
-0.105174,0.041251,0.019646,-10.009766,-3.417969,32.714844
-0.169627,0.037344,0.037957,-10.498047,-2.990723,32.958984
